staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BAB-REJ-001,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.7,artificial intelligence,B,1,"ng digital landscape in which we operate, and the evolving threats we face. The introduction of Athena will support our work, including the use of Artificial Intelligence and effective global collaboration, within a modern security model. As we look to FY26, the programme will focus on large-scale migration across",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-002,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.20,automation,B,1,"ich will give us a more agile, secure and efficient foundation from which to deliver our customer solutions, increasing standardisation and process automation, and improving business control. Increasing global market opportunity in defence and nuclear A combination of continued global insecurity, rising g",no,no,ordinary_automation,,rejected,,
BAB-REJ-003,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.49,automation,B,1,"Craft under our Hurracan contract, with 24 vessels expected to be delivered over the next two years, and the contract extension of the Gun System Automation to enable continued support to the Type 45 destroyers including electro-optical controls, sensor platforms and other onboard systems. Babcock Inter",no,no,ordinary_automation,,rejected,,
BAB-REJ-004,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.55,AI,B,1,"rgy Civil nuclear has a key role to play in tackling climate change, particularly given the growing demand for energy from new technologies such as AI and quantum computing. At the same time, governments are becoming increasingly concerned to onshore energy generation and ensure the security of t",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-005,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.91,AI,B,1,urope by teaming up with the Institution of Mechanical Engineers on its Uncrewed Aerial Systems (UAS) challenge and Formula Student as its official AI partner. Thousands of undergraduate engineering students from all over the world took part in the competitions. Supporting events like these meant,no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-006,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.94,AI,B,1,"adapt to changing market conditions and offer specialised expertise in areas such as advanced materials, cyber security, unmanned aerial systems, AI and additive manufacturing. This collaboration fosters robust and prosperous relationships, ensuring high levels of customer service and reliability",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-007,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.100,AI,B,1,ddress the challenges faced by the cyber industry to source suitably qualified experts through investment and development of its own workforce. Our AI-driven risk resilience solution that provides real-time monitoring of our supply chain is continually developed to provide the most up-to-date and,no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-008,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.103,AI,B,1,"etermine if circumstances change that require us to take additional actions. Our strategic Risk Resilience tool enables real-time monitoring through AI and machine-learning technology. It enables us to map our supply chain ecosystem, monitor activities, and proactively identify hidden risks in our",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-009,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.112,AI;artificial intelligence,B,2,"ion of budgets away from traditional large, complex platforms to smaller, uncrewed platforms and cyber. Speed of technology advancement including AI The speed of technology evolution across multiple domains, including AI, is unprecedented and this brings with it unprecedented levels of risk and o ||| e tools to support emerging risk identification. Last year’s emerging risks were geopolitical tension, supply chain global sanctions circumvention, artificial intelligence, and personal security, all of which remain on the Groups risk radar; however, the following two risks are demanding particular focus. Emerging risk",no,no,vague_general_ai_reference,DUPG-001,rejected,,
BAB-REJ-010,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.118,AI,B,1,"ssed delivery schedules. Cybersecurity threats present notable risks to supply chains, as increasingly sophisticated attacks, such as ransomware and AI-powered cybercrime can disrupt operations and compromise sensitive data. Weak security protocols, reliance on sub-tier suppliers and outdated techn",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-011,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.123,artificial intelligence,B,1,"ucts and platforms. This includes understanding how best to safely exploit relevant emerging technologies such as machine learning, automation and artificial intelligence. 11. Resourcing, retention and skills Likelihood: Likely Impact: Moderate The Group operates in many specialised engineering and technical domains,",no,no,ordinary_automation,DUPG-003,rejected,,
BAB-REJ-012,Babcock International,BAB,Babcock International Annual Report and Financial Statements 2025,BAB_company_annual_report_current_fy2025_2025-07.pdf,,annual_report_current,company_primary,p.136,RAG,A,1,hroughout the year and across all levels of our key customers. • Order intake by sector • Safety balanced scorecard • Major operational programmes’ RAG status Investors • Reports from Investor Relations • Treasury reports • Investor meetings/roadshow • AGM The Board engaged directly with its investo,no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-013,Babcock International,BAB,Babcock International Annual Report 2024 -- Strategic Report,BAB_company_annual_report_previous_fy2024_2024-07.pdf,,annual_report_previous,company_primary,p.88,AI,B,1,"to our ability to deliver quality products and services. Rigorous due diligence ensures compliance and risk management, while our risk resilience AI-driven solution monitors our vast supply chain ecosystem. Through these efforts, Babcock builds a resilient and responsible supply chain. In the up",no,no,vague_general_ai_reference,,rejected,,
BAB-REJ-014,Babcock International,BAB,Babcock International Annual Report 2024 -- Strategic Report,BAB_company_annual_report_previous_fy2024_2024-07.pdf,,annual_report_previous,company_primary,p.89,AI,B,1,"t. You can read our Modern Slavery Transparency Statement here Additionally, our strategic Risk Resilience tool enables real-time monitoring though AI and machine learning technology, tracking and generating alerts for indicators such as compensation, employee satisfaction, diversity, workforce ri",no,no,vague_general_ai_reference,,rejected,,
