staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
SVT-REJ-001,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.6,artificial intelligence,B,1,"act our customers. Technological advances continue to present exciting new opportunities to deploy smart devices, automation, machine learning and artificial intelligence to improve the delivery of our services for customers and how we monitor and operate our assets efficiently and safely. We are excited to invest i",no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
SVT-REJ-002,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.7,automation,B,1,"onally ambitious, and our investment and work in AMP7 has positioned us strongly to deliver in AMP8: – our in-house Design Team unlocks digital and automation capabilities; – our Plug and Play delivery model drives speed and efficiency on critical asset types; – a broad and diverse supply chain provides",no,no,ordinary_automation,,rejected,,
SVT-REJ-003,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"company to ensure we are the best we can be – through a blend of insourcing, developing deeper technical skills and embracing technology including AI to drive operational excellence. All this was against a tricky backdrop – we’ve faced a global pandemic, unprecedented energy and chemical prices,",no,no,vague_general_ai_reference,,rejected,,
SVT-REJ-004,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"and strive to keep water flowing and continuously take wastewater away, whilst working with customers to manage demand. Kraken Kraken’s advanced AI assistance tools are a game-changer for the service we provide to our customers, helping to resolve customer queries quickly, draft responses and u",no,no,vague_general_ai_reference,,rejected,,
SVT-REJ-005,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.18,AI,B,2,"iency saving. Additionally, over 245,000 customers have engaged with our water-saving survey platform, Get Water Fit. Smart meter data We are using AI and smart meter data to identify private side leakage, reducing customer bills and reducing PCC. Water quality complaints We had a total of 9,011 dr ||| risk at water treatment works. Tap water forensics As part of an Ofwat innovation funded research project, we are combining genomic sequencing with AI technology to analyse water quality at our water treatment works. These insights are helping us enhance our treatment processes. No dig technology",no,no,vague_general_ai_reference,DUPG-001,rejected,,
SVT-REJ-006,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"arget every year in AMP7 since the measure’s creation, and this year we have beaten our target by over 6%. Storm intelligence We have developed an AI-based platform to support our Network Control Team to manage weather-related incidents. Using AI-boosted modelling, we can predict our sewer networ",no,no,vague_general_ai_reference,,rejected,,
SVT-REJ-007,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.25,AI,B,3,"s in the measurement and management of greenhouse gas emissions in the water sector. The O2IC will act as our permanent test facility to combine AI solutions, operational and engineering technologies, within a single wastewater catchment. This will create a unique opportunity to develop, moni ||| ational and engineering technologies, within a single wastewater catchment. This will create a unique opportunity to develop, monitor and refine AI-driven innovations such as real time monitoring, predictive maintenance and optimisation of treatment processes, in a structured environment. Thi ||| the people and process transformations needed for successful implementation, as well as rigorously testing the functional safety and security of AI solutions to ensure safety and environmental risks are properly managed. Like many other countries, the UK’s sewerage system was designed as a c",no,no,vague_general_ai_reference,DUPG-002,rejected,,
SVT-REJ-008,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.27,AI,B,2,"hancements have improved our performance at this site. Zero Spills Hub Inspired by our Net Zero Hub, which combines operational, engineering and AI solutions to achieve ambitious goals, we are excited to introduce our Zero Spills Hub to support our Get River Positive campaign. In the Arnold c ||| ive solutions in combination to deliver our WINEP commitments and demonstrate how to achieve zero spills in a catchment. Our trials will focus on AI based solutions that optimise the use of our existing assets, as well as physical, biological and nature-based solutions that remove stormwater f",no,no,vague_general_ai_reference,DUPG-003,rejected,,
SVT-REJ-009,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.49,machine learning,B,1,"een progressing at pace. Using a combination of mechanistic modelling (to simulate the complex systems) as well as data driven modelling (using machine learning to identify patterns and make predictions), we can optimise flow and treatment throughout the site to reduce emissions and maintain compliance. We",no,no,vague_general_ai_reference,,rejected,,
SVT-REJ-010,Severn Trent,SVT,Severn Trent Plc Annual Report and Accounts 2025 (Strategic Report),SVT_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.57,automation,B,1,"esses, integrating EU Taxonomy mappings into our existing financial system, enabling a more accurate gap analysis. Read more on page 58. – Through automation, we embedded a more accurate allocation between the construction and renewal activities for water and waste that we had previously assessed, and th",no,no,ordinary_automation,,rejected,,
