source_id,company,ticker,sector,document_category,document_title,financial_year_covered,publication_date,url,local_filename,evidence_origin,download_status,text_extraction_status,document_review_status,logged_by,model_version,logged_date,notes
AZN-001,AstraZeneca,AZN,Pharmaceuticals & biotechnology,annual_report_current,AstraZeneca Annual Report and Form 20-F Information 2025,FY2025,2026-02-10,,AZN_company_annual_report_FY2025.pdf.pdf,company_primary,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-15,"Mixed document: contains explicit generative-AI passages (Modella AI acquisition targeting foundation models; Tempus/Pathos multimodal oncology foundation model) alongside general/predictive-AI content. Overlaps with AZN-010 (Form 20-F FY2025), which incorporates this Annual Report by reference for the same FY2025 period -- use AZN-001 as the primary source for any FY2025 use-case coding."
AZN-002,AstraZeneca,AZN,Pharmaceuticals & biotechnology,annual_report_previous,AstraZeneca Annual Report and Form 20-F Information 2024,FY2024,2025-02-06,,AZN_company_annual_report_FY2024.pdf.pdf,company_primary,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-15,"Mixed document: contains explicit generative-AI passage (Microsoft CoPilot usage stat, p.44: 92% of 1,200 surveyed employees report time savings) alongside general-AI-only content (McKinsey industry stat, AI-assisted discovery pipeline). Covers FY2024 -- a distinct fiscal year from AZN-001/AZN-010 (FY2025), not a duplicate."
AZN-003,AstraZeneca,AZN,Pharmaceuticals & biotechnology,sustainability_or_esg_report,"Our Sustainability Impact: Building a healthy future for people, society and the planet",unclear,2025-05,,AZN_company_sustainability_report_2025.pdf.pdf,company_primary,downloaded,extracted,reviewed_no_relevant_evidence,claude_code,,2026-07-15,General-AI-only. Zero matches for generative AI/GenAI/LLM/foundation model/copilot/chatbot across all 47 pages (full-text keyword search). Only general/predictive-AI mentions found (e.g. AI-assisted screening; Breast Cancer AI Quality). No explicit reporting-period statement in text; financial_year_covered left as unclear per project rule against inferring from filename.
AZN-004,AstraZeneca,AZN,Pharmaceuticals & biotechnology,strategy_or_technology_webpage,Transforming patient outcomes with generative AI,not_applicable,2024-08-02,,AZN_company_webpage_generative-ai-data-science.pdf.pdf,company_primary,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-15,"Title discrepancy: checklist candidate title was 'Reshaping data science using generative AI'; actual saved page title is 'Transforming patient outcomes with generative AI'. Page shows last-updated 2 Aug 2024, originally published 11 Jul 2024; publication_date field uses the last-updated date. Confirmed genuine, explicit generative-AI content by direct read."
AZN-005,AstraZeneca,AZN,Pharmaceuticals & biotechnology,press_release,How we're upskilling and preparing our workforce to thrive in the age of AI,not_applicable,2025-04-11,,AZN_company_press-release_upskilling-generative-ai.pdf.pdf,company_primary,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-15,Actual title is close but not an exact match to the checklist candidate ('Upskilling our workforce to thrive in the age of AI'). Confirmed explicit generative-AI content by direct read.
AZN-006,AstraZeneca,AZN,Pharmaceuticals & biotechnology,results_presentation,FY and Q4 2025 Results,FY2025,2026-02-10,,AZN_company_results-presentation_fy2025.pdf.pdf,company_primary,downloaded,extracted,reviewed_no_relevant_evidence,claude_code,,2026-07-15,"Not relevant. Full 45-page read found no generative AI, LLM, foundation model, or named generative-product references anywhere; content is entirely financial, clinical and pipeline results data."
AZN-008,AstraZeneca,AZN,Pharmaceuticals & biotechnology,partner_case_study,Using Amazon Bedrock Agents to Accelerate Decisions Across Drug Development at AstraZeneca,not_applicable,unknown,https://aws.amazon.com/solutions/case-studies/astrazeneca-case-study/,AZN_partner_aws_case-study_development-assistant.pdf.pdf,technology_partner,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-15,"No publication date visible on the page; logged as unknown per project rule against inferring dates. Vendor-authored (technology_partner) content -- explicitly labelled as such per Core Rule 6, not to be treated as company-confirmed unless separately corroborated."
AZN-009,AstraZeneca,AZN,Pharmaceuticals & biotechnology,press_release,AstraZeneca enters strategic collaboration with CSPC Pharmaceuticals focused on AI-enabled research,not_applicable,2025-06-13,,AZN_company_press-release_cspc-collaboration.pdf.pdf,company_primary,downloaded,extracted,reviewed_no_relevant_evidence,claude_code,,2026-07-15,General-AI-only. Describes predictive/structural AI (binding-pattern analysis) for the CSPC collaboration; no generative AI/LLM/foundation-model language found.
AZN-010,AstraZeneca,AZN,Pharmaceuticals & biotechnology,regulatory_filing_or_rns,"AstraZeneca plc Form 20-F -- Annual Report for the fiscal year ended December 31, 2025",FY2025,2026-02-24,,AZN_company_regulatory-filing_form-20f-fy2025.pdf.pdf,company_primary,downloaded,extracted,reviewed_no_relevant_evidence,claude_code,,2026-07-15,"Not relevant at document level. Contains AI-risk-factor language (workforce access to 'AI tools', AI investment/risk discussion) but no generative AI/GenAI/LLM/foundation-model/named-product terms anywhere in the full filing. Substantially overlaps with AZN-001: incorporates 'Annual Report and Form 20-F Information 2025' by reference and reproduces the full audited financial statements, risk factors and legal proceedings for the same FY2025 period. Do not code independently as a separate generative-AI evidence source -- treat AZN-001 as the primary record and reference AZN-010 only via supporting_source_ids if needed."
TSCO-001,Tesco,TSCO,Food & drug retailing,annual_report_current,Tesco PLC Annual Report and Financial Statements 2025,FY2025,,https://www.tescoplc.com/media/ky0bfwpo/tesco_ar25_interactive.pdf,TSCO_company_annual_report_current_fy2025.pdf,company_primary,downloaded,extracted,reviewed_evidence_found,claude_code,,2026-07-17,"url is the verified direct_download_url; the landing page is https://www.tescoplc.com/investors/reports-results-and-presentations/annual-report-2025 . No publication/board-approval date is directly confirmed on the extracted pages (checked pages 1-5); publication_date left blank rather than inferred. Report covers the 52-week period ended 22 February 2025 (a reporting period, not a publication date). Yielded governance findings (AI governance group/committee, safeguards) and strategic findings (embedding AI into operations); no operational GenAI use case found in this document itself."
