company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.21,AI,B,"ive years of structural supply deficits. Energy transition While solar energy remains the largest consumer of industrial silver, the expansion of AI datacentres has created significant new demand. The physical infrastructure required by the digital age, including high-speed connectors, advanced",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.69,automation,B,"ur standards on ethics and integrity, human and labour rights, health and safety, and environmental and community considerations. Since 2023, the automation and standardisation of the due diligence process has strengthened visibility of third-party criticality through a risk- based approach. Over this",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.82,automation,B,"al exposure risks. Key initiatives included redesigning tools and equipment to improve ergonomics, introducing mechanical handling solutions and automation in sampling and material handling processes to minimise manual load movement, and implementing an intelligent hydration system to support adequat",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.83,artificial intelligence,B,"– ReadiWatch) to predict fatigue based on sleep patterns and circadian rhythms, with an in-cab Driver Safety System (DSS) using computer vision and artificial intelligence to detect fatigue, microsleeps and distraction in real time. This combination enables both early risk identification and immediate operational inte",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.91,RAG,A,"CROs continue to be relevant throughout closure and post- closure phases. The current list of CROs, together with the most recent Red-Amber-Green (RAG) risk ratings based on the ERM framework — which incorporates both impact and likelihood of occurrence — is shown in the table below. As these ri",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.123,AI,B,"ities’ risks Financial risks • Resources to reserves • Potential actions by the government* • Exploration* • Capital Project* • Technology, Cyber & AI* • Low-carbon transition • Climate change and natural disaster* • Security* • People and culture* • Union & labour relations* • Operational, mainten",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.128,artificial intelligence,B,"we carried out activities to: (i) identify new emerging risks in light of geopolitical instability, technological disruption, the implications of artificial intelligence for business strategy and climate change; (ii) re-assess the emerging risks identified in 2024; (iii) deploy effective monitoring mechanisms reco",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.129,AI,B,"rt for clean energy. > 5 Years Technological disruption and the rapid proliferation of Artificial Intelligence Generative Artificial Intelligence (AI) and advancing technologies have the potential to unlock transformative opportunities for businesses through enhancing efficiency, and data-driven",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.133,artificial intelligence,B,"e and apply necessary controls. 6. In addition, our systems, networks, and assets are continuously monitored through cybersecurity tools that use Artificial Intelligence and Machine Learning technology to analyse behaviours in the organisation's networks, identifying and mitigating advanced threats. 7. Controls ar",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Fresnillo plc,FRES,,FRES_company_annual_report_current_fy2025_2026-03.pdf,p.134,automation,B,"and safety standards and procedures for slope geotechnical, tailings management, underground mining and process safety. 6. We are advancing the automation of hazardous processes. 7. The critical controls that reduce risk in the business units are periodically updated and improved through inspections",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
