company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.5,AI,B,"Delivering on our transformation plan • Optimising product portfolio • Optimising supply chain • Simplifying organisation • Leveraging AI, data and digitalisation Investment case Our investment case A differentiated business delivering on our plan to grow earnings and returns. Building",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.15,AI,B,"ss has responded well as we push hard to deliver change quickly. Underpinned by actions to enhance our high-performance culture, and to leverage AI, data and digitalisation to support decision-making, we are implementing clearly defined action plans for each of the pillars of the programme. We",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.16,AI,B,"ise returns on investments • Drive growth in key markets • Optimise product portfolio • Optimise supply chain • Simplify organisation • Leverage AI, data and digitalisation TransformationGrowth We are focused on innovation, leveraging customer proximity and maximising returns from investments",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.19,AI,B,"ciency through our transformation programme, with early progress and clear priorities . Enhance high-performance culture Read more on page 9 Leverage AI, data, and technology Read more on page 36 Optimise product portfolio Optimise our customer and product portfolios, and drive commercial excellence",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.19,AI,B,headcount by 5% (ex. F&F) • Zero-based budget of indirect costs • Continue reductions in headcount and management roles • Accelerate deployment of AI and digitalisation of Croda • Deliver structural savings in indirect costs Efficiency GrowthEnablers 2026 priorities 2025 progress 17 Croda Internat,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.33,AI,B,"oplastics in seeds in 2028, as well as countering abiotic stress in seeds due to extreme heat, drought and high soil salinity. We are also applying AI modelling techniques to accelerate the development of new priming, pelleting and X-ray processes, meaning we can derive commercial benefits from in",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.38,AI,B,"competitive edge, meets customer and employee needs, enhances operational efficiency, and fosters sustainable growth. With the rapid evolution of AI, the risks and opportunities surrounding digital technology innovation are increasing. Croda is intensifying its focus on technology and digital",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.38,AI,B,"innovation in meeting customer demands and enhancing the employee experience. • Accelerated our digital transformation, using data, analytics, and AI to improve decision-making and drive innovation • Cloud computing enabled greater scalability and flexibility. Our website and expanded customer p",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.58,AI,B,"strong foundations to deliver sustainable long-term value. • Received an update from the CIO on the strategic IT roadmap, including data, analytics/AI and architecture, and challenged management on the pace of delivery to ensure technological support for the business to drive efficient growth, re",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.59,AI,B,"ements of the programme focus on improving customer service and employee experience, including through leveraging data through analytical tools and AI. While significant change can be disruptive and unsettling for employees, the programme aimed to enhance the day to day experience of employees by",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.73,AI,B,"tainability trends and their implications for the industry, and reviewing the Group’s long-term strategy, including transition plans, the impact of AI, and building resilience. The Committee will also maintain its role in monitoring the Group’s response to identified material impacts, risks and o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_current_fy2025.pdf,p.78,automation,B,"ct and clear, resulting in limited follow-on requests. The Committee recognised the importance of continuing to explore opportunities for increased automation within the audit process to support productivity benefits. The importance of maintaining a pragmatic approach to the audit, with an appropriate ba",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.5,artificial intelligence,B,"years are set to see significant shifts in consumer care, pharmaceuticals, and agriculture – the main markets that we serve. Driven by the rise of artificial intelligence, the demand for sustainable ingredients and advances in biologics and biotechnology, the specialty chemicals industry will undergo a transformation",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.16,AI,B,"particular rise in the role of university spin-outs which are emerging at a rapid pace already, particularly in the fields of biotechnology and AI-driven businesses. The impact of AI will be wide-ranging, spanning the discovery of new materials, improving production efficiency, enhancing d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.16,AI,B,Localisation and distributed manufacturing Biotechnology The personalisation revolution The role of collaboration Artificial intelligence (AI) Overview Impact Our response Delivering net zero and contributing to a nature positive world cannot be achieved only at a corporate level;,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.16,AI,B,it individual needs. Collaborative efforts are becoming the most effective sources of innovation where knowledge sharing breeds novel thinking. AI is already becoming an established tool in many industries with significant future potential as tools become more powerful and the quality of da,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.17,AI,B,"particular rise in the role of university spin-outs which are emerging at a rapid pace already, particularly in the fields of biotechnology and AI-driven businesses. The impact of AI will be wide-ranging, spanning the discovery of new materials, improving production efficiency, enhancing d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.17,AI,B,Localisation and distributed manufacturing Biotechnology The personalisation revolution The role of collaboration Artificial intelligence (AI) Overview Impact Our response Delivering net zero and contributing to a nature positive world cannot be achieved only at a corporate level;,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.17,AI,B,it individual needs. Collaborative efforts are becoming the most effective sources of innovation where knowledge sharing breeds novel thinking. AI is already becoming an established tool in many industries with significant future potential as tools become more powerful and the quality of da,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.34,AI,B,"competitive edge, meets customer and employee needs, enhances operational efficiency, and fosters sustainable growth. With the rapid evolution of AI, the risks and opportunities surrounding digital technology innovation are increasing. Croda is intensifying its focus on technology and digital s",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.34,AI,B,"Croda is intensifying its focus on technology and digital strategy, aligning it with business needs. We are establishing centres of excellence for AI leadership in EMEA and process automation in Latin America. Our global leadership leverages the rapidly evolving digital landscape, while local te",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.34,AI,B,"competitiveness and innovation in meeting customer demands and enhancing the employee experience. • Implementation of data and advanced analytics (AI) to gain insights and improve decision-making, and the continued adoption of cloud computing for scalability and flexibility • Launched a revamped",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.34,AI,B,e along with continued expansion of our customer portal aimed at allowing us to be more interactive and responsive to customer needs • Developed an AI tool to speed up time to create fragrances aligned with customer briefs • Our commitment to sustainability and innovation continued with successful,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.35,AI,B,"competitive edge, meets customer and employee needs, enhances operational efficiency, and fosters sustainable growth. With the rapid evolution of AI, the risks and opportunities surrounding digital technology innovation are increasing. Croda is intensifying its focus on technology and digital s",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Croda International,CRDA,,CRDA_company_annual_report_previous_fy2024.pdf,p.35,AI,B,"Croda is intensifying its focus on technology and digital strategy, aligning it with business needs. We are establishing centres of excellence for AI leadership in EMEA and process automation in Latin America. Our global leadership leverages the rapidly evolving digital landscape, while local te",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
