company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.19,AI,B,"nued progress in embedding a strong ethical and compliance culture. We appointed a new Chief Technology and Information Officer and established an AI Governance Committee to ensure responsible use of artificial intelligence, alongside robust cybersecurity and data privacy oversight. 4 Create an",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.25,machine learning,B,"ccess depends on the quality, breadth and localisation of our offering. CRM helps us personalise content to each customer, not just to each event. Machine learning strengthens personalisation, drives smarter engagement and enhances bonus allocation. Our global scale also creates a trading and pricing differe",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.26,AI,B,"enter new markets with confidence and deliver products that meet the highest standards of safety and performance. We have also integrated the latest AI tools across product discovery, design, implementation, testing, automation and release management. This helps us capture enhanced insights, stream",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.28,AI,B,ies (commercial) Key enablers (operational) Goal Organic Growth Grow presence and leadership in markets People and Culture Product and Technology AI Enablement Governance Deliver significant shareholder value Margin Expansion Drive expansion through scale and operational leverage Cash Gene,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.30,generative AI,A,"portingBOT exemplifies this approach – launching first in Brazil as a focused test-and-learn initiative before a broader rollout. SportingBOT is a generative AI chatbot that serves as a personalised betting assistant. The bot integrates our live odds pricing API, real-time match data via Sportsradar, and i",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.30,AI,B,"In the Americas & Southern Europe (ASE) region, we’ve adopted a deliberate strategy of piloting responsible AI initiatives quickly, learning through real-world experimentation, and scaling successful solutions to other markets. SportingBOT exemplifies this",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.30,AI,B,"he knowledge of Sportingbet promotions and T&Cs – enabling customers to receive accurate, contextual answers in a natural conversational flow. The AI chatbot reached over 65,000 users and delivered on its core goals of converting new players and providing reliable, real-time assistance. An unexp",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.30,AI,B,"anding the model to Spain, planning refreshed Brazil deployments for future major events, and building a dedicated Customer Service version of the AI chatbot. Every interaction with SportingBOT is grounded in accurate data, transparent terms, and customer trust. As we scale AI-powered experience",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.30,AI,B,". Governance 167. Financial Statements Determination at Play 28 Entain plc Annual Report 2025 As consumer expectations shift towards conversational, AI-powered experiences, Sportingbet Brazil identified a huge opportunity to reimagine how customers discover betting opportunities – particularly for",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Entain,ENT,,ENT_company_annual_report_current_fy2025_2026-03-20.pdf,p.45,AI,B,"g markets 4 Ensure ethics and integrity are at the core of our organisation and culture 4 Provide industry-leading cybersecurity, data privacy and AI governance 4 Maintain clear and robust governance processes for each of our material sustainability topics Sustainability & Compliance Committee",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
