duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Rentokil Initial,RTO-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.12) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Rentokil Initial,RTO-STR-001,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.12) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same digital transformation theme and were consolidated into one row.,yes,,
DUPG-003,Rentokil Initial,RTO-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.17) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Rentokil Initial,RTO-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.27) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Rentokil Initial,RTO-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Rentokil Initial,RTO-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.31) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Rentokil Initial,RTO-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.74) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Rentokil Initial,RTO-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.91) of RTO_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Rentokil Initial,RTO-REJ-026,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.28) of RTO_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Rentokil Initial,RTO-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.39) of RTO_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Rentokil Initial,RTO-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.40) of RTO_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Rentokil Initial,RTO-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.42) of RTO_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Rentokil Initial,RTO-REJ-022;RTO-REJ-036,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.62,Passages in RTO_company_annual_report_current_fy2025_2026-03.pdf and RTO_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.62).,yes,,
