staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
CTEC-GOV-001,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.39,AI,B,1,"y and data protection is embedded in our core values and operational practices. We describe our approach to data privacy, artificial intelligence (AI) and cybersecurity on page 45. 37Convatec Annual Report and Accounts 2025 Strategic report Governance Financial statements Additional information",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-002,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.47,AI,B,3,"otection authorities. We received 10 data subject access requests. For further information on our legal, compliance and privacy risk, see page 71. AI Convatec continues to strengthen our principles‑based AI governance framework that prioritises responsible risk management for our patients, cust ||| d future‑ready way. In line with evolving regulatory expectations, including the EU Artificial Intelligence Act’s requirements on governance and AI literacy that went into effect in 2025, we are strengthening oversight through our AI Steering Committee and ARC governance structures to ensure ||| in 2025, we are strengthening oversight through our AI Steering Committee and ARC governance structures to ensure safe and compliant adoption of AI technologies. In 2025, internal audit assessed the effectiveness of our Responsible AI Programme, all of our digitally enabled colleagues complet",no,no,ai_governance_framework,DUPG-006,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-003,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.47,AI,B,1,"chnologies. In 2025, internal audit assessed the effectiveness of our Responsible AI Programme, all of our digitally enabled colleagues completed AI literacy training and over 1,000 colleagues have access to and regularly use AI productivity tools. Use of animals in research At Convatec, we seek",no,no,safeguards_and_responsible_use,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-004,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.87,AI,B,1,"s to drive innovation, enhance productivity and improve efficiency within the business. Following Board endorsement, Convatec has advanced FISBE’s AI capabilities by: – Establishing dedicated AI governance structures, including an AI Working Group and Steering Group, to ensure responsible adopti",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-005,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.96,AI,B,1,"ons – Oversee the external auditor transition and performance – Monitor risks related to cyber security, digital, use of artificial intelligence (AI) and its governance, and data privacy and management – Monitor the readiness for the Board declaration and disclosure in the 2026 Annual Report",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-006,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.97,AI,B,1,"ons – Oversee the external auditor transition and performance – Monitor risks related to cyber security, digital, use of artificial intelligence (AI) and its governance, and data privacy and management – Monitor the readiness for the Board declaration and disclosure in the 2026 Annual Report",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-007,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2024,CTEC_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.20,AI,B,1,"itutional shareholders on governance, covering matters such as risk, employee engagement, remuneration, board composition and oversight, cyber and AI – The Board receives analysts’ notes published about the Group and the sector and receives regular updates on investor relations matters (IR) –",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-008,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2024,CTEC_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.23,AI,B,3,"our strategic objectives and core values and appropriate safeguards are implemented consistently. The ARC oversees governance and risk related to AI. We are embracing opportunities of well-managed AI technologies, in areas like language translations, workplace productivity tools and marketing ||| the potential of AI as a medical device to treat, diagnose, inform and drive clinical management. Productivity and efficiency Leveraging available AI technology that enhances productivity, without distracting the organisation. Governance and compliance Integrating AI into our operations in a su ||| compliant way, implementing appropriate governance measures to safeguard Convatec and our patients and customers from potential risks. Harnessing AI has the potential to reshape the way Convatec operates and delivers value; by embracing AI in the right way, we have the power to increase efficie",no,no,ai_governance_framework,DUPG-013,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-009,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2024,CTEC_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.25,automation,B,1,"ment – Simplifying global payroll offering: Strengthened payroll compliance, efficiency and consistency, governance and insight through improved automation – Refreshing our HR operating model: Bringing together our HR people partners, Centres of Excellence, HR Service Delivery, as well as our Global",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
CTEC-GOV-010,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2024,CTEC_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.44,AI,B,1,"and an update by external advisers on governance and regulatory changes, including relating to audit and corporate governance reform, ESG and AI – Approval: Vitality metric calculation and governance – Approval: Capital expenditure to support operations automation, plant network optimisa",no,no,ai_governance_framework,,governance,accept," REVIEW: genuine AI-governance disclosure (AI Working Group/Steering Group, FISBE AI capabilities oversight)."
