duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Barclays,BARC-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.13) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-002,Barclays,BARC-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.13) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Barclays,BARC-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Barclays,BARC-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.83) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Barclays,BARC-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.126) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Barclays,BARC-REJ-031,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.143) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Barclays,BARC-REJ-032,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.146) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Barclays,BARC-REJ-042,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.230) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Barclays,BARC-REJ-043,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.232) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Barclays,BARC-REJ-044,rejected_candidates_staging,same_source_consolidation,not_applicable,19 passages on the same page (p.233) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Barclays,BARC-REJ-045,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.235) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Barclays,BARC-REJ-046,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.237) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Barclays,BARC-REJ-048,rejected_candidates_staging,same_source_consolidation,not_applicable,16 passages on the same page (p.238) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,Barclays,BARC-REJ-049,rejected_candidates_staging,same_source_consolidation,not_applicable,9 passages on the same page (p.239) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-015,Barclays,BARC-REJ-050,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (p.240) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,Barclays,BARC-GOV-006,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.253) of BARC_company_annual_report_current_fy2025_2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
