staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
RR-REJ-001,Rolls-Royce Holdings,RR,Rolls-Royce: Harnessing the Power of Databricks for Image Generation,RR_partner_partner_case_study_rolls-royce-harnessing-the-power-of-databricks-for-image-gen_2024-08-08.html,,partner_case_study,technology_partner,not_applicable,AI;artificial intelligence,B,11,"cks Blog Skip to main content Login Why Databricks Discover For App Developers For Executives For Startups Lakehouse Architecture Databricks AI Research Customers Customer Stories Partners Partner Overview Explore the Databricks partner ecosystem Partner Spotlight Featured partner announ ||| er Solutions Find custom industry and migration solutions Product Databricks Platform Platform Overview A unified platform for data, analytics and AI Data Engineering ETL and orchestration for batch and streaming data Application Development Quickly build secure data and AI apps Data Warehousing ||| Open agentic SIEM built for the AI era Customer Data Platform Agentic CDP embedded in Databricks Sharing Open data sharing for data, analytics and AI Integrations and Data Marketplace Open marketplace for data, analytics and AI IDE Integrations Build on the Lakehouse in your favorite IDE Partne ||| cks Academy Sign in to the Databricks learning platform Certification Gain recognition and differentiation Free Edition Learn professional Data and AI tools for free University Alliance Want to teach Databricks? See how. Events Data + AI Summit Data + AI World Tour AI Days Event Calendar Blog ||| s Data + AI Summit Data + AI World Tour AI Days Event Calendar Blog and Podcasts Databricks Blog Explore news, product announcements, and more AI Blog Explore our AI research and engineering work Data Brew Podcast Let’s talk data! Champions of Data + AI Podcast Insights from data leaders powe ||| your inbox. Sign up View all blogs Why Databricks Discover For App Developers For Executives For Startups Lakehouse Architecture Databricks AI Research Customers Customer Stories Partners Partner Overview Partner Program Find a Partner Partner Spotlight Cloud Providers Partner Solut ||| t Cloud Providers Partner Solutions Why Databricks Discover For App Developers For Executives For Startups Lakehouse Architecture Databricks AI Research Customers Customer Stories Partners Partner Overview Partner Program Find a Partner Partner Spotlight Cloud Providers Partner Solut ||| entation Customer Support Community Learning Training Certification Free Edition University Alliance Databricks Academy Login Events Data + AI Summit Data + AI World Tour AI Days Event Calendar Blog and Podcasts Databricks Blog AI Blog Data Brew Podcast Champions of Data & AI Podcast ||| entation Customer Support Community Learning Training Certification Free Edition University Alliance Databricks Academy Login Events Data + AI Summit Data + AI World Tour AI Days Event Calendar Blog and Podcasts Databricks Blog AI Blog Data Brew Podcast Champions of Data & AI Podcast ||| ram Find a Partner Partner Spotlight Cloud Providers Partner Solutions Product Databricks Platform Platform Overview Application Development Artificial Intelligence Business Intelligence Business Productivity Customer Data Platform Data Engineering Data Warehousing Database Governance Security Sharing P ||| rce Integrations and Data Marketplace IDE Integrations Partner Connect Product Databricks Platform Platform Overview Application Development Artificial Intelligence Business Intelligence Business Productivity Customer Data Platform Data Engineering Data Warehousing Database Governance Security Sharing P",no,yes,webpage_boilerplate,DUPG-001,rejected,accept,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-002,Rolls-Royce Holdings,RR,Rolls-Royce saves millions in cost avoidance with Microsoft Cloud for Manufacturing,RR_partner_partner_case_study_rolls-royce-saves-millions-in-cost-avoidance-with-microsoft_2025-04-01.html,,partner_case_study,technology_partner,not_applicable,AI;Copilot;artificial intelligence,A;B,6,"crosoft Customer Stories This is the Trace Id: 095224115b38b4a8d2791033aae9d2c0 Skip to main content Customer Stories All stories AI & Microsoft Copilot Azure Dynamics 365 Microsoft 365 Microsoft Security Microsoft Power Platform Microsoft Teams Microsoft 365 Dynamics 365 Microsoft Power Platform Mic ||| your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Follow Microsoft Surface Book 3 Surface Pro Microsoft Copilot Microsoft 365 Windows 11 apps Account profile Download Center Microsoft Store Support Extended holiday returns Order tracking Support Microsoft in ||| als for students and parents Azure for students Microsoft AI Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Advertising Microsoft 365 Copilot Microsoft Teams Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Microsoft Marketplace Microsoft Power P ||| wer Platform Microsoft Teams Microsoft Security Nonprofit Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft Teams Windows 365 Microsoft AI Azure Space Mixed reality Microsoft HoloLens Microsoft Viva Quantum computing Sustainability Education Automotive Financial services Government Heal ||| Contact Sales Microsoft 365 Dynamics 365 Microsoft Power Platform Microsoft Teams Microsoft Security Nonprofit Transform work with Microsoft AI Bring intelligence into the flow of work and help your organization achieve its goals with secure, scalable AI solutions. Explore AI solutions Fol ||| bricks SERVICES AND SUPPORT Microsoft Cloud for Manufacturing ORGANIZATION SIZE 10,000+ employees COUNTRY/REGION United Kingdom BUSINESS NEED Artificial Intelligence INDUSTRY Discrete Manufacturing Share the story Explore related stories Stories in this industry Stories about this customer ""Previous"" ""Next",no,yes,webpage_boilerplate,DUPG-002,rejected,accept,"Correctly rejected as 'webpage_boilerplate' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-003,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"r, prime power and with SMRs. Our next generation Series 4000 engine, which will be released in 2028, targets the ever-increasing power demands of AI data centres with a 20% higher power density. In governmental markets, rising defence spending supports both land and naval applications, where w",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-004,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"ergy continues to grow, the evolving energy landscape creates substantial new business opportunities across our portfolio. The growing adoption of AI is contributing to increased data centre size, capacity, and power requirements, resulting in robust demand within our Power Systems business. The",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-005,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.31,automation,B,1,"share of 30% in our key markets of land defence and naval. In marine, we deliver integrated diesel, gas and hybrid propulsion systems, including automation and control systems, which are renowned for their reliability and performance. We have a market share of 15% to 20% and our key markets are commer",no,no,ordinary_automation,DUPG-014,rejected,accept,"Correctly rejected as 'ordinary_automation' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-006,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"ress We have seen growing demand for our back-up power solutions for data centres, driven by global trends in cloud computing, data processing and AI. Our order intake in power generation grew 31% in 2025 and we are now taking orders for 2027 and 2028. We have significantly expanded our product",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-007,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.33,AI,B,1,"ber. Power of You provides a consistent, high-impact way to reinforce our purpose and behaviours. It is enabled through a world-class digital and AI solution and launched simultaneously ENGAGEMENT & RECOGNITION Our People Deal comprises six tenets WE PROMISE To listen, value your voice and reco",no,no,vague_general_ai_reference,,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
RR-REJ-008,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.34,AI,B,2,"tops, upgraded collaboration tools, and modernised shop-floor technology, removing friction from daily work and enabling faster, better decisions. AI workforce readiness is also underway, building confidence in data-driven decision-making and accelerating responsiveness across the business. Be ||| capability strategy. We strengthened our workforce planning capability through extensive forecasting to map critical skills, assess the impact of AI, understand geographical talent supply and TALENT to ensure appropriate action and sustained improvement. Examples of targeted cultural intervent",no,no,vague_general_ai_reference,DUPG-005,rejected,correct,corrected: this genuine AI workforce-readiness finding ('AI workforce readiness is also underway... workforce planning capability strengthened through forecasting to... assess the impact of AI') has been moved into strategic staging as RR-STR-005. Retained here as the original rejected-staging record with reviewer_decision=correct; excluded from rejected promotion since the underlying evidence is promoted via RR-STR-005 instead (see rolls-royce-holdings_duplicate_flags.csv).
RR-REJ-009,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.35,AI,B,2,"rganisation. Extensive research has been undertaken to identify key skills across all critical capability areas to better understand the impact of AI on roles, as well as the geographical supply of the best talent and to ensure a progressive, consistent and aligned approach to strategic workfor ||| y & skills We encourage our employees to keep learning to future-proof their skills. Learning has been transformed this year, through digital and AI-enabled tools, delivering 991,196 learning hours and embedding learning into the flow of work. The expansion of MyLeatro, our AI learning platform",no,no,vague_general_ai_reference,DUPG-006,rejected,correct,"corrected: this quantified workforce/skills finding (991,196 learning hours; named platform MyLeatro) has been moved into strategic staging as RR-STR-006, kept separate from RR-STR-005 (RR-REJ-008) as a materially distinct, more concrete finding (quantified hours + named platform). Retained here as the original rejected-staging record with reviewer_decision=correct; excluded from rejected promotion (see rolls-royce-holdings_duplicate_flags.csv)."
RR-REJ-010,Rolls-Royce Holdings,RR,Rolls-Royce Holdings plc Annual Report 2025,RR_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.58,AI,B,1,"ts and services are based on competitive technology, leveraging substantial engineering and scientific challenges, adopting digital tools (such as AI) and/or new ways of working, could hinder our ability to accelerate product design and deliver a competitive offer that ensures superior performan",no,no,vague_general_ai_reference,DUPG-015,rejected,accept,"Correctly rejected as 'vague_general_ai_reference' -- general/predictive AI, ordinary automation, webpage boilerplate, director biography, vague market commentary or incidental keyword match; no qualifying GenAI operational, strategic or governance evidence found beyond what is already captured in accepted rows elsewhere."
