company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.57,RAG,A,"090 IPCC Climate Scenario 2020 2030 2040 2050 2090 Lowest (RCP 2.6) Medium (RCP 4.5) Highest (RCP 8.5) Level of Risk (Low to High) DCC Risk register RAG rating that period. This is expressed as the Modelled Average Annual Loss (‘MAAL’) for each site, against four climate scenarios, ranging from beni",likely_genai,medium,"Stage A high-precision generative-AI term 'RAG' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.68,automation,B,"us identify internal talent and ensure talent management processes are embedded consistently across the Group. The platform currently supports the automation of succession planning, reward, learning and performance management processes. This year, we successfully rolled out a global learning management",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.76,generative AI,A,"engthened its mitigation measures and resources in this area. In the year under review, we implemented an internal policy on the Acceptable Use of Generative AI applications for Group and divisional employees, in order to ensure that our IT integrity and data protection standards continue to reflect techno",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.76,AI,B,"cial or reputational damage. Emerging risks in this area include the increased sophistication of cyberthreats because of artificial intelligence (‘AI’). As global cybercrime trends continue to evolve, the Group has strengthened its mitigation measures and resources in this area. In the year unde",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.76,AI,B,"to ensure that our IT integrity and data protection standards continue to reflect technological developments, while also allowing the benefits of AI to be explored. Cyber Security Measures Our Group IT Security team guides our approach to cyber security. This includes detailed and specific techni",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.81,AI,B,"se to the risk. Emerging risks are regularly reviewed and reported on as part of our overall risk process. Key emerging risks at present include how AI will impact the way work is done within DCC and with our suppliers, customers and other stakeholders. New risks are also continuing to emerge as a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.82,AI,B,"l control. Emerging Risks Emerging risks in this area include new tariffs, their impact on supply chains and the effects of new technology such as AI. Climate Change Transitional climate change risks and opportunities, including changes in policy, regulation, technology and societal views, coul",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.83,AI,B,"e to work for all of our colleagues. HR initiatives support key areas of culture and engagement, inclusion and employee experience. The impact of AI on key business processes and on working practices is being actively considered. The development of our people is described in more detail in th",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.83,AI,B,"s described in more detail in the Sustainability Review on page 62. Emerging Risks Emerging risks in this area include how new technology, such as AI, will affect the scale and nature of skills needed within the Group and the steps the Group should take to develop and retain these. Acquisitions",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.85,AI,B,"ke adjustments to them as necessary. Emerging Risks Emerging risks in this area include the increased sophistication of cyber attacks because of AI. Geopolitical and Naturally- Occurring Events Geopolitical confrontation, military conflict, a systemic financial crisis, major adverse public poli",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.115,AI,B,"rategy that was announced in November 2024 and on relevant external trends such as geopolitical changes and developments in artificial intelligence (AI). • The Committee considered reports from the Group Finance team, the Group Legal & Compliance team, the Group IT team and from divisional managem",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.134,AI,B,"used on Shareholder Value Creation, including DCC Energy’s Cleaner Energy in Your Power Strategy Drive Adoption of Digital Technologies, including AI Successful Pilots run in a number of Group Businesses and Pipeline of Further Projects in Place ESG Objectives Maximum of 15% bonus payable Reduc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_current_fy2024-25_2025-05.pdf,p.134,AI,B,"Cleaner Energy in Your Power Strategy Group Financing Successfully establish Public Bond Programme Drive Adoption of Digital Technologies, including AI Successful Pilots run in a number of Group Businesses and Pipeline of Further Projects in Place ESG Objectives Maximum of 15% bonus payable Redu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,generative AI,A,"tive across the Group where we identified clear innovation opportunities. AI’s role in helping drive our innovation agenda is clear. Unlike purely generative AI strategies, the DCC AI platform is designed to not only drive business performance but also to enhance our service offerings, ensuring that each",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
DCC plc,DCC,,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,generative AI,A,"y tailored to enhance business outcomes. Our focus is on practical, actionable AI solutions that drive business value, rather than exploratory or generative AI technologies. We have successfully built the platform and rolled out our initial models within our Healthcare division focused on enhancing rev",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
DCC plc,DCC,,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,AI,B,"ing our energy transition capabilities. Q A I has been a key theme this year. What does it mean for DCC? Like all general-purpose technologies, AI means lots of things to different people. At DCC we have a clear AI strategy. We are pioneering the development of a unified centralised AI pla",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,AI,B,"mer retention, and distribution efficiency. The unique advantage of our approach lies in the centralisation of this technology. By consolidating AI development into a single, cohesive platform, we eliminate the need for each business unit to develop its own systems or hire specialised data s",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
DCC plc,DCC,,DCC_company_annual_report_previous_fy2023-24_2024-05.pdf,p.11,AI,B,"a culture of knowledge- sharing and continuous improvement. Moreover, by maintaining a standardised framework and methodology, we ensure that our AI initiatives are scalable and adaptable, capable of meeting the diverse needs of our global operations. This strategic approach allows us to crea",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
