duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Legal & General,LGEN-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.5) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Legal & General,LGEN-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.7) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Legal & General,LGEN-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.48) of LGEN_company_annual_report_current_fy2025.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-004,Legal & General,LGEN-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.48) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Legal & General,LGEN-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.77) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Legal & General,LGEN-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.78) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Legal & General,LGEN-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.85) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Legal & General,LGEN-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.186) of LGEN_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Legal & General,LGEN-REJ-017,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.30) of LGEN_company_annual_report_previous_fy2024.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-010,Legal & General,LGEN-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.55) of LGEN_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Legal & General,LGEN-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.81) of LGEN_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,Legal & General,LGEN-REJ-023,rejected_candidates_staging,same_source_consolidation,not_applicable,6 passages on the same page (not_applicable) of LGEN_company_press_release_l-g-expands-microsoft-collaboration-to-accelerate-ai-enablem_2026-06-16.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,Legal & General,LGEN-STR-001,strategic_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (not_applicable) of LGEN_company_press_release_l-g-expands-microsoft-collaboration-to-accelerate-ai-enablem_2026-06-16.html describe the same embedding ai into operations theme and were consolidated into one row.,yes,,
