company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.5,GenAI,A,"e Reckitt’s corporate culture firsthand. For example, a visit to our Science & Innovation Centre in Hull demonstrated how digital improvements and GenAI are expanding Reckitt’s R&D capabilities, and we dug into our local partnerships and community outreach, which are hugely important in this city",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.7,generative AI,A,"breaking ceremony at our new R&D Centre in Shanghai, China Embedding digital and data is central to Reckitt’s transformation. In 2025, we utilised generative AI tools to drive more efficient concept generation and content creation. This drove sharper targeting and improved campaign effectiveness across sev",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.8,AI,B,"savings programme continued to deliver, supported by organisational simplification, global shared services, and early benefits from automation and AI. Fixed costs 1 reduced to 19.4% of net revenue, creating headroom to reinvest in our brands, innovation capabilities and supply chain resilience,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.9,Bedrock,A,"nd hygiene company FOUNDATION Our core differentiators We create and build Powerbrands… Our distinctive culture, people and Powerbrands are the bedrock of our sustained success. Accountability and a relentless focus on delivery, coupled with a sharp Core Reckitt portfolio and clear value creatio",likely_genai,medium,"Stage A high-precision generative-AI term 'Bedrock' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.17,AI,B,"apability embedded throughout execution Digitally enabled platforms now give teams a single view from planning to activation. Advanced analytics, AI-supported planning, enhanced measurement tools and digital pricing systems improve forecast accuracy, sharpen responsiveness and help teams act q",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.19,generative AI,A,"amme is simplifying how we operate, right sizing our investments, embedding automation and shared services, and integrating digital processes and generative AI. Early benefits have already come through this year from organisational simplification and right-sizing legacy investments. The next two years wil",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.19,generative AI,A,"l simplification and right-sizing legacy investments. The next two years will bring benefits which come from global shared service, automation and generative AI.",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.20,generative AI,A,"to maximise our impact across the full lifecycle of the consumer journey. This is not only going to help us build our brands for today, but with generative AI coming into the mix, having a strong foundation across brands and how we build them enables us to fully leverage the capability these tools bring.",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.20,generative AI,A,"oming into the mix, having a strong foundation across brands and how we build them enables us to fully leverage the capability these tools bring. Generative AI is significantly changing our ability to be able to tap into the rich consumer data we hold in a way that will drive our business. We have built a",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Reckitt,RKT,,RKT_company_annual_report_current_fy2025.pdf,p.21,generative AI,A,"are adopted at scale. Progress to date: c.25% 2025 contribution: 0bps (reflecting phasing, with larger benefits in later years) 4 Digital and generative AI These capabilities are now being deployed across core business processes and are already embedded into ways of working in marketing. The same app",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
