staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
FCIT-REJ-001,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.6,AI,B,2,"yond the large US technology stocks which have been a main driver of US equity returns in recent years. Indeed, while the Artificial Intelligence (‘AI’) theme remained important, there was far greater discrimination from investors between perceived winners and losers. In part, this trend reflecte ||| erceived winners and losers. In part, this trend reflected investors’ response to significant increases in capital expenditure plans related to the AI theme and concerns over the future profitability of these companies. As the year drew to a close, markets were buoyed by another year of strong gr",no,no,vague_general_ai_reference,DUPG-001,rejected,,
FCIT-REJ-002,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"n 1 September 2025, replacing Edward Knapp who stepped down from the Board on 31 July 2025. Josh is Chief Executive Officer of Dunnhumby, a global AI and analytics business. He was previously an Operating Partner at CVC Capital Partners and has held senior positions at HSBC Holdings plc, Google",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-003,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.10,AI,B,2,"8 A major catalyst for this shift is the scale and speed of the AI investment cycle. The AI revolution is ushering in extraordinary levels of capital expenditure, with companies and nations competing to build the d ||| ct investor returns to vary widely across the value chain. This increasing differentiation between winners and losers - both among those developing AI technologies and those deploying them - reinforces the importance of disciplined stock selection and broad diversification. Attractive opportuniti",no,no,vague_general_ai_reference,DUPG-002,rejected,,
FCIT-REJ-004,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.12,AI,B,4,"10 Investors had begun the year with excitement around companies with exposure to the Artificial Intelligence (‘AI’) theme and for reduced regulation in the US that was expected to drive improvement in corporate earnings. In dollar terms, the S&P 500 delivered a ||| d Nvidia - outperformed the bellwether S&P 500 index. Greater selectivity within this group of leading companies reflected investors' assessment of AI winners and losers amid rising capital expenditure on AI-related infrastructure. Investor sensitivity to corporate capital expenditure plans was e ||| ans was evident early in the year when, in January, Nvidia shares fell sharply (before staging a powerful recovery) following the release of a new AI model from Chinese company DeepSeek, which suggested the possibility that effective AI models could be developed at substantially lower costs than ||| AI models could be developed at substantially lower costs than previously expected, with resultant implications for demand for semiconductors and AI-related infrastructure. European equity markets performed strongly, boosted in part by pledges for increased government spending. In Germany, the n",no,no,vague_general_ai_reference,DUPG-003,rejected,,
FCIT-REJ-005,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.14,AI,B,3,"lio delivered robust absolute returns. Among these companies, Applied Materials (+48.6%) and TSMC (+45.1%) both benefitted from enthusiasm for the AI theme. NORTH AMERICA Continued strong performance from highly-valued growth stocks in the US led to another year of outperformance of growth again ||| ses in copper and gold prices over the year. Corning (+74.7%), a technology holding with key business lines focused on optical communications and AI infrastructure, reported a return to profitability after prior losses, benefitting from demand for products related to data centre expansion. Appli ||| ey did, however, use this weakness to repurchase Vertiv, which continues to benefit from strong demand for its cooling systems in the build out of AI data centres. Stock selection in Healthcare, Technology and Financials, as well as an under-exposure to larger capitalised companies, all contribut",no,no,vague_general_ai_reference,DUPG-004,rejected,,
FCIT-REJ-006,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.15,AI,B,1,"our focus on high quality businesses with strong growth characteristics faced significant headwinds. In addition, over-exposure to some perceived ‘AI losers’ detracted from returns. The largest contributors, in relative return terms, were all banks, including Bank of Ireland (+105.1%), National",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-007,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.16,AI,B,2,"14 of shareholder returns. Semiconductor and AI-related stocks led the rally, while sustained foreign investor buying, expectations for structural reforms and supportive policy measures (despite ||| ompared to the MSCI Emerging Markets Index return of +24.4% for the year. Technology stocks were a major contributor to performance, supported by AI-driven investment. While the portfolio’s underweight position in Technology detracted from relative performance, this was largely offset by positi",no,no,vague_general_ai_reference,DUPG-006,rejected,,
FCIT-REJ-008,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"h as Relx, Experian (-1.1%) and SAP detrimental to our returns. Much of the narrative surrounding this downturn focused on those companies being ‘AI Losers’ and, although the intensive capital expenditure of hyper-scalers like Amazon, Meta and Microsoft is a concern, many of these quality stock",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-009,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.20,AI,B,1,"alanced global opportunity set than has been seen for several years. A key driver of market behaviour will again be the development and adoption of AI-related technologies. The pace of investment across hardware, infrastructure and software remains extremely high and we expect this to continue. H",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-010,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.26,AI,B,1,"r with major technology companies including Microsoft, Alphabet and Meta, discussing the social and ethical issues surrounding their development of AI. The Manager also conducted engagements addressing the potential positive impacts of AI in the healthcare sector with US pharmaceutical firms Pfiz",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-011,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.48,artificial intelligence,B,1,"ion/Controls Status Cybercrime Disruption to the Manager’s or third party suppliers' systems as a result of cybercrime, including with the use of Artificial Intelligence, could prevent the accurate monitoring and reporting of the Company’s financial position and impact the confidentiality or integrity of company",no,no,vague_general_ai_reference,,rejected,,
FCIT-REJ-012,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.49,artificial intelligence,B,2,"ort EMERGING RISKS Risk Description Risk Mitigation/Controls Disruptive Technology The emergence of new, disruptive technology, including the use of Artificial Intelligence, presents both opportunities and threats. It could have a negative impact on the valuation of investments within the portfolio and/ or the conseque ||| are diversified to reduce concentration risk, in line with the agreed investment strategy. We believe that it will take some time for the impact of Artificial Intelligence to flow through which, therefore, gives the Fund Manager time to react and reposition the Company’s portfolio accordingly. LONG-TERM VIABILITY The",no,no,vague_general_ai_reference,DUPG-009,rejected,,
FCIT-REJ-013,F&C Investment Trust,FCIT,F&C Investment Trust plc Annual Report and Accounts 2025,FCIT_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.51,artificial intelligence,B,1,"s: None. JOSH BOTTOMLEY(3) Appointed to the Board on 1 September 2025. Experience and skills: Josh is Chief Executive Officer of Dunnhumby, a global artificial intelligence and analytics business. He brings experience and expertise in leading differentiation, innovation and scaled growth in highly competitive, rapidly",no,no,vague_general_ai_reference,,rejected,,
