staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
REL-REJ-001,RELX,REL,How RELX is adopting generative AI,REL_company_strategy_or_technology_webpage_how-relx-is-adopting-generative-ai_2026-03.html,,strategy_or_technology_webpage,company_primary,not_applicable,generative AI,A,1,"ML DOCUMENT ===== Source file: REL_company_strategy_or_technology_webpage_how-relx-is-adopting-generative-ai_2026-03.html Title: How RELX is adopting generative AI Skip to main content LinkedInTwitterFacebook How RELX is adopting generative AI March 2026 At RELX, AI isn’t new to us. We’ve been embracing art",no,yes,webpage_boilerplate,,rejected,,
REL-REJ-002,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,AI;generative AI;machine learning,A;B,5,"cross RELX § Public records § Contributory § Digital identities § Machine generated § Licensed § Proprietary Data Sources ADDING VALUE WITH GENERATIVE AI More than 12,000 technologists, over half of whom are software engineers, work at RELX. Annually, the company spends $2bn on technology. The combina ||| d and structured content Big data platforms Analysis applications Customer single point of execution For the past few years, we have been deploying generative AI, particularly in our Legal and STM segments. RELX Generative AI solutions are built upon multiple fine-tuned Large Language Models leveraging high-q ||| elivery method § Public records § Contributory § Digital identities § Machine generated § Licensed § Proprietary ADDING VALUE WITH EXTRACTIVE AI The company has more than 15 years’ experience with big data and extractive, machine to machine, artificial intelligence (AI), particularly in our R ||| to cluster, link and learn from the data § High speed data ingestion, recall, and processing § Rapid development cycles § Platforms to facilitate AI/ML § Proprietary algorithms § Predictive modelling § Machine learning and artificial intelligence § Modular product suites § Flexible deliver ||| 207bn legal and news documents and records § Grid computing with low-cost servers § Linking algorithms that generate high precision and recall § Machine learning algorithms to cluster, link and learn from the data § High speed data ingestion, recall, and processing § Rapid development cycles § Platforms to",no,no,vague_general_ai_reference,DUPG-001,rejected,,
REL-REJ-003,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.12,AI,B,2,"afficking and abusive practices. The combination of our proprietary insights and advanced analytics powered by extractive Ar tificial Intelligence (AI) delivers actionable intelligence to customers to help improve decisions and operational efficiency. The cornerstone of our growth strategy is maxi ||| duction Intelligence Platforms in both finance and ecommerce. In Q1 2025, LexisNexis Risk Solutions closed the acquisition of IDVerse, a provider of AI-powered automated document authentication and fraud detection solutions. In Q3 2025, we launched an updated version that delivers an optimised user",no,no,vague_general_ai_reference,DUPG-002,rejected,,
REL-REJ-004,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.13,AI,B,6,"afficking and abusive practices. The combination of our proprietary insights and advanced analytics powered by extractive Ar tificial Intelligence (AI) delivers actionable intelligence to customers to help improve decisions and operational efficiency. The cornerstone of our growth strategy is maxi ||| duction Intelligence Platforms in both finance and ecommerce. In Q1 2025, LexisNexis Risk Solutions closed the acquisition of IDVerse, a provider of AI-powered automated document authentication and fraud detection solutions. In Q3 2025, we launched an updated version that delivers an optimised user ||| out the claim life cycle. Insurance solutions provide comprehensive interior and exterior data for home and commercial property insurers and offers AI-enabled insights to fast-track decision-making for new business or renewal under writing and claims processes. We continue to launch solutions for ||| overnment dispenses hundreds of billions of dollars in entitlements, stimulus, benefits and contracts to people and businesses. LexisNexis Accurint AI Insights is a new, first-to-market AI solution for public safety, designed specifically for law enforcement. This advanced tool automates crime tre ||| identification, providing agencies with rapid analysis and actionable intelligence. By enabling proactive responses to emerging threats, Accurint AI Insights streamlines investigative processes and enhances decision-making. The platform offers Fraud and Identity Management Portfolio Financial Cr ||| more easily identif y proper ties with risk or coverage opportunities and survey those priority properties using consumer-friendly, configurable AI-driven property assessment technology that delivers actionable insights into the underwriting workflow For more information visit relx.com Market",no,no,vague_general_ai_reference,DUPG-003,rejected,,
REL-REJ-005,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"evenue considerations, as well as the US administration’s priorities. immediate access to identity and authentication analytics, combining advanced AI with extensive data exper tise to support public safety agencies in protecting communities with data-driven insights. Market opportunities We opera",no,no,vague_general_ai_reference,,rejected,,
REL-REJ-006,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI;generative AI,A;B,5,"sights that help our customers make accurate and timely decisions and to improve our internal efficiencies by leveraging and adapting extractive AI/generative AI tools. Our successful deployment of AI and ML techniques both for our customers and for our internal needs is built on a strong foundation that is ||| evenue considerations, as well as the US administration’s priorities. immediate access to identity and authentication analytics, combining advanced AI with extensive data exper tise to support public safety agencies in protecting communities with data-driven insights. Market opportunities We opera ||| g to drive underlying revenue growth Underlying revenue growth of +8%. Strong growth continues to be driven across segments by our deeply embedded, AI-enabled analytics and decision tools. Underlying adjusted operating profit growth was +10%, leading to an increase in adjusted operating margin. I ||| ment organic innovation to continuously expand our analytical capabilities. LexisNexis Risk Solutions continues to develop sophisticated extractive AI and Machine Learning (ML) techniques to generate actionable insights that help our customers make accurate and timely decisions and to improve our ||| ing of customer and stakeholder needs, the breadth and depth of our data sets, and our exper tise and domain knowledge that helps us discern which AI/ML algorithm to use in a given context to solve business problems most effectively. Business model, distribution channels and competition We sell ou",no,no,vague_general_ai_reference,DUPG-004,rejected,,
REL-REJ-007,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"ults in the context of macro trends impacting the US insurance sector and economy. Utilising the proprietary LexisNexis Risk Solutions extractive AI and big data processing platform to pull in contributor y and transactional information, Insurance Market Insights closes the gap by delivering dat",no,no,vague_general_ai_reference,,rejected,,
REL-REJ-008,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.17,AI,B,4,"ults in the context of macro trends impacting the US insurance sector and economy. Utilising the proprietary LexisNexis Risk Solutions extractive AI and big data processing platform to pull in contributor y and transactional information, Insurance Market Insights closes the gap by delivering dat ||| ften sophisticated and fast moving pose the biggest threats. As Crypto.com’s platform grew, so did the volume and complexity of the attacks, from AI generated identities to social engineering tactics. While users expect a seamless experience, they also expect the platform to be secure. Crypto.c ||| to.com’s specific speed and volume requirements. The solution also delivers the responsiveness demanded by a dynamic threat environment defined by AI-enabled fraud, bots, scams and social engineering. ThreatMetrix offers the advantages of contributory, cross-industry digital identity, device and ||| engineering. ThreatMetrix offers the advantages of contributory, cross-industry digital identity, device and behavioural intelligence combined with AI-powered models and analytics which help Cr ypto.com automate decisions and avoid fraud upfront. By implementing LexisNexis ThreatMetrix, Crypto.com",no,no,vague_general_ai_reference,DUPG-005,rejected,,
REL-REJ-009,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.18,AI;generative AI,A;B,3,"institutions rely on, with interoperability driven by Application Programming Interface technologies (APIs). In early 2025, Elsevier launched a new generative AI tool on ScienceDirect, the world’s largest platform for peer-reviewed research used by more than 20m researchers each month. ScienceDirect AI help ||| tronic reference products help customers and users solve complex problems and make critical decisions, and we are enhancing these capabilities with AI across all our business areas. Solutions include LeapSpace, Scopus/ ScopusAI, ScienceDirect AI, SciVal, Interfolio, Engineering Village and Pure in ||| ions include LeapSpace, Scopus/ ScopusAI, ScienceDirect AI, SciVal, Interfolio, Engineering Village and Pure in Academic & Government; Reaxys/Reaxys AI Search, Embase AI, PharmaPendium AI and SciBite in Corporate; and ClinicalKey/ClinicalKey AI, HESI, Sherpath AI, Shadow Health, ClinicalPath, and",no,no,vague_general_ai_reference,DUPG-007,rejected,,
REL-REJ-010,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI,B,1,"lso ser ves students of medicine, nursing, and allied health professions. Sherpath, an adaptive teaching and learning solution which also offers an AI tool, provides personalised learning paths at over 800 institutions, supporting more than 500,000 course enrolments, while ClinicalKey Student is u",no,no,predictive_personalisation,,rejected,,
REL-REJ-011,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.19,AI;generative AI,A;B,11,"institutions rely on, with interoperability driven by Application Programming Interface technologies (APIs). In early 2025, Elsevier launched a new generative AI tool on ScienceDirect, the world’s largest platform for peer-reviewed research used by more than 20m researchers each month. ScienceDirect AI help ||| xplore over 123m chemistr y documents, as well as patents and peer-reviewed journal ar ticles using natural language discover y. New EmbaseAI, the generative AI-powered version of Embase, the leading biomedical database, allows users to pose queries in natural language and receive a summarised response with ||| r 2,500 clinical over views, over 7.3m images and over 128,000 medical videos in one integrated platform. ClinicalKey AI combines this content with generative AI technology. ClinicalPath Oncology presents evidence-based oncology pathways embedded in the clinical workflow, and the associated analytics, to he ||| relevant answers from comprehensive trusted content across specialities. ClinicalKey AI combines the latest and most trusted medical content with generative AI to help clinicians at the point of care. The tool integrates with electronic health records systems The world’s most advanced 3D anatomy platform, ||| tronic reference products help customers and users solve complex problems and make critical decisions, and we are enhancing these capabilities with AI across all our business areas. Solutions include LeapSpace, Scopus/ ScopusAI, ScienceDirect AI, SciVal, Interfolio, Engineering Village and Pure in ||| ions include LeapSpace, Scopus/ ScopusAI, ScienceDirect AI, SciVal, Interfolio, Engineering Village and Pure in Academic & Government; Reaxys/Reaxys AI Search, Embase AI, PharmaPendium AI and SciBite in Corporate; and ClinicalKey/ClinicalKey AI, HESI, Sherpath AI, Shadow Health, ClinicalPath, and ||| es connected, configurable solutions that combine comprehensive data with analytical and predictive tools. In 2025, new innovations included Reaxys AI Search, which enables chemists and R&D teams to explore over 123m chemistr y documents, as well as patents and peer-reviewed journal ar ticles usi ||| ase, allows users to pose queries in natural language and receive a summarised response with inline citations to ensure transparency. PharmaPendium AI, an AI-powered upgrade to our PharmaPendium solution, empowers regulatory affairs specialists, drug development professionals, and clinical resear ||| g peer review, with the global scientific community accessing articles over 2.9bn times across its journal platforms. LeapSpace, a next-generation AI workspace built on the world’s most comprehensive collection of scientific content to help researchers uncover deeper insights, accelerate innovat ||| emic journals from 7,000 publishers to help track and enhance researcher and institutional data and discover global research in all fields. Scopus AI helps researchers get deeper research insights faster, navigate and understand different disciplines more easily and support interdisciplinary col ||| interact with Anatomy The world's largest chemical database, Reax ys combines over a billion chemistr y data points from journals and patents with AI to suppor t innovation in drug discover y, chemical R&D and academia. Chemists can quickly access relevant patent, substance and bioactivity insig",no,no,vague_general_ai_reference,DUPG-009,rejected,,
REL-REJ-012,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.20,AI;large language model,A;B,3,"pt AI for specific domains, such as research, life sciences, clinical care, health education, through hybrid search, knowledge graphs, ontologies, large language model and human exper tise-based evaluations to provide users with answers that are precise, relevant, and useful in real-world settings. In Primar y Re ||| y; combining content with analytics and technology to build integrated solutions and decision tools that utilise advanced Machine Learning (ML) and AI to improve productivity and outcomes, and enable insights underpinning critical decisions, benchmarking and evaluation. In Databases, Tools and Ele ||| ritical decisions, benchmarking and evaluation. In Databases, Tools and Electronic Reference, Elsevier is applying advanced linking capabilities and AI to our vast verified research and healthcare information and data sets, including patent, research grants, drug information, medical claims data, t",no,no,vague_general_ai_reference,DUPG-010,rejected,,
REL-REJ-013,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.21,AI;large language model,A;B,5,"pt AI for specific domains, such as research, life sciences, clinical care, health education, through hybrid search, knowledge graphs, ontologies, large language model and human exper tise-based evaluations to provide users with answers that are precise, relevant, and useful in real-world settings. In Primar y Re ||| y; combining content with analytics and technology to build integrated solutions and decision tools that utilise advanced Machine Learning (ML) and AI to improve productivity and outcomes, and enable insights underpinning critical decisions, benchmarking and evaluation. In Databases, Tools and Ele ||| ritical decisions, benchmarking and evaluation. In Databases, Tools and Electronic Reference, Elsevier is applying advanced linking capabilities and AI to our vast verified research and healthcare information and data sets, including patent, research grants, drug information, medical claims data, t ||| e, strong growth continues to be driven by higher value-add analytics and decision tools, with continued rollout, adoption and usage growth of our AI-enabled tools, such as Scopus AI and Sherpath AI. We continue to expand our solution sets, built on our industr y-leading trusted content, with a s ||| built on our industr y-leading trusted content, with a series of new releases in 2026, the most recent of which is our next generation end-to-end AI-powered researcher solution, LeapSpace. In Primar y Research, good growth continues to be driven by volume growth, with article submissions growing",no,no,vague_general_ai_reference,DUPG-011,rejected,,
REL-REJ-014,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.22,AI,B,1,"olkit As in other sectors, science is at risk from fraudulent activity. Elsevier introduced an advanced ethics toolkit, using numerous signals and AI-based analysis to flag integrity concerns before and after publication. These include AI phrasing, authorship changes, and simultaneous submissions",no,no,vague_general_ai_reference,,rejected,,
REL-REJ-015,RELX,REL,RELX 2025 Annual Report,REL_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"nsforming scientific publishing to support the demands of modern research 21RELX Annual Report 2025 | Scientific, Technical & Medical About Sherpath AI Sherpath AI is an adaptive digital learning, conversational AI solution designed to enhance nursing education through personalised learning paths.",no,no,predictive_personalisation,,rejected,,
