staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BGEO-REJ-001,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.18,automation,B,2,"vention whilst achieving a 91% customer satisfaction score, to AI- generated personalised recommendations that drive engagement in the app, to 95% automation of unsecured loans that significantly reduces time-to-money. We now serve over 1.8 million digital monthly active retail users – representing a co ||| rom multiple sources, including regular customer feedback, rigorous internal analysis and deep- dive reviews, with a particular focus on enhancing automation and quality. Our attention to detail ensures we not only maintain our standards but also drive innovation across the business. Ameriabank: remarka",no,no,ordinary_automation,DUPG-001,rejected,,
BGEO-REJ-002,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.18,GenAI,A,1,"ur success. Technology and artificial intelligence have become key enablers of this approach. We have embedded AI across our operations – from our GenAI chatbot that resolves 65% of queries without human intervention whilst achieving a 91% customer satisfaction score, to AI- generated personalised",no,no,vague_general_ai_reference,,rejected,correct,"Fragment of the Georgian-language Generative AI customer-service chatbot narrative, over-consolidated/duplicated across current- and previous-year rejected rows. Split out to new operational staging row BGEO-OP-001. Marked reviewer_decision=correct to exclude from rejected-findings promotion."
BGEO-REJ-003,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.20,AI,B,1,"maintained through comprehensive, Group-wide processes, including regular management reviews and robust Key Performance Indicators (KPIs). Data and AI We are accelerating our transformation into a truly data- driven organisation. We leverage advanced analytics and AI to enhance decision-making, dri",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-004,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.33,AI;generative AI,A;B,5,"non-technical teams to automate tasks and unlock efficiencies through our enterprise AI platform. We upgraded to a sophisticated Georgian-language Generative AI chatbot, delivering intelligent, personalised interactions. We continued to drive more effective product cross-selling in 2025 by refining our AI- ||| Driving real business value in 2025 In 2025, we transitioned from foundational AI capabilities to enterprise-wide employee empowerment, integrating AI into daily workflows to boost productivity, enhance customer experience, and accelerate sales growth. Enterprise-wide AI enablement Democratising AI ||| r experience, and accelerate sales growth. Enterprise-wide AI enablement Democratising AI across the organisation Customer Experience Next-generation AI chatbot Sales & customer acquisition AI-Powered Sales Growth We enabled non-technical teams to automate tasks and unlock efficiencies through our e ||| in Quality Management 31% increase in IT throughput 91% customer satisfaction rate Our globally recognised solution, named the “World’s Best AI for Private Banking” by Global Finance, drove 29% of non-primary client1 acquisitions in affluent segment in 2025 through advanced AI targeting ||| lobal Finance, drove 29% of non-primary client1 acquisitions in affluent segment in 2025 through advanced AI targeting Employees built 300+ custom AI assistants, freeing up 6,600 hours per month for higher-value work Weekly adoption rate increased from 10% to 56% in six months (80% in back-office",no,no,vague_general_ai_reference,DUPG-002,rejected,correct,"Fragment of the Georgian-language Generative AI customer-service chatbot narrative, over-consolidated/duplicated across current- and previous-year rejected rows. Split out to new operational staging row BGEO-OP-001. Marked reviewer_decision=correct to exclude from rejected-findings promotion. Also corroborates BGEO-OP-002 (the same passage describes both the chatbot and the enterprise AI platform)."
BGEO-REJ-005,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.35,AI,B,1,untant referral functionalities. • Simplified document handling with features for creating and editing documents online before signing. • Introduced AI-driven transfers that extract invoice data and automatically create ready payment transfers. Merchant solutions Bank of Georgia maintains its positi,no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-006,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.36,AI,B,1,"nhanced its analytical capabilities to deliver automated data insights and upgraded self-service settings to reduce merchant reliance on support. AI-driven tools in Ads Manager simplified targeted offer creation for retail and business clients, resulting in a 108.5% y-o-y increase in offer vol",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-007,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.37,automation,B,1,"g the year, we introduced several fully automated, end- to-end customer journeys, marking the beginning of a structured and scalable communication automation framework within the SME segment. Recognising that timely and relevant communication plays a critical role in business growth, we shifted from ca",no,no,ordinary_automation,,rejected,,
BGEO-REJ-008,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.38,artificial intelligence,B,2,"cademy, reaching female participants. These sessions covered topics such as organisational development, financial management and opportunities in artificial intelligence. Our flagship “School of Women Entrepreneurs,” launched in collaboration with the United Nations Development Programme (UNDP), continues to be a ||| e online platform, BusinessCourse.ge, offers courses covering topics essential for modern business, including ESG, digital marketing, finance and artificial intelligence. In 2025, participants accumulated 61,000 training hours, with 90 individuals successfully completing the rigorous full-course programmes. We org",no,no,vague_general_ai_reference,DUPG-003,rejected,,
BGEO-REJ-009,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.39,automation,B,2,"traditional and renewable energy projects, contributing to energy security and sustainability objectives. Significant upside remains in expanding automation ratio, and internal process improvements are underway to achieve this goal. Reducing time-to-money continues to be a key strategic priority in th ||| financing strategy and performance, please refer to our separate Sustainability Report. Looking ahead to 2026, our strategic priorities centre on automation and digitisation to enhance operational efficiency and deliver elevated client experiences. Corporate and Investment Banking Our Corporate and In",no,no,ordinary_automation,DUPG-004,rejected,,
BGEO-REJ-010,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.40,AI,B,1,"lence and market intelligence In 2025, Galt & Taggart reinforced its position as a leader in market intelligence, driven by proprietary datasets, AI- enhanced analysis, and significant expansion of its research coverage and client engagement. 2025 highlights Expanded coverage across key sector",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-011,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.42,machine learning,B,1,"tablished a Data Management & Enabling Tribe structure with specialised squads covering data platform, enabling, quality, metadata management and machine learning operations. This initiative will continue into 2026 with the development of a comprehensive data management strategy and implementation roadmap.",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-012,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.51,AI,B,1,"designed for reskilling and upskilling our workforce. Throughout 2025, we strengthened technology capabilities through specialised bootcamps and AI training programmes. • Enhanced collaboration and knowledge- sharing: To foster cross-functional collaboration, Bank of Georgia launched the MindS",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-013,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.63,AI;generative AI,A;B,4,"parent and operate in a manner that reinforces customer trust and respects individual rights. The cornerstone of our approach is the comprehensive Generative AI (GenAI) policy established in 2025, which looks to ensures all applications of this technology are safe and ethical. This policy governs all aspe ||| ) policy established in 2025, which looks to ensures all applications of this technology are safe and ethical. This policy governs all aspects of AI deployment, aligning with our established frameworks such as the Bank’s Privacy Policy, Data Protection Impact Assessment (DPIA) procedures, and ||| ed frameworks such as the Bank’s Privacy Policy, Data Protection Impact Assessment (DPIA) procedures, and third-party risk management standards. AI systems undergo DPIAs prior to implementation to ensure privacy, security, and ethical standards are upheld. This proactive risk assessment approa ||| ld. This proactive risk assessment approach enables potential issues to be identified and addressed before deployment. In 2025, 100% of high-risk AI systems were subject to enhanced assessment and ongoing monitoring, supporting early risk identification and mitigation. Employee training and awa",no,no,vague_general_ai_reference,DUPG-005,rejected,correct,"Contains a genuine, specific governance disclosure -- 'the comprehensive Generative AI (GenAI) policy established in 2025' governing all aspects of AI deployment with mandatory DPIAs -- distinct from vague general-AI-governance mentions elsewhere. Split out to new governance staging row BGEO-GOV-007. Marked reviewer_decision=correct to exclude from rejected-findings promotion."
BGEO-REJ-014,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.64,AI,B,1,"ngthening internal claims-handling capabilities, reducing reliance on third parties, and accelerating resolution times. Ameriabank also introduced AI-powered voice identification in 2025 – the first in the Armenian market – improving security, shortening call handling and enhancing overall cust",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-015,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.100,AI,B,1,"opment constituted 49% of all training. Career development and future skills training To build future-ready capabilities, Bank of Georgia launched an AI Awareness Programme and a gamified Business Principles programme. At Ameriabank, nearly 30% of training focused on data, AI and technology (66% wome",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-016,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.101,GenAI,A,1,"loyees. High-potential programmes: Our Back-Office Talent Development Programme integrates strategic learning with future- oriented skills, including GenAI training. Within the first year, 42% of participants (54% women) were promoted. Our Front- Office High-Potential Programme, launched in 2024 with 94%",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-017,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.106,AI,B,1,"nal Scholarship Programme: Funds short-term vocational courses at seven leading academies, helping individuals transition to in-demand careers. • AI Scholarship for Women: Partnership with UN Women and Mastercard providing women with specialised AI training to close the tech gender gap. In Ar",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-018,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.107,artificial intelligence,B,1,"ce fiction. In partnership with Enterprise Incubator Foundation, Ameriabank delivered AI4All, a 10-month programme introducing 14–18-year- olds to artificial intelligence and machine learning through a curriculum blending theory with hands-on projects.",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-019,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.120,AI,B,1,"inancial service provision. Employees remain crucial to the Group’s success, supporting innovation and growth. To bolster digital capabilities and AI-driven decision-making, the Group prioritises attracting and retaining skilled talent and developing leaders for succession planning. Risk managem",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-020,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.121,AI;artificial intelligence;generative AI,A;B,5,"nitoring and compliance with regulatory standards. In 2025, Bank of Georgia expanded its use of artificial intelligence by beginning to implement generative AI and Large Language Models (LLMs). The introduction of these advanced models is conducted under the Bank’s robust model risk management framework. ||| pplication. The regulation requires that all relevant new and existing models be in line with regulatory requirements. Given the increasing use of AI-driven models at Bank of Georgia, particular attention is paid to the oversight and mitigation of AI-related risks. To ensure effective oversight ||| ven models at Bank of Georgia, particular attention is paid to the oversight and mitigation of AI-related risks. To ensure effective oversight of AI, Bank of Georgia maintains internal policies and procedures governing AI usage, which outline clear guidelines for model development, validation, ||| sage. Key drivers and developments As banking operations become more complex and digital, the adoption of statistical models, machine learning and artificial intelligence enhances decision-making and provides competitive intelligence. To sustain these benefits, sound model risk assessment frameworks and validation ||| sound model risk assessment frameworks and validation practices are essential. The NBG’s regulation – Managing Risks for Data-based Statistical, Artificial Intelligence and Machine Learning Models – sets additional requirements for model development, validation, monitoring and application. The regulation requires",no,no,vague_general_ai_reference,DUPG-006,rejected,,
BGEO-REJ-021,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.135,AI,B,1,ulture Management UK Executive Remuneration Regional Knowledge Expert Experienced Some Experience * The Board notes that Artificial Intelligence (AI) capabilities are considered within the broader skills above and recognises the increasing importance of AI considerations in its strategy and risk,no,no,vague_general_ai_reference,,rejected,correct,"Contains a genuine, specific governance disclosure -- 'the comprehensive Generative AI (GenAI) policy established in 2025' governing all aspects of AI deployment with mandatory DPIAs -- distinct from vague general-AI-governance mentions elsewhere. Split out to new governance staging row BGEO-GOV-007. Marked reviewer_decision=correct to exclude from rejected-findings promotion. Also corroborates the operational rows: 'Bank of Georgia expanded its use of artificial intelligence by beginning to implement generative AI and Large Language Models (LLMs)' under the Bank's model risk management framework."
BGEO-REJ-022,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.143,AI,B,1,"nd Corporate Transparency Act 2023 (ECCTA); • proxy advisor voting guidelines; • internal audit global standards; • the macroeconomic environment; • AI; and • the Armenian banking environment. Audit Committee members also received updates on developments in audit and accounting, including changes t",no,no,audit_analytics,,rejected,,
BGEO-REJ-023,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.148,AI,B,1,"for Armenian Science and Technology, he significantly elevated Armenia’s standing in the international innovation landscape, particularly within AI, biotechnology and other STEM fields. He founded Athgo Corporation, a UN-recognised global entrepreneurship platform that cultivated over 10,000",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-024,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.149,LLM,A,1,"began her career at Legal Partners Associated LLC in 2010 and has been an associate lecturer at Free University of Tbilisi since 2015. Education LLM, University of Cambridge; LLB, Caucasus University. Skills and experience Giorgi was appointed as the Group and Bank of Georgia’s CFO, effective M",no,no,vague_general_ai_reference,DUPG-015,rejected,,
BGEO-REJ-025,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.154,AI,B,1,"and cyber security, while present, remained an opportunity for further development across the broader Board composition. The Committee notes that AI capabilities are considered within the broader domains of the above, and recognises the increasing importance of AI considerations in its strategi",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-026,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.165,automation,B,1,iabank Internal Audit teams. • Reviewed reports of internal audits and monitored follow-up actions. • Received a presentation of an internal audit automation tool for anti-money laundering at Bank of Georgia. • Approved the Bank of Georgia annual Internal Audit Plan and budget for 2026. • Approved Inter,no,no,audit_analytics,,rejected,,
BGEO-REJ-027,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.176,AI,B,1,"inancial crime risks, including internal and external fraud, remain key areas of focus. The expansion of digital banking, alongside the emergence of AI-powered impersonation and social engineering techniques, has significantly increased the Group’s exposure to fraud threats. Fraud schemes continue t",no,no,vague_general_ai_reference,,rejected,,
BGEO-REJ-028,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.183,GenAI,A,2,"Is (Bank of Georgia) 5. NPS (6%) Net Promoter Score 55.0 60.0 65.0 75.75 6.0% 6. eNPS (6%) Employee Net Promoter Score 44.0 54.0 64.0 59.36 5.2% 7. GenAI engagement (2%) 40.0% 50.0% 70.0% 55.9%7 1.6% 8. Retail Digital MAU (2%) 1,650,000 1,750,000 1,850,000 1,833,1168 1.9% 9. ESG/impact (4%) ‒ Cash wi ||| gement and open lines of communication, the CEO held town halls and periodic live sessions with employees and maintained a CEO vlog on Workplace. 7. GenAI engagement: 55.9% achieved. This new KPI was introduced in 2025 to measure the weekly adoption of internal AI tools by employees at Bank of Georgia,",no,no,vague_general_ai_reference,DUPG-007,rejected,correct,"Fragment of the internal 'enterprise AI platform' / employee-built custom AI assistants narrative, over-consolidated/duplicated across current- and previous-year rejected rows. Split out to new operational staging row BGEO-OP-002. Marked reviewer_decision=correct to exclude from rejected-findings promotion. (2025 AR: 'GenAI engagement' KPI measuring 'the weekly adoption of internal AI tools by employees at Bank of Georgia', corroborating BGEO-OP-002's adoption-rate figures)."
BGEO-REJ-029,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2025,BGEO_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.192,GenAI,A,1,ion Committee has set Mr Gachechiladze’s KPIs for 2026: • ROAE • Cost:income ratio • Cost of Risk • Profit before tax (PBT) • NPS – Bank of Georgia • GenAI engagement • Bank operational strategic projects • ESG/impact metrics • Individual KBOs The performance targets are currently commercially sensitive,no,no,vague_general_ai_reference,DUPG-016,rejected,correct,"Fragment of the internal 'enterprise AI platform' / employee-built custom AI assistants narrative, over-consolidated/duplicated across current- and previous-year rejected rows. Split out to new operational staging row BGEO-OP-002. Marked reviewer_decision=correct to exclude from rejected-findings promotion. (2026 KPI-setting reference to the same 'GenAI engagement' metric)."
BGEO-REJ-030,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2024,BGEO_company_annual_report_previous_fy2024_2025-04.pdf,,annual_report_previous,company_primary,p.9,AI;generative AI,A;B,4,"itment to innovative, locally-relevant solutions. Looking ahead, the Board is committed to strategically exploring the transformative potential of Generative AI technologies across the organisation. Sharing success and positive outcomes I can talk a lot about the strong financial results: a record adjusted ||| ges we are witnessing worldwide. One of the strategic opportunities the Board focuses on is the fast pace of deployment of artificial intelligence (AI). The Group has a track record of innovation and technological excellence in banking, and Bank of Georgia is the digital leader in its market – re ||| 24 by Global Finance. Our digital channels and products can compete with top global fintech companies. Over the years the Group has built a strong AI competence and uses AI models extensively in diverse areas including credit assessment, customer acquisition and engagement, personalised financial ||| d operations. We are particularly proud to be the only financial institution in Georgia to have an in-house developed large-scale Georgian language AI chatbot and a Georgian speech-to-text model, demonstrating our commitment to innovative, locally-relevant solutions. Looking ahead, the Board is c",no,no,vague_general_ai_reference,DUPG-008,rejected,correct,"Fragment of the Georgian-language Generative AI customer-service chatbot narrative, over-consolidated/duplicated across current- and previous-year rejected rows. Split out to new operational staging row BGEO-OP-001. Marked reviewer_decision=correct to exclude from rejected-findings promotion. (2024 AR: 'in-house developed large-scale Georgian language AI chatbot')."
BGEO-REJ-031,Lion Finance Group,BGEO,Lion Finance Group PLC Annual Report 2024,BGEO_company_annual_report_previous_fy2024_2025-04.pdf,,annual_report_previous,company_primary,p.11,AI,B,2,"stomer-centricity, supported by advanced technology, and backed by prudent risk management. We offer a seamless digital journey, while big data and AI-driven insights optimise risk management and personalisation behind the scenes – all supported by a robust core IT infrastructure. In fact, we are ||| k management and personalisation behind the scenes – all supported by a robust core IT infrastructure. In fact, we are placing significant focus on AI, which is already delivering tangible business value – from smarter cross-selling to enhanced risk management and operational efficiency. Looking",no,no,vague_general_ai_reference,DUPG-009,rejected,,
