staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
AAF-REJ-001,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.7,automation,B,1,"an, efficient operating model A relentless focus on cost efficiencies to ensure profitable growth. Digital transformation, cost discipline, process automation and strong partner relationships help streamline operations and ensure resource optimisation while enhancing the customer experience. enabled or f",no,no,ordinary_automation,,rejected,,
AAF-REJ-002,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.13,AI;artificial intelligence,B,2,"osystem to deliver products and solutions, alongside its own digital capabilities. This year has seen innovations such as the launch of the Airtel AI Spam Alert Service in Nigeria, the first product of its kind in Africa to harness the power of artificial intelligence to protect our customers f ||| programme is now providing tuition costs and an annual stipend for the first cohort of five women and five men pursuing a BSc in data science and artificial intelligence at the Indian Institute of T echnology Madras (IITM) in Zanzibar, T anzania. Continuing our track record of constant currency growth I would lik",no,no,vague_general_ai_reference,DUPG-001,rejected,,
AAF-REJ-003,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"provide free access to online educational platforms across 13 markets. The Foundation has also already launched fellowships for students studying AI and data science, and it’s backing local sustainability projects, from reforestation to solar power. Every day we see the benefits of digital and",no,no,vague_general_ai_reference,,rejected,,
AAF-REJ-004,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.22,automation,B,1,Strengthen ‘go-to-market’ We aim to leverage salesforce automation and technology to ensure high-quality customer acquisitions. We continue to build on our unique distribution network to increase our ability to,no,no,ordinary_automation,,rejected,,
AAF-REJ-005,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.24,AI,B,4,"South Africa. When complete, 2Africa will connect Africa to both Asia and Europe . Game-changing innovation to meet customers’ needs: the Airtel AI spam alert service Our success is built around improving every aspect of a customer’s experience – and we are committed to digital innovation tha ||| nnovation that makes using our services simpler and more convenient while keeping customers safe and secure. In March 2025, we launched the Airtel AI spam alert service, the first product of its kind in Africa. Developed by Airtel Africa to harness the power of artificial intelligence to protec ||| agencies and others, and are often the gateway to information theft and fraud. Launched initially in our largest market, Nigeria, our innovative AI-powered solution analyses SMS messages without reading the content, filtering them through a proprietary dual-layer protection: one layer at the ||| twork level and the other at the IT systems level. It can process over 1.5 billion messages in 2 milliseconds. At no cost to customers, the Airtel AI spam alert service identifies suspicious SMS messages as ‘suspected spam’ and sends real-time alerts to our customers who are automatically enrol",no,no,vague_general_ai_reference,DUPG-002,rejected,,
AAF-REJ-006,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.35,automation,B,1,"aximum resilience. In Nigeria, in 2024/25, we introduced innovative network design technology to reduce downtime following fibre damage. This ‘SRv6 automation’ technology intelligently re-routes traffic to reduce network recovery time from 30 minutes to 30 seconds on average, while also easing congestion",no,no,ordinary_automation,,rejected,,
AAF-REJ-007,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.69,artificial intelligence,B,1,"tion of technology leaders in Africa. The first fellowship cohort consists of five women and five men, currently pursuing a BSc in data science and artificial intelligence at the Indian Institute of T echnology Madras (IITM) in Zanzibar, T anzania. The fellowship covers full tuition and provides an annual stipend of",no,no,vague_general_ai_reference,,rejected,,
AAF-REJ-008,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.103,automation,B,1,"towers, by collaborating with tower companies (towercos) to find solutions • Improving sustainability and carbon emissions data by moving towards automation and increasing scrutiny at OpCo and Group levels to ensure more robust and reliable data • Completing the establishment of the Airtel Africa Founda",no,no,ordinary_automation,,rejected,,
AAF-REJ-009,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.113,AI,B,1,"ty to discuss business strategy and growth, and answer questions regarding growth, workforce and the evolution of the telecoms sector in the age of AI and satellite communications. Stakeholder considerations are included in every Board paper as part of the standard template. This ensures that we",no,no,vague_general_ai_reference,,rejected,,
AAF-REJ-010,Airtel Africa,AAF,Airtel Africa plc Annual Report and Accounts 2025,AAF_company_annual_report_current_fy2024-25_2025.pdf,,annual_report_current,company_primary,p.120,automation,B,2,"s of our culture including collaboration, diversity and customer focus. They also highlighted where more could be done – including career pathways, automation and employee empowerment. This year, in addition to taking steps to cushion cost-of-living pressures through our annual salary review process and ||| diversity • Quarterly HR presentations to the Board on the progress of key HR projects, important talent acquisitions, project updates such as HR automation, and learning and development and performance management • Quarterly reports from the HR Forum and Remuneration Forum chair to the Remuneration Co",no,no,ordinary_automation,DUPG-003,rejected,,
