finding_id,company,ticker,sector,source_id,finding_name,finding_type,evidence_quotation,page_or_section,evidence_strength,confidence,reason_excluded_from_operational_count,coded_by,coded_date,notes
AZN-STR-001,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,Tempus and Pathos multimodal oncology foundation-model collaboration,partnership,Established strategic AI collaborations with Tempus and Pathos to develop the largest multimodal oncology foundation model.,"Business Review, ""Science and Innovation,"" p.29",2_moderate,medium,"Names a foundation model but describes only a partnership/development initiative -- no specific task, user group, or operational deployment is evidenced.",claude_code,2026-07-15,Not added to use_case_dataset_template.csv; retained here as a strategic-capability-building finding pending future evidence of an operational deployment.
AZN-STR-002,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-001,Modella AI acquisition to advance foundation models in oncology clinical development,acquisition,We acquired Modella AI to advance foundation models across oncology clinical development,"Business Review, ""Science and Innovation,"" p.29",2_moderate,medium,"Describes an acquisition of capability, not a deployed or tested task; no indication the acquired capability is live, scaled, or integrated.",claude_code,2026-07-15,Not added to use_case_dataset_template.csv; retained here as a strategic-capability-building finding pending future evidence of an operational deployment.
TSCO-STR-001,Tesco,TSCO,Food & drug retailing,TSCO-001,Embedding ai into operations (p.69),embedding_ai_into_operations,"and opportunities available. Improvements in technology continue to support the delivery of the Group’s strategic priorities. We continue to embed AI into our business to optimise operations to better serve our customers, communities and planet. As new techniques and uses emerge, we are exploring",p.69,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging TSCO-STR-002 (reviewer_decision=accept). Company-primary statement of embedding AI into operations with a clear (if broad) capability described, but no specific task, deployment stage, or measurable outcome -- matches 2_moderate/medium. reviewer_notes at staging: Genuine company-level statement describing Tesco embedding AI into its own operations -- substantive strategic/capability-building finding, not a bio or vague mention."
TSCO-STR-002,Tesco,TSCO,Food & drug retailing,TSCO-002,Embedding ai into operations (p.68),embedding_ai_into_operations,"oversight of the risks and opportunities available. Improved technology will support the delivery of our strategic priorities. We continue to embed AI into our business. AI is an innovative area of technological change that Tesco uses to optimise its operations and better serve its customers, comm",p.68,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging TSCO-STR-005 (reviewer_decision=accept). Company-primary statement of embedding AI into operations with a clear (if broad) capability described, but no specific task, deployment stage, or measurable outcome -- matches 2_moderate/medium. reviewer_notes at staging: Genuine company-level statement (cross-year duplicate of the AR2025 version) describing Tesco embedding AI into its own operations -- substantive strategic finding."
TSCO-STR-003,Tesco,TSCO,Food & drug retailing,TSCO-002,Data and ai capability building (p.87),data_and_ai_capability_building,"w TBS build and engineer data platforms to provide analytical capabilities and tools to support the business, including the development of data and AI products at scale. The Directors heard more about how TBS have initiated innovations leading to making processes simpler and cost effective. Examp",p.87,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging TSCO-STR-006 (reviewer_decision=accept). Names a specific internal team (TBS) building data-and-AI capability at scale, but no discrete task or deployment evidence -- matches 2_moderate/medium. reviewer_notes at staging: Describes a specific internal team (TBS) building data-and-AI capability at scale -- substantive capability-building finding, not a bio or vague mention."
TSCO-STR-004,Tesco,TSCO,Food & drug retailing,TSCO-003,Technology strategy (p.57),technology_strategy,"mme, implementing next generation tools including threat detection, and the gathering of intelligence from the National Cyber Security Centre. AI is an innovative area of technological change that Tesco uses to optimise our operations and better serve our customers, communities and planet. As",p.57,1_weak,low,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging TSCO-STR-008 (reviewer_decision=accept). Broad statement that AI is used to 'optimise operations', with no specific task, team, or deployment evidence described -- matches 1_weak/low. reviewer_notes at staging: Genuine company-level statement (not a bio) that Tesco uses AI as part of its technology strategy to optimise operations -- substantive, consistent with the equivalent embedding-AI statements accepted elsewhere."
BT-STR-001,BT Group,BT.A,Telecommunications services,BT-001,Data and ai capability building (p.19),data_and_ai_capability_building,"Building future AI foundations: – We have more than 50 internally developed AI solutions ‘in production’, 90 AI-enhanced third-party applications deployed across ou",p.19,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging BT-STR-001 (reviewer_decision=accept). Names a specific internal team (TBS) building data-and-AI capability at scale, but no discrete task or deployment evidence -- matches 2_moderate/medium. reviewer_notes at staging: Substantive company-level AI capability-building disclosure: 50+ internally developed AI solutions 'in production' plus 90 AI-enhanced third-party applications deployed across the business."
BT-STR-002,BT Group,BT.A,Telecommunications services,BT-001,Digital transformation (p.19),digital_transformation,"new buildings in Dundee, Manchester and Sheffield – and a new Openreach HQ in London. 2,500 We've trained 2,500 colleagues on the fundamentals of AI, cloud and digital transformation 30,000 We've helped 3,995 Digital colleagues (c. 90% of the unit) complete 30,000 hours of learning from April",p.19,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging BT-STR-002 (reviewer_decision=accept). Concrete workforce/skills-training statement (2,500 colleagues trained; 30,000 learning hours) tied to AI/cloud/digital-transformation fundamentals -- specific quantified figures given, but no deployment-stage or discrete-task detail -- matches 2_moderate/medium. reviewer_notes at staging: Substantive workforce readiness/skills development: 2,500 colleagues trained on AI/cloud/digital transformation fundamentals; 30,000 learning hours completed by the Digital unit."
RR-STR-001,Rolls-Royce Holdings,RR,Aerospace & defence,RR-004,Data and ai capability building (not_applicable),data_and_ai_capability_building,ustomer and employee experience.” Rolls-Royce is building a central data repository to connect its data and restructuring its information for use by generative AI. The company wants to create a robust foundation for a seamless digital thread across its value chain. Microsoft AI and cloud capabilities are suppor,not_applicable,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging RR-STR-001 (reviewer_decision=accept). Names a specific internal team (TBS) building data-and-AI capability at scale, but no discrete task or deployment evidence -- matches 2_moderate/medium. reviewer_notes at staging: Genuine enablement/infrastructure finding: Rolls-Royce building a central data repository/digital thread 'for use by generative AI' -- capability-building toward future GenAI use, not yet a concrete operational task, correctly kept strategic per guidance."
RR-STR-002,Rolls-Royce Holdings,RR,Aerospace & defence,RR-002,Embedding ai into operations (p.15),embedding_ai_into_operations,stantly developing and invest in new technologies to ensure that we deliver the most efficient solution to our customers. We are actively embedding AI and digital tools throughout our business. Examples include augmented decision making through real-time data driven insights and accelerated genera,p.15,2_moderate,medium,"Strategic/capability-building language with no discrete operational task, user group, or deployment stage evidenced -- does not meet the operational use-case bar.",human,2026-07-17,"Promoted from staging RR-STR-002 (reviewer_decision=accept). Company-primary statement of embedding AI into operations with a clear (if broad) capability described, but no specific task, deployment stage, or measurable outcome -- matches 2_moderate/medium. reviewer_notes at staging: Substantive: 'We are actively embedding AI and digital tools throughout our business. Examples include augmented decision making through real-time data driven insights...' -- concrete example given, genuine embedding-AI-into-operations finding."
