staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
EXPN-STR-001,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.3,AI,B,1,"l disproportionately reward those best positioned to harness it. In this environment, the strategic value of data only increases. We are embedding AI more deeply across our products, platforms and operations, accelerating innovation to create meaningful new value for our clients and consumer mem",no,no,embedding_ai_into_operations,,strategic,,
EXPN-STR-002,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.26,AI,B,1,"Experian plc Strategic report 26 Our strategy continued Our AI foundations are strong and we are widening our ambition Our AI priorities Experian is strongly positioned for the AI era. Our proprietary, permissi",no,no,data_and_ai_capability_building,,strategic,,
EXPN-STR-003,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.27,AI,B,1,"27 Experian plc Annual Report 2026 Strategic report Embed AI in new products FY26 progress • La unched AI-enabled products across Consumer Services, Financial Services, and Verticals. Key examples include: –",no,no,embedding_ai_into_operations,,strategic,,
EXPN-STR-004,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.31,AI,B,2,"address important client workflows. Over 90% of our revenue is derived from proprietary data which provides us with a powerful foundation to embed AI across our solutions. Through platforms such as Ascend, we bring together data, analytics and AI-driven capabilities in a connected way, which str ||| e and is helping to accelerate growth in our Health business. We see similar opportunities across the Health product portfolio and we are embedding AI into other high-value workflows, including claims and appeals, in a market where insurance claim denials are rising and healthcare providers are u",no,no,embedding_ai_into_operations,DUPG-021,strategic,,
EXPN-STR-005,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.66,GenAI,A,1,"e growth and margin progression. We have been embedding AI in our products and value-creation processes for more than a decade, and the adoption of GenAI across the business is extending those capabilities further. 1 Ongoing activities. 2 See note 7 to the Group financial statements f or the defini",no,no,embedding_ai_into_operations,,strategic,,
EXPN-STR-006,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.82,AI,B,1,"merica operational headquarters in Costa Mesa, California, USA, where it received a recap of the strategy in North America, a further update on its AI strategy, and on the Experian North America Consumer Services, the Financial Services and Data Commercialisation, and Automotive businesses. Mike R",no,no,technology_strategy,,strategic,,
EXPN-STR-007,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.88,AI,B,1,"from global and regional management March 2026 Bo ard and Committee meetings, and a recap of the North America strategy, updates on the Group’s AI strategy and the Experian North America Consumer Services, Financial Services and Data Commercialisation, and Automotive businesses Board Nomina",no,no,technology_strategy,,strategic,,
EXPN-STR-008,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.89,AI,B,1,"recap of the North America, regional and business strategy with management, and met with colleagues. The Board also received updates on the Group’s AI strategy and the Experian North America Consumer Services, Financial Services and Data Commercialisation, and Automotive businesses.",no,no,technology_strategy,,strategic,,
EXPN-STR-009,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.90,AI,B,1,"trategic business review in our North America operational headquarters in Costa Mesa, California, USA and received a further update on the region’s AI strategy, and on the Experian North America Consumer Services, the Financial Services and Data Commercialisation, and Automotive businesses • As p",no,no,technology_strategy,,strategic,,
EXPN-STR-010,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.93,AI,B,1,"regional and business strategy and was able to engage with colleagues and senior regional management. The Board also received updates on the Group’s AI strategy and the Experian North America Consumer Services, Financial Services and Data Commercialisation, and Automotive businesses. Board members",no,no,technology_strategy,,strategic,,
EXPN-STR-011,Experian,EXPN,Experian Annual Report 2026 (year ended 31 March 2026),EXPN_company_annual_report_current_fy2026.pdf,,annual_report_current,company_primary,p.108,AI,B,1,"by management, in particular ensuring that changes in the macroeconomic and competitive environment were appropriately captured. The potential for AI opportunities or disruption was a key focus when assessing the assumptions. The Committee acknowledged the use of external sources to support and",no,no,embedding_ai_into_operations,,strategic,,
EXPN-STR-012,Experian,EXPN,Experian Accelerates Migration to AWS to Drive Innovation with Generative AI,EXPN_company_press_release_experian-accelerates-migration-to-aws-to-drive-innovation-wi_2025-06-19.html,,press_release,company_primary,not_applicable,AI;generative AI,A;B,8,"se_experian-accelerates-migration-to-aws-to-drive-innovation-wi_2025-06-19.html Title: Experian Accelerates Migration to AWS to Drive Innovation with Generative AI Skip to main navigation Share price at Alerts and feeds Contact us Global sites Share price Experian shares (EXPN) are listed on the London St ||| er of You 2026 report (Spanish) Read our Power of You 2026 report (Portuguese) More Experian Accelerates Migration to AWS to Drive Innovation with Generative AI Experian Accelerates Migration to AWS to Drive Innovation with Generative AI Global data and technology leader expands its cloud footprint to enhan ||| -year strategic agreement, Experian has selected AWS as their strategic partner for generative artificial intelligence (AI), developing more than 100 generative AI use-cases. This collaboration will drive operational efficiency, democratize data technologies for employees, and develop new credit and financial an ||| perational efficiency, democratize data technologies for employees, and develop new credit and financial analytics offerings. With the integration of generative AI, Experian is streamlining the complex process of database migrations, automating and optimizing the transfer of vast datasets, reducing downtime, imp ||| tt Mullins, Managing Director, Worldwide Financial Services at AWS. “As they build intelligent data platforms, develop cutting-edge applications with generative AI, and gain real-time insights, Experian is demonstrating how organizations can reinvent their operations while maintaining security, compliance, and r ||| odrigo Rodrigues, Chief Technology Officer at Experian. ""Having our data readily available in the cloud sets us up to invest in new capabilities like generative AI and advance products and solutions for our clients with proven security. By moving to AWS, we've reduced our data processing time by 60%, improved ou ||| ion with Generative AI Global data and technology leader expands its cloud footprint to enhance performance and reliability, using AWS analytics and AI capabilities to give financial organizations access to real-time intelligence SEATTLE—June 19, 2025—Amazon Web Services, Inc. (AWS), an Amazon.com, ||| t now has more than 240 fully featured services for compute, storage, databases, networking, analytics, machine learning and artificial intelligence (AI), Internet of Things (IoT), mobile, security, hybrid, media, and application development, deployment, and management from 117 Availability Zones with",no,no,data_and_ai_capability_building,,strategic,accept,"REVIEW: reviewed from rejected (EXPN-REJ-064). Explicit generative-AI language present ('generative AI', 'developing more than 100 generative AI use-cases', database-migration streamlining) but no individually described task meets all four operational criteria (task, user group, deployment stage, GenAI connection) -- no employee/customer user group is named for the database-migration task specifically. Retained as strategic capability-building evidence (AWS strategic partnership for generative AI) per the conservative coding rule against inferring operational use from platform-level or partnership disclosure. Company-primary provenance."
