company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.5,automation,B,"ve planning to deliver the best -value solutions in the long term. We exploit innovation to find better ways of working, capitalising on digital and automation opportunities. We continue to raise efficient financing and manage risk prudently. We also leverage partnerships and drive value in our supply chai",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.8,artificial intelligence,B,"anticipated demand increases, and a fleet of alternative supply vehicles, this helps us to deliver a more resilient water supply. We use sensors and artificial intelligence, and have dedicated teams to detect and fix leaks across our pipes as well as helping customers identify leaks on their property, which can save the",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.17,artificial intelligence,B,"hnology and innovation Developments New technology and innovation can create opportunities for improvements in service and efficiency. The use of artificial intelligence and machine learning helps us to improve performance, and is central to our Dynamic Network Management approach. We work c losely with suppliers and",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.18,automation,B,"e planning to deliver the best - value solutions in the long term. We exploit innovation to find better ways of working, capitalising on digital and automation opportunities. We continue to raise efficient financing and manage risk prudently. We also leverage partnerships and drive value in our supply chain",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.24,artificial intelligence,B,"data: Ageing technology assets, and poor-quality data can threaten efficiency and security. In addition, the pace of technological change (including artificial intelligence), and seeking opportunities through increased automation and system integration, can provide challenges in the adaptability of the workforce and in",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.27,machine learning,B,"pair and replacement of assets due to proactive and reactive activity. • Dynamic Network Management: Proactive decision making and action driven by machine learning system monitoring of strategically placed sensors. • Licence to operate: Training and competence. Other controls include customer awareness, trade",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.33,artificial intelligence,B,"this AMP. Technological innovation We recognise technological innovation as an opportunity to improve efficiency, service levels and resilience. Artificial intelligence and machine learning is already central to our Dynamic Network Management approach that we have adopted across our wastewater system, and we continu",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_current_fy2024-25_2025-05.pdf,p.33,artificial intelligence,B,"l expansion could increase the exposure to cyber attacks. Hydrogen generation and the data centre market (driven by factors such as the expansion of artificial intelligence and cloud computing) are expected to grow substantially, both of which require significant amounts of wate r –putting further unprecedented demand",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,p.25,artificial intelligence,B,"ticipated demand increases, and a fleet of alternative supply vehicles, this helps us to deliver a more resilient water supply . We use sensors and artificial intelligence, and have dedicated teams to detect and fix leaks across our pipes as well as helping customers identify leaks on their property , which can save t",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
United Utilities,UU,,UU_company_annual_report_previous_fy2023-24_2024-05.pdf,p.27,artificial intelligence,B,"47 to 48 T echnology and innovation New technology and innovation can create opportunities for improvements in service and efficiency . The use of artificial intelligence and machine learning helps us to improve performance, and is central to our Dynamic Network Management approach as set out in the infographic on",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
