staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BARC-GOV-001,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"rand equity instils trust, lowers the cost of acquiring customers and clients, and helps retain them for longer. Technology and infrastructure Our AI-enabled technology and infrastructure capabilities enhance customer experience and support strong resilience. Operations and governance Our risk",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-002,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.13,AI,B,2,"ognised as one of the inaugural Frontier Firms – an initiative by Harvard Business School and Microsoft that brings together organisations putting AI at the heart of their transformation strategy. Strategic report Shareholder information Climate and sustainability report Governance Risk revi ||| ion Climate and sustainability report Governance Risk review Financial review Financial statements Barclays PLC Annual Report 2025 12 Technology AI Help Hub Assistant In Barclays UK, our newly introduced AI- powered Help Hub Assistant supports colleagues in delivering exceptional customer serv",no,no,ai_governance_framework,DUPG-001,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-003,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.126,AI,B,1,ilience against cyber threats and realise further efficiency and productivity improvements through new technologies and responsible deployment of AI. This includes the Board's continued review of the approach to AI governance (including the internal policies and standards relating to AI) and a,no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-004,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.143,AI,B,1,"ed testing and addressing vulnerabilities. As part of our consideration of model risk, we have considered the risks and opportunities presented by AI, both in terms of internal adoption and external threats, seeking to understand that governance frameworks and policies are in place to manage th",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-005,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.252,AI,B,1,"of MRM, provides the overview for management and governance of Model risk in Barclays, including key components such as the Model Risk Policy, the AI Policy and supporting standards, reporting and escalation paths for breaches of policy. Strategic report Shareholder information Climate and su",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-006,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.253,AI,B,3,"stent identification of AI Systems, and the risks associated with their use. • Define governance and escalation pathways to provide transparency on AI use and associated risks to Senior Management. • Define control objective for AI training and literacy. MRM operates the Group Model Risk Committ ||| calate as required in compliance with the Operation of Committees Policy and internal applicable governance policies. Cross functional oversight of AI Risk in the bank, is provided by the Group AI Governance Council, under the mandate of Head of AI/ML Risk. The Head of AI/ML Risk is also responsi ||| vided by the Group AI Governance Council, under the mandate of Head of AI/ML Risk. The Head of AI/ML Risk is also responsible for establishing the AI Risk Appetite, and enabling reporting of compliance with the AI Policy and AI Standard to the Group and local entity Board Risk Committee(s). In a",no,no,ai_governance_framework,DUPG-016,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-007,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.253,AI,B,2,"ge and reporting processes, and assigns clear roles and responsibilities for the end-to- end management of model risk. The Artificial Intelligence (AI) Policy lays out the requirements for management and oversight of risks associated with use of AI and is supported by the AI standard. The primar ||| oversight of risks associated with use of AI and is supported by the AI standard. The primary objectives of this Policy are to: • Define Ethical AI Principles to enable ethical, lawful, and appropriate use of AI. • Establish an enterprise-wide definition of AI, define risks stemming from use of",no,no,safeguards_and_responsible_use,DUPG-017,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-008,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.342,generative AI,A,1,"d design. • Introduced Artificial Intelligence(AI) Standard in support of the AI Policy, further developed of approach to AI validation, including Generative AI, and design of associated governance framework. • Expanded model risk framework to provide transparency around risk themes (Data and Technology)",no,no,ai_governance_framework,DUPG-025,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-009,Barclays,BARC,Barclays PLC Annual Report 2025,BARC_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.355,AI,B,1,"omprehensive laws that adopt risk-based frameworks and principles (such as Colorado’s An Act Concerning Consumer Protections In Interactions with AI Systems and the Texas Responsible AI Governance Act), while other states are focusing on applications perceived as higher-risk (such as laws regul",no,no,ai_governance_framework,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
BARC-GOV-010,Barclays,BARC,Barclays PLC Annual Report 2024,BARC_company_annual_report_previous_fy2024_2024.pdf,,annual_report_previous,company_primary,p.148,AI,B,1,ulminated in a Board-level tabletop exercise. • Participated in a deep dive session on the responsible use of generative artificial intelligence (AI) and considered the opportunities and risks relating to the use of this technology. • Considered how to bring additional technology expertise and,no,no,safeguards_and_responsible_use,,governance,accept, REVIEW: genuine AI-governance/oversight disclosure.
