company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.7,AI,B,"al Context Global growth in 2025 was stronger than expected, as the tariff-related headwinds were offset by the significant momentum generated by AI capital expenditure and trade growth, and by the support provided by the ever- resilient US consumer. The global geopolitical context was marked by",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.8,AI,B,"2026. Despite significant policy uncertainty, global trade is also set to grow, supported by the expansion of new trade corridors and the boom in AI hardware demand. Inflation should continue drifting downward, although with divergence across markets. Somewhat uneven growth across industries an",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.8,AI,B,"should provide a tailwind for consumption growth. The US should be a key driver of global growth, reaping the benefits of sizeable investments in AI, tax cuts and incentives, as well as substantial deregulation. Our Colleagues I will end where I began, by recognising and wholeheartedly thank",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.10,GenAI,A,"e modernising the bank through AI and automation to enhance customer experience, increase productivity and boost efficiency. We have more than 100 GenAI active use cases and are increasing AI partnerships to accelerate adoption of cutting-edge technologies. More than 31,000 of our engineers now us",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.10,AI,B,"ve use cases and are increasing AI partnerships to accelerate adoption of cutting-edge technologies. More than 31,000 of our engineers now use an AI-enabled coding assistant and our HSBC Productivity Suite tool is available to around 85% of our colleagues to help summarise, analyse and translat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.13,generative AI,A,"tn Customer deposit balances (2024: $1.7tn) Improving operational excellence through artificial intelligence In 2025, we accelerated the adoption of Generative AI (‘GenAI’) across HSBC, moving from experimentation to scaled delivery. Today, we have over 100 GenAI solutions in use and a strong pipeline of use",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.13,GenAI,A,"s this year has been significant, the opportunity ahead is far greater. Our strategic partnership with Mistral strengthens our commitment to scale GenAI capabilities and we will continue to prioritise areas that matter most to our customers and colleagues, and drive performance. Through 2026, we i",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.13,GenAI,A,"ve performance. Through 2026, we intend to expand enterprise-wide adoption of AI tools and strive to embed AI deeper into our core processes. >100 GenAI solutions in use Our ambitions Revenue growth rising to 5% YoY We are focused on growth opportunities within our strategy that play to our strengths",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.13,large language model,A,"we continue to invest in training and tooling to support staff in their roles. Around the globe, around 85% of our colleagues have access to our large language model-based productivity tool, HSBC Productivity Suite, which helps them to analyse and translate documents, summarise information and generate insights.",likely_genai,medium,"Stage A high-precision generative-AI term 'large language model' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.13,AI,B,"erimentation to scaled delivery. Today, we have over 100 GenAI solutions in use and a strong pipeline of use cases in development. Our adoption of AI is underpinned by our people, and we continue to invest in training and tooling to support staff in their roles. Around the globe, around 85% of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.30,AI,B,"Directors met with key suppliers to facilitate exploratory conversations, including discussions on how technology solutions may be enhanced through AI and data and opportunities for innovation, particularly in the areas of improving customer experience, risk management, operational resilience, and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.32,AI,B,"ate in some of the most affected markets. Financial markets have witnessed significant valuation gains, including in the artificial intelligence (‘AI’) and technology sectors. The investment in these sectors may deliver gains to productivity, but current high valuations also raise the risk of a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.32,AI,B,"rols to help us detect, prevent, respond to, recover and learn from issues in a timely manner within our risk appetite. HSBC is committed to using AI responsibly. We are working to balance the opportunity AI presents to accelerate delivery of our strategy with the need for appropriate controls t",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.32,AI,B,"tegy with the need for appropriate controls to help mitigate the associated risks. To help meet the Group’s needs and regulatory expectations for AI, whether developed internally or facilitated through third parties, we continue to enhance our Group-wide AI oversight, governance, lifecycle mana",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.32,AI,B,"ue to enhance our Group-wide AI oversight, governance, lifecycle management and risk framework. HSBC’s Principles for the Ethical Use of Data and AI are available at www.hsbc.com/ai. We continue to focus on improving the quality and timeliness of the data used to support informed management deci",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.33,GenAI,A,"digital capabilities and evolve our products, to attract, retain and best serve our customers. Along with opportunities, new technology, including GenAI, can introduce risks and disruption. We seek to manage technology developments with appropriate controls and oversight. Evolving regulatory environ",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.33,AI,B,"as well as sound risk and financial crime risk management practices. The approach to regulation is increasingly fragmented, including in relation to AI and digital assets, and a trend towards deregulation has emerged in some jurisdictions, concurrently with regulatory actions to support business gr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
HSBC,HSBA,,HSBA_company_annual_report_current_fy2025.pdf,p.33,AI,B,"to the way model risk is managed across the banking industry, with a particular focus on capital and credit loss models. New technologies, including AI, are driving a need for enhanced model risk controls. Strategic execution risk ~ Successful execution of our strategy enables us to help address the",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
