staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
CCEP-REJ-001,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"ages 28–29 and 83 We continue to invest in our people, whether through the rollout of our enhanced Employee Assistance Programme or by accelerating AI-powered learning and development. These initiatives are helping us create opportunities for growth and build skills for the future. A local busine",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-002,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.8,AI,B,1,"to CCEP every day. To support them, we continue to invest in capability building across commercial, customer service, supply chain, leadership and AI. Great brands We are privileged to make, move and sell some of the world’s most loved brands, and we continue to grow by giving consumers more of w",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-003,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.11,automation,B,1,"he drinks consumers love. In Europe, over 90% are made in the country where they are consumed, supporting local jobs and communities. We invest in automation, digitalisation and low-carbon technologies and innovate to improve efficiency and sustainability. We adapt to changing consumer needs and regulat",no,no,ordinary_automation,,rejected,,
CCEP-REJ-004,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.12,AI,B,1,"business with us. These channels are also driving revenue growth: in 2025, MyCCEP.com generated around €2.38 billion for CCEP. Data, analytics and AI are powering productivity and growth. We are using real time insights and AI-driven analytics to make faster, smarter decisions; deliver more targ",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-005,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.19,AI,B,2,"supply chain academies, we expanded leadership and capability development across CCEP, ensuring teams are equipped for future needs. ■ New data and AI capabilities were introduced, along with comprehensive training through our Data and AI Learning programme, enabling people to adopt and apply eme ||| and technology capabilities. ■ Embed our digital platforms to strengthen our people’s experience and Ways of Working, and develop further data and AI capabilities for today and tomorrow. ■ Further enhance our ISS capabilities in Bulgaria and the Philippines. ■ Strengthen our talent pipeline by a",no,no,vague_general_ai_reference,DUPG-001,rejected,,
CCEP-REJ-006,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.20,AI,B,1,"d quality of our people’s experience across our digital platforms. This included investing in innovative functionality for our Career Hub, such as AI-powered hiring and learning. We also enhanced our teams’ data and AI capabilities with a global learning programme for all colleagues. Read more o",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-007,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"online – we grow with customers through our 11,900 strong commercial team, high performing service and supply chain, and smart use of analytics and AI. Execution is our edge: investing in new formats, campaigns, more coolers and partnerships to increase availability and basket incidence, champion",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-008,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"over the last three years(A), and delivered more revenue growth for them in 2025 than FMCG peers in Europe(B). Unlocking value with technology and AI Our sales force representatives were empowered with AI-driven tools such as KAM360, which brings together all the essential resources and informati",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-009,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.27,AI,B,1,"ed more than 60 skills development programmes. ■ We continued to invest in climate innovation – from direct air capture at production facilities to AI-based technology that could help to lower the carbon footprint of our ingredients. ■ We signed a sustainability-linked business plan, the first of",no,no,vague_general_ai_reference,,rejected,,
CCEP-REJ-010,Coca-Cola Europacific Partners,CCEP,Coca-Cola Europacific Partners Annual Report and Form 20-F 2025,CCEP_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.31,AI,B,1,"tegy meeting, focusing on long-term priorities including the FMCG and bottling landscape, wider economic conditions in key markets, technology and AI, ESG, and market deep-dives. This was supported by external experts, a supplier and senior representatives from franchise partners. Outcomes of eng",no,no,vague_general_ai_reference,,rejected,,
