staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
KGF-REJ-001,Kingfisher plc,KGF,Kingfisher launches AI-powered DIY assistant,KGF_company_press_release_n-a_2023-11.html,,press_release,company_primary,not_applicable,AI,B,1,===== HTML DOCUMENT ===== Source file: KGF_company_press_release_n-a_2023-11.html Title: Kingfisher launches AI-powered DIY assistant – Kingfisher plc skip to main content Share price at 37.10GBp+0.50 Franchise & partnerships Careers Link to Homepage Link,no,yes,webpage_boilerplate,,rejected,,
KGF-REJ-002,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.8,AI,B,1,"ategy Powered by Kingfisher’s enhanced technology platforms and agile operating model, our banners are leveraging data and artificial intelligence (AI) to build customer-centric tools and solutions, thereby supporting better commercial decision-making and higher productivity, and unlocking signif",no,no,vague_general_ai_reference,,rejected,,
KGF-REJ-003,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.10,AI,B,6,"etail media income to reach up to 3% of the Group’s total e-commerce sales. Build a data-led customer experience — Good results from implementing AI-powered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Cast ||| owered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Casto AI virtual assistant. — Developed innovative visual search technology to help customers find the right products to complete their jobs. The technology ||| crewfix and tested at B&Q. — Implemented in-house supply chain visibility tool in all banners, helping to reduce inventory levels. — B&Q leveraging AI-driven promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered f ||| n promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered from AI-powered engines c. 10% of B&Q’s e-commerce sales driven by product recommendations 100% increase in web sales from recommendation engines vs leg ||| web sales from recommendation engines vs legacy third-party solutions c. 500k interactions with Hello Casto since launch in 2023 — Launch virtual AI assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement ||| assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement AI-driven promotions, markdowns and clearance solutions at Castorama Poland and Brico Dépôt France. — Extend SVT data-sharing to additional vendors a",no,no,vague_general_ai_reference,DUPG-001,rejected,,
KGF-REJ-004,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.11,AI,B,6,"etail media income to reach up to 3% of the Group’s total e-commerce sales. Build a data-led customer experience — Good results from implementing AI-powered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Cast ||| owered product recommendation and personalisation engines across all markets (except Iberia). — Castorama France expanded visibility of Hello Casto AI virtual assistant. — Developed innovative visual search technology to help customers find the right products to complete their jobs. The technology ||| crewfix and tested at B&Q. — Implemented in-house supply chain visibility tool in all banners, helping to reduce inventory levels. — B&Q leveraging AI-driven promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered f ||| n promotions, markdowns and clearance solutions, resulting in improved sales, gross margin % and sell-through of stock. £100m sales delivered from AI-powered engines c. 10% of B&Q’s e-commerce sales driven by product recommendations 100% increase in web sales from recommendation engines vs leg ||| web sales from recommendation engines vs legacy third-party solutions c. 500k interactions with Hello Casto since launch in 2023 — Launch virtual AI assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement ||| assistant tool at other banners. — Test visual search technology at B&Q and Castorama France. — Roll-out at Castorama France and start to implement AI-driven promotions, markdowns and clearance solutions at Castorama Poland and Brico Dépôt France. — Extend SVT data-sharing to additional vendors a",no,no,vague_general_ai_reference,DUPG-002,rejected,,
KGF-REJ-005,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.24,artificial intelligence,B,1,"sented to the Board twice a year. In 2024, this included exploring how we can better engage colleagues and build their confidence in our successful Artificial Intelligence initiatives and also, Cyber Security. The KCF discussed local impacts of recent Allyship internal communications campaigns and the evolution of ou",no,no,vague_general_ai_reference,,rejected,,
KGF-REJ-006,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.59,AI,B,1,"23/24: 6%; FY 19/20: 2%), benefiting from positive early results from its marketplace (launched in Q1 24/25) and Hello Casto, an in-house-developed AI virtual assistant. As of 31 January 2025, Castorama had a total of 94 stores in France. Update on Castorama’s store restructuring and modernisation",no,no,vague_general_ai_reference,,rejected,,
KGF-REJ-007,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.65,AI;generative AI,A;B,4,"and our vendors. Threats can arise both externally and internally and could compromise sensitive data or access to key operational systems. Whilst Generative AI tools present opportunities for innovation and growth, they could be used maliciously by bad actors to create more compelling phishing attacks. If ||| present opportunities for innovation and growth, they could be used maliciously by bad actors to create more compelling phishing attacks. If public Generative AI services are used, commercially sensitive information may be inadvertently made public, increasing the risk of data loss. Failure to protect data, ||| of cyberattacks also continues to evolve, with a wide range of tools and techniques available to cause disruption to our business. In particular, Generative AI tools are being used more in this sphere. Link to strategic priorities — Accelerate e-commerce through speed and choice. — Build a data-led custome ||| ar review of the cyber threats facing Kingfisher and work with security partners to evaluate and implement appropriate controls. — Increased use of AI to strengthen existing technology capability (e.g. end point protection and automated password management) to protect us against phishing, malware",no,no,vague_general_ai_reference,DUPG-003,rejected,,
KGF-REJ-008,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2024/25,KGF_company_annual_report_current_fy2024-25_2025-03.pdf,,annual_report_current,company_primary,p.67,AI;generative AI,A;B,2,"the required changes fast enough or that they are not sufficiently compelling for our customers. We continue to invest in our technology (including generative AI) and other solutions to help the banners to adapt at pace to meet the ever-changing demands in customer expectations. Link to strategic priorities ||| ds in customer behaviour, optimise digital touchpoints and enhance engagement. — Monitoring of Customer NPS through targeted feedback surveys and AI-driven sentiment analysis, capturing insights at key points in the customer journey. This data is combined with KPI dashboards to identify opportun",no,no,vague_general_ai_reference,DUPG-004,rejected,,
KGF-REJ-009,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2023/24,KGF_company_annual_report_previous_fy2023-24_2024-03.pdf,,annual_report_previous,company_primary,p.5,generative AI,A,1,"helped the Board’s understanding of some of the more technical or complex areas of the business. These included sessions on the trade proposition, Generative AI, and compact store formats. The Board also recently completed an internal Board effectiveness review. This year we introduced a new component which",no,no,vague_general_ai_reference,,rejected,,
KGF-REJ-010,Kingfisher plc,KGF,Kingfisher plc Annual Report and Accounts 2023/24,KGF_company_annual_report_previous_fy2023-24_2024-03.pdf,,annual_report_previous,company_primary,p.6,AI,B,2,"will be accelerating their rollout this year and we are now aiming to double trade penetration in France and Poland over the medium term. Our data, AI and retail media initiatives are also delivering positive results and we are accelerating their rollout to drive incremental revenue, profit and ca ||| positive results and we are accelerating their rollout to drive incremental revenue, profit and cash. For example, we have successfully implemented AI-powered product recommendation and personalisation engines in the UK, France and Romania, and deployed data and AI-driven tools to optimise markdo",no,no,vague_general_ai_reference,DUPG-005,rejected,,
