company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.6,artificial intelligence,B,"act our customers. Technological advances continue to present exciting new opportunities to deploy smart devices, automation, machine learning and artificial intelligence to improve the delivery of our services for customers and how we monitor and operate our assets efficiently and safely. We are excited to invest i",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.7,automation,B,"onally ambitious, and our investment and work in AMP7 has positioned us strongly to deliver in AMP8: – our in-house Design Team unlocks digital and automation capabilities; – our Plug and Play delivery model drives speed and efficiency on critical asset types; – a broad and diverse supply chain provides",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.12,AI,B,"company to ensure we are the best we can be – through a blend of insourcing, developing deeper technical skills and embracing technology including AI to drive operational excellence. All this was against a tricky backdrop – we’ve faced a global pandemic, unprecedented energy and chemical prices,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.16,AI,B,"and strive to keep water flowing and continuously take wastewater away, whilst working with customers to manage demand. Kraken Kraken’s advanced AI assistance tools are a game-changer for the service we provide to our customers, helping to resolve customer queries quickly, draft responses and u",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.18,AI,B,"iency saving. Additionally, over 245,000 customers have engaged with our water-saving survey platform, Get Water Fit. Smart meter data We are using AI and smart meter data to identify private side leakage, reducing customer bills and reducing PCC. Water quality complaints We had a total of 9,011 dr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.18,AI,B,"risk at water treatment works. Tap water forensics As part of an Ofwat innovation funded research project, we are combining genomic sequencing with AI technology to analyse water quality at our water treatment works. These insights are helping us enhance our treatment processes. No dig technology",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.19,AI,B,"arget every year in AMP7 since the measure’s creation, and this year we have beaten our target by over 6%. Storm intelligence We have developed an AI-based platform to support our Network Control Team to manage weather-related incidents. Using AI-boosted modelling, we can predict our sewer networ",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.25,AI,B,"s in the measurement and management of greenhouse gas emissions in the water sector. The O2IC will act as our permanent test facility to combine AI solutions, operational and engineering technologies, within a single wastewater catchment. This will create a unique opportunity to develop, moni",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.25,AI,B,"ational and engineering technologies, within a single wastewater catchment. This will create a unique opportunity to develop, monitor and refine AI-driven innovations such as real time monitoring, predictive maintenance and optimisation of treatment processes, in a structured environment. Thi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Severn Trent,SVT,,SVT_company_annual_report_current_fy2025_2025.pdf,p.25,AI,B,"the people and process transformations needed for successful implementation, as well as rigorously testing the functional safety and security of AI solutions to ensure safety and environmental risks are properly managed. Like many other countries, the UK’s sewerage system was designed as a c",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
