company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.5,automation,B,"mining technology solutions demands a combination of deep customer insight, world class engineering and materials science, enabled by intelligent automation. Working in close partnership with our customers, we help them to…",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.9,AI,B,"f their lives. – Achieve and sustain a zero harm workplace – Nurture our inclusive ‘One Weir’ culture – Create a future-ready workforce enabled by AI Read more about our People pillar on pages 29 to 30 → Customer We will be the most admired business in our sector. Working in partnership, we d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.15,AI,B,ion also includes Weir’s Software Solutions business which provides a suite of equipment- agnostic planning and decision software (Micromine®) and AI- powered monitoring technologies that optimise performance from exploration to extraction. → Read more on pages 45 to 46 Divisional revenue1 £70,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.21,AI,B,"more critical metals. Our customers recognise the need for new solutions – across process technology, real-time data and digital enablement, and AI enhanced process automation – to mitigate risk at new and existing mines and drive higher production yields. Over the past several years we have",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.22,AI,B,"and rare earths – continues to accelerate, driven by electric vehicles, grid build-out, renewable energy and the data centre boom associated with AI. The IEA’s Global Critical Minerals Outlook 2025 1 projects continued strong growth and highlights copper’s expanding role in grids and clean tec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.22,AI,B,"by commodity; see pie chart page 14). Industry forecasts point to copper demand rising steeply through the next decade amid electrification and AI infrastructure, with long mine lead times, declining ore grades and geographic concentration creating persistent supply challenges. AI-enabled da",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.22,AI,B,lobal.weir/untapped Notes 1. https://www.iea.org/reports/global-critical- minerals-outlook-2025 2. https://theoregongroup.com/commodities/ copper/ai-data-centers-to-drive-2-of- global-copper-demand-by-2030/ 3. https://www.mckinsey.com/industries/ metals-and-mining/our-insights/ performing-under,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.22,automation,B,"th Weir’s purpose Market opportunity: Across the industry, leading miners are prioritising productivity gains and operating efficiency, deploying automation, digital analytics and process innovations to offset declining grades and rising input costs. Research by McKinsey3 highlights that mining produ",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.23,AI,B,"ttlenecking, brownfield expansions and efficiency upgrades across comminution, slurry handling and wear-intensive circuits, alongside adoption of AI-enabled monitoring and mine-to-mill optimisation. Why Weir is well poised to benefit: Weir’s purpose – enabling the sustainable and efficient del",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Weir Group,WEIR,,WEIR_company_annual_report_current_fy2025_2026-03.pdf,p.23,AI,B,"th the integration of digital solutions, including the Micromine® software suite, we can connect intelligent products with advanced analytics and AI to optimise mine design, improve throughput, reduce equipment wear, lower energy use and enhance water efficiency – creating measurable sustainab",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
