company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.6,AI,B,"yond the large US technology stocks which have been a main driver of US equity returns in recent years. Indeed, while the Artificial Intelligence (‘AI’) theme remained important, there was far greater discrimination from investors between perceived winners and losers. In part, this trend reflecte",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.6,AI,B,"erceived winners and losers. In part, this trend reflected investors’ response to significant increases in capital expenditure plans related to the AI theme and concerns over the future profitability of these companies. As the year drew to a close, markets were buoyed by another year of strong gr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.9,AI,B,"n 1 September 2025, replacing Edward Knapp who stepped down from the Board on 31 July 2025. Josh is Chief Executive Officer of Dunnhumby, a global AI and analytics business. He was previously an Operating Partner at CVC Capital Partners and has held senior positions at HSBC Holdings plc, Google",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.10,AI,B,"8 A major catalyst for this shift is the scale and speed of the AI investment cycle. The AI revolution is ushering in extraordinary levels of capital expenditure, with companies and nations competing to build the d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.10,AI,B,ct investor returns to vary widely across the value chain. This increasing differentiation between winners and losers - both among those developing AI technologies and those deploying them - reinforces the importance of disciplined stock selection and broad diversification. Attractive opportuniti,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"10 Investors had begun the year with excitement around companies with exposure to the Artificial Intelligence (‘AI’) theme and for reduced regulation in the US that was expected to drive improvement in corporate earnings. In dollar terms, the S&P 500 delivered a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,d Nvidia - outperformed the bellwether S&P 500 index. Greater selectivity within this group of leading companies reflected investors' assessment of AI winners and losers amid rising capital expenditure on AI-related infrastructure. Investor sensitivity to corporate capital expenditure plans was e,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"ans was evident early in the year when, in January, Nvidia shares fell sharply (before staging a powerful recovery) following the release of a new AI model from Chinese company DeepSeek, which suggested the possibility that effective AI models could be developed at substantially lower costs than",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"AI models could be developed at substantially lower costs than previously expected, with resultant implications for demand for semiconductors and AI-related infrastructure. European equity markets performed strongly, boosted in part by pledges for increased government spending. In Germany, the n",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
F&C Investment Trust,FCIT,,FCIT_company_annual_report_current_fy2025_2026-03.pdf,p.14,AI,B,"lio delivered robust absolute returns. Among these companies, Applied Materials (+48.6%) and TSMC (+45.1%) both benefitted from enthusiasm for the AI theme. NORTH AMERICA Continued strong performance from highly-valued growth stocks in the US led to another year of outperformance of growth again",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
