duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,HSBC,HSBA-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.8) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,HSBC,HSBA-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.13) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,HSBC,HSBA-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of HSBA_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-004,HSBC,HSBA-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,HSBC,HSBA-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.33) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,HSBC,HSBA-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.39) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,HSBC,HSBA-GOV-002,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.58) of HSBA_company_annual_report_current_fy2025.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-008,HSBC,HSBA-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.58) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,HSBC,HSBA-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.61) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,HSBC,HSBA-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.102) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,HSBC,HSBA-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.104) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-012,HSBC,HSBA-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.105) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-013,HSBC,HSBA-REJ-020,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.106) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-014,HSBC,HSBA-GOV-005,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.183) of HSBA_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-015,HSBC,HSBA-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.214) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-016,HSBC,HSBA-GOV-007,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.217) of HSBA_company_annual_report_current_fy2025.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-017,HSBC,HSBA-REJ-030,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.217) of HSBA_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-018,HSBC,HSBA-GOV-011,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.40) of HSBA_company_annual_report_previous_fy2024.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-019,HSBC,HSBA-REJ-042,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.41) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-020,HSBC,HSBA-GOV-012,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.72) of HSBA_company_annual_report_previous_fy2024.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-021,HSBC,HSBA-GOV-013,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.72) of HSBA_company_annual_report_previous_fy2024.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-022,HSBC,HSBA-REJ-044,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.72) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-023,HSBC,HSBA-REJ-045,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.77) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-024,HSBC,HSBA-REJ-049,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.85) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-025,HSBC,HSBA-REJ-050,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.136) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-026,HSBC,HSBA-REJ-051,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.137) of HSBA_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-027,HSBC,HSBA-GOV-018,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.232) of HSBA_company_annual_report_previous_fy2024.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-028,HSBC,HSBA-REJ-065,rejected_candidates_staging,same_source_consolidation,not_applicable,15 passages on the same page (not_applicable) of HSBA_company_press_release_hsbc-and-google-cloud-announce-transformative-ai-banking-par_2026-06-17.html describe the same vague general ai reference theme and were consolidated into one row.,yes,,
