company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.3,AI,B,"Pearson continues to evolve with purpose, continuing to innovate and leverage AI to create sustainable value for learners, partners and shareholders.” The Strategic report, up to and including page 69, was approved for issue b",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.3,AI,B,"arson plc website where you can find the online version of this report. Strategic report At a glance 2 2025 highlights 3 Business unit overviews 4 AI is accelerating demand for trusted skills assessment and verification 6 Using AI to improve efficiency, performance and learning outcomes 7 Chair’s",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.5,AI,B,"sations prepare for the future of work Read more on page 7 Continued to lead with the application of innovative technologies, deepening and scaling AI across our offering driving measurable improvements in learner outcomes and saving educators meaningful time, whilst embedding AI as a foundationa",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.6,AI,B,"federal government hiring and spend reductions, the business grew, securing new contracts and expanding enterprise partnerships. We also integrated AI to drive efficiencies in assessment generation, and strengthened our global delivery infrastructure. Clinical Assessment delivered strong growth d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.6,AI,B,"included the launch of Revibe, a wearable device designed to support individuals experiencing challenges with focus and attention, the pilot of an AI-powered psychological report writing assistant and the release of D-KEFS Advanced, a fully digital neuropsychology assessment. US Student Assessmen",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.6,AI,B,"s and securing new wins. We are also expanding internationally, enhancing operational excellence and accelerating innovation, particularly through AI. Virtual Learning Virtual Learning (VL) delivers high-quality online learning solutions for K12 students through two main offerings: Partner Schoo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.7,AI,B,"dents in their transition to the workforce. We opened two new schools, taking our total to 41 across 31 states. We also deepened the integration of AI into our study tools, contributing to higher course scores and end-of-semester pass rates. Our 2026 priorities focus on continuing to capture growi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.7,AI,B,"r US virtual schooling, further strengthening of our marketing and enrolment capabilities, targeted school expansion and the ongoing application of AI to personalise teaching and learning. Higher Education Higher Education (HE) provides leading learning experiences across the Post-Secondary and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.7,AI,B,"kets, with additional reach into K12 education through Honours, AP®, Dual Enrolment, and Career and Technical Education (CTE). In 2025, we provided AI-powered learning experiences that delivered measurable improvements in learning outcomes. Adoption continued to grow across our key platforms, all",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pearson plc,PSON,,PSON_company_annual_report_current_fy2025_2026.pdf,p.7,AI,B,"integrate advanced learning capabilities to support more personalised, adaptive and engaging experiences. The new ‘Go Deeper’ functionality in our AI study tools encourages critical thinking by prompting learners with challenging follow-up questions. We continued to see strong traction in our In",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
