company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.6,AI,B,"ages 28–29 and 83 We continue to invest in our people, whether through the rollout of our enhanced Employee Assistance Programme or by accelerating AI-powered learning and development. These initiatives are helping us create opportunities for growth and build skills for the future. A local busine",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.8,AI,B,"to CCEP every day. To support them, we continue to invest in capability building across commercial, customer service, supply chain, leadership and AI. Great brands We are privileged to make, move and sell some of the world’s most loved brands, and we continue to grow by giving consumers more of w",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.10,AI,B,modernising infrastructure and carbon reduction bottles collected by CCEP Papua New Guinea through its PET plastic bottle collection programme new AI-powered smart coolers installed in 2025 in Australia following a successful trial at Sydney Airport Strategic Report Governance and Directors’ Re,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.11,automation,B,"he drinks consumers love. In Europe, over 90% are made in the country where they are consumed, supporting local jobs and communities. We invest in automation, digitalisation and low-carbon technologies and innovate to improve efficiency and sustainability. We adapt to changing consumer needs and regulat",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"business with us. These channels are also driving revenue growth: in 2025, MyCCEP.com generated around €2.38 billion for CCEP. Data, analytics and AI are powering productivity and growth. We are using real time insights and AI-driven analytics to make faster, smarter decisions; deliver more targ",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.19,AI,B,"supply chain academies, we expanded leadership and capability development across CCEP, ensuring teams are equipped for future needs. ■ New data and AI capabilities were introduced, along with comprehensive training through our Data and AI Learning programme, enabling people to adopt and apply eme",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.19,AI,B,"and technology capabilities. ■ Embed our digital platforms to strengthen our people’s experience and Ways of Working, and develop further data and AI capabilities for today and tomorrow. ■ Further enhance our ISS capabilities in Bulgaria and the Philippines. ■ Strengthen our talent pipeline by a",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.20,AI,B,"d quality of our people’s experience across our digital platforms. This included investing in innovative functionality for our Career Hub, such as AI-powered hiring and learning. We also enhanced our teams’ data and AI capabilities with a global learning programme for all colleagues. Read more o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.23,AI,B,"online – we grow with customers through our 11,900 strong commercial team, high performing service and supply chain, and smart use of analytics and AI. Execution is our edge: investing in new formats, campaigns, more coolers and partnerships to increase availability and basket incidence, champion",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Coca-Cola Europacific Partners,CCEP,,CCEP_company_annual_report_current_fy2025_2026-03.pdf,p.24,AI,B,"over the last three years(A), and delivered more revenue growth for them in 2025 than FMCG peers in Europe(B). Unlocking value with technology and AI Our sales force representatives were empowered with AI-driven tools such as KAM360, which brings together all the essential resources and informati",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
