company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,generative AI,A,"cross RELX § Public records § Contributory § Digital identities § Machine generated § Licensed § Proprietary Data Sources ADDING VALUE WITH GENERATIVE AI More than 12,000 technologists, over half of whom are software engineers, work at RELX. Annually, the company spends $2bn on technology. The combina",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,generative AI,A,"d and structured content Big data platforms Analysis applications Customer single point of execution For the past few years, we have been deploying generative AI, particularly in our Legal and STM segments. RELX Generative AI solutions are built upon multiple fine-tuned Large Language Models leveraging high-q",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,generative AI,A,"nable relevant, accurate, and personalised insights, analysis and workflows. This allows customers to make impor tant decisions with confidence. Our Generative AI solutions are designed with privacy in mind and incorporate REL X’s Responsible AI Principles. Market segmentsGovernanceFinancial statements and o",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,AI,B,aches with high precision and recall ▪ Multi-model approach ▪ Model fine tuning for specific use cases ▪ Guardrails to enforce RELX Responsible AI Principles User specific workflows Tailored Insights Personalised Analyses Draft documents Trust and transparency indicators Compliance with glob,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,AI,B,"elivery method § Public records § Contributory § Digital identities § Machine generated § Licensed § Proprietary ADDING VALUE WITH EXTRACTIVE AI The company has more than 15 years’ experience with big data and extractive, machine to machine, artificial intelligence (AI), particularly in our R",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,AI,B,"to cluster, link and learn from the data § High speed data ingestion, recall, and processing § Rapid development cycles § Platforms to facilitate AI/ML § Proprietary algorithms § Predictive modelling § Machine learning and artificial intelligence § Modular product suites § Flexible deliver",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.9,machine learning,B,"207bn legal and news documents and records § Grid computing with low-cost servers § Linking algorithms that generate high precision and recall § Machine learning algorithms to cluster, link and learn from the data § High speed data ingestion, recall, and processing § Rapid development cycles § Platforms to",uncertain,low,Stage B broader-recall term 'machine learning' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.12,AI,B,afficking and abusive practices. The combination of our proprietary insights and advanced analytics powered by extractive Ar tificial Intelligence (AI) delivers actionable intelligence to customers to help improve decisions and operational efficiency. The cornerstone of our growth strategy is maxi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.12,AI,B,"duction Intelligence Platforms in both finance and ecommerce. In Q1 2025, LexisNexis Risk Solutions closed the acquisition of IDVerse, a provider of AI-powered automated document authentication and fraud detection solutions. In Q3 2025, we launched an updated version that delivers an optimised user",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
RELX,REL,,REL_company_annual_report_current_fy2025.pdf,p.13,AI,B,afficking and abusive practices. The combination of our proprietary insights and advanced analytics powered by extractive Ar tificial Intelligence (AI) delivers actionable intelligence to customers to help improve decisions and operational efficiency. The cornerstone of our growth strategy is maxi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
