record_id,company,ticker,sector,source_id,document_title,document_category,evidence_origin,publication_date,url,local_filename,page_or_section,evidence_quotation,is_genai,use_case_name,use_case_description,primary_business_function,secondary_business_function,user_group,orientation,deployment_stage,named_tool_or_model,technology_partner,claimed_benefits,benefit_evidence,quantified_metric,risk_or_limitation_discussed,human_review,privacy_control,security_control,accuracy_control,bias_fairness_control,employee_training,responsible_ai_framework,monitoring_audit,restricted_use_control,impact_assessment_control,evidence_strength,confidence,review_status,reviewer_notes,supporting_source_ids,duplicate_of_record_id,coded_by,model_version,coded_date
AZN-UC-002,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-002,AstraZeneca Annual Report and Form 20-F Information 2024,annual_report_previous,company_primary,2025-02-06,,AZN_company_annual_report_FY2024.pdf.pdf,p.44,"Our researchers and scientists now have access to a range of generative AI tools to guide complex tasks... Early measurement shows that 92% of 1,200 employees surveyed who use the Microsoft CoPilot tool are experiencing time savings.",yes,Microsoft Copilot for R&D task guidance,"Researchers and scientists use Microsoft Copilot, a named generative-AI product, to guide complex tasks; a surveyed subset reports time savings.",research_development,unclear,employees,internal,live_limited,Microsoft Copilot,Microsoft,time_saving,measured,"92% of 1,200 employees surveyed report experiencing time savings using the Microsoft Copilot tool (early measurement; figure reflects the surveyed sample only, not a company-wide measurement)",no,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,reviewed_confirmed,"Approved during the AstraZeneca human-review pass (2026-07-15). benefit_evidence = measured: 92%/1,200 employee survey is a quantified result, not merely qualitative; quantified_metric retains the survey-sample caveat so it is not read as company-wide. Governance fields (human_review through impact_assessment_control) remain unclear -- the source never directly states any control is present or absent.",,,claude_code,,2026-07-15
AZN-UC-003,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-008,Using Amazon Bedrock Agents to Accelerate Decisions Across Drug Development at AstraZeneca,partner_case_study,technology_partner,unknown,https://aws.amazon.com/solutions/case-studies/astrazeneca-case-study/,AZN_partner_aws_case-study_development-assistant.pdf.pdf,"""Opportunity | Using Amazon Bedrock Agents to Get Insights from Structured and Unstructured Data in Seconds"" and ""Solution | Accelerating Insights from Hours to Minutes Using Agentic AI"" sections","""The resulting application—Development Assistant—combines text-to-SQL generation with retrieval-augmented generation, unifying both structured and unstructured data sources to generate insights."" / ""The system also provides full transparency, showing exactly which data tables were accessed and how results were generated, helping users across clinical development and operations make informed, trusted decisions at speed.""",yes,"AWS Bedrock Agents-based ""Development Assistant"" for R&D data queries","A multi-agent generative-AI tool built on Amazon Bedrock Agents lets clinical, regulatory, patient-safety, and quality teams ask natural-language questions and receive text-to-SQL/RAG-generated answers from structured and unstructured data.",research_development,knowledge_document_work,employees,internal,live_limited,"Amazon Bedrock Agents / ""Development Assistant""",Amazon Web Services (AWS),time_saving;productivity,observed_unquantified,not_applicable,no,unclear,unclear,unclear,yes,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,reviewed_confirmed,"Approved during the AstraZeneca human-review pass (2026-07-15). Vendor-authored (AWS) content, evidence_origin = technology_partner; no company-primary corroboration found. local_filename and url confirmed against source_manifest.csv and the on-disk file.",,,claude_code,,2026-07-15
AZN-UC-004C,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Transforming patient outcomes with generative AI,strategy_or_technology_webpage,company_primary,2024-07-11,,AZN_company_webpage_generative-ai-data-science.pdf.pdf,Improving clinical trials and the capture and analysis of real-world evidence section,"By utilising generative AI, we're able to train and fine-tune foundational models that can identify critical signals from the noise, enabling researchers to review important takeaways and generate hypotheses that can be validated through more traditional research methods.",yes,Foundation-model analysis of real-world evidence for hypothesis generation,Generative AI is used to train/fine-tune foundational models that extract signal from real-world evidence (RWE) data and generate research hypotheses for further validation.,research_development,unclear,employees,internal,live_limited,unclear,unclear,innovation,observed_unquantified,not_applicable,no,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,reviewed_confirmed,"Approved during the AstraZeneca human-review pass (2026-07-15). document_title corrected to the confirmed page title 'Transforming patient outcomes with generative AI'. publication_date uses the original publish date (2024-07-11); the page's last-updated date (2024-08-02) is recorded here for traceability and intentionally differs from source_manifest.csv's own publication_date field for AZN-004, which uses the last-updated convention -- this divergence is a deliberate dataset-level choice, not an error to reconcile.",,,claude_code,,2026-07-15
AZN-UC-004A,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Transforming patient outcomes with generative AI,strategy_or_technology_webpage,company_primary,2024-07-11,,AZN_company_webpage_generative-ai-data-science.pdf.pdf,Generative AI and oncology biometrics section,"For example, in statistical programming, generative AI can be useful in alleviating administrative burden by automatising routine tasks and streamlining project management. It also aids in the development of more robust coding — reducing coding errors and better detecting data anomalies.",yes,Generative AI for statistical-programming/coding assistance,Generative AI is described as useful for automating routine statistical-programming tasks and improving code robustness.,research_development,software_development_it,employees,internal,unclear,unclear,unclear,productivity;accuracy,expected,not_applicable,no,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,not_reviewed,"Not yet human-reviewed. 'Can be useful' is capability/opportunity language, not confirmed deployment -- deployment_stage recorded as unclear pending validation before promotion to an approved operational candidate.",,,claude_code,,2026-07-15
AZN-UC-004B,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Transforming patient outcomes with generative AI,strategy_or_technology_webpage,company_primary,2024-07-11,,AZN_company_webpage_generative-ai-data-science.pdf.pdf,Generative AI and oncology biometrics section,"There are also incredible opportunities for generative AI to boost efficiency in the workplace, such as in developing the introduction of study protocols for clinical teams, which could save up to 25% of team members' time.",yes,Generative AI for clinical study protocol drafting,"Generative AI is identified as an opportunity to assist clinical teams in drafting study protocol introductions, with a stated potential time saving.",research_development,risk_legal_compliance,employees,internal,planned,unclear,unclear,time_saving,expected,not_applicable,no,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,not_reviewed,"Not yet human-reviewed. benefit_evidence = expected (prospective 'could save'), so quantified_metric is not_applicable per the coding manual's rule restricting that field to measured rows; the stated prospective figure ('could save up to 25% of team members' time') is recorded here rather than in quantified_metric.",,,claude_code,,2026-07-15
AZN-UC-004E,AstraZeneca,AZN,Pharmaceuticals & biotechnology,AZN-004,Transforming patient outcomes with generative AI,strategy_or_technology_webpage,company_primary,2024-07-11,,AZN_company_webpage_generative-ai-data-science.pdf.pdf,Advancing oncology R&D strategy to the next level section,"By analysing existing information on molecules and their mechanisms, generative AI can help us assess the safety profile of combining certain molecules and identify which ones could be more efficacious when combined... Being able to explore potential combinations by means of computer modelling or simulation could bring us to a much better starting point for initiating clinical trials.",yes,Generative AI for combination-therapy safety/efficacy modelling,"Generative AI is described as helping assess the safety and efficacy of combining specific molecules, informing the starting point for clinical trial design.",research_development,unclear,employees,internal,unclear,unclear,unclear,innovation;accuracy,expected,not_applicable,no,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,unclear,2_moderate,medium,not_reviewed,"Not yet human-reviewed. Source language mixes capability description ('can help us assess') with prospective framing ('could bring us to a much better starting point'), so deployment_stage is recorded as unclear pending further verification.",,,claude_code,,2026-07-15
TSCO-UC-001,Tesco,TSCO,Food & drug retailing,TSCO-005,Adobe & Tesco enter strategic AI partnership to personalise experiences and reward loyalty for Tesco's customers,press_release,technology_partner,2026-04-13,https://news.adobe.com/en/gb/news/2026/04/adobe-tesco-enter-strategic-ai-partnership,TSCO_partner_press_release_adobe-tesco-enter-strategic-ai-partnership-to-personalise-ex_2026-04-13.html,not_applicable,Tesco plans to use Adobe AI and agentic AI capabilities to better interpret and anticipate customers’ needs for an even more personalised and helpful shopping experience,yes,Adobe x Tesco AI-powered personalisation partnership (Tesco x Adobe Innovation Lab),"Tesco and Adobe announced a strategic AI partnership under which Tesco's personalisation and AI teams plan to use Adobe's agentic AI capabilities and Adobe Firefly Foundry, via a new 'Tesco x Adobe Innovation Lab', to generate personalised content, offers and experiences for customers. Described as planned/early-stage; not yet live.",marketing_content,unclear,employees,mixed,planned,Adobe Firefly Foundry; Adobe agentic AI capabilities,Adobe,personalisation,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,1_weak,medium,reviewed_confirmed,"Promoted from staging TSCO-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Vendor-authored (Adobe's own newsroom, technology_partner) announcement of a planned partnership with no independent Tesco-primary corroboration found this session and no active deployment evidenced -- matches the manual's 1_weak definition ('vendor-led or vague description with limited corroboration').",,,human,,2026-07-17
TSCO-UC-002,Tesco,TSCO,Food & drug retailing,TSCO-004,Tesco Media Upfront 2025: The Future of Retail Media,press_release,technology_partner,2025-10-09,https://www.dunnhumby.com/news/tesco-media-upfront-redefining-retail-media/,TSCO_partner_press_release_tesco-media-creative-studio-ai-powered-ad-creation-tool-for_2025-10-09.html,not_applicable,"Powered by GenAI, it automatically generates compliant ads in all the formats brands need, across both onsite and offsite.",yes,Tesco Media Creative Studio -- GenAI ad-creative generation tool,"Tesco Media's 'Creative Studio' tool, described by dunnhumby (which manages Tesco Media's technology infrastructure) as powered by generative AI, automatically generates compliant advertising creative in the formats needed across onsite and offsite channels for brands advertising with Tesco Media. Reported as a live, launched tool as of October 2025.",marketing_content,unclear,suppliers_or_partners,product_embedded,live_limited,Creative Studio (underlying model/provider not named in source),dunnhumby,time_saving;productivity,observed_unquantified,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging TSCO-OP-002 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: The use case is specific and clearly described (a live, launched, named tool with a stated generative function), which exceeds the manual's 1_weak bar -- but it is vendor-authored (dunnhumby, technology_partner, not a Tesco-primary statement) with no quantified scale or outcome, so it falls short of 3_strong. Approved as 2_moderate ('specific use case is clear, but scale, stage or outcomes are incomplete') despite the vendor-origin tension with 1_weak, since the tool is confirmed live and named, unlike Adobe's planned-stage announcement.",,,human,,2026-07-17
BT-UC-001,BT Group,BT.A,Telecommunications services,BT-004,"BT Group's Digital Unit launches 'GenAI Gateway' platform, powered by AWS, accelerating the company's safe adoption of generative AI at scale",press_release,company_primary,2024-09-24,https://newsroom.bt.com/bt-groups-digital-unit-launches-genai-gateway-platform-powered-by-aws-accelerating-the-companys-safe-adoption-of-generative-ai-at-scale/,BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html,not_applicable,"A trial in Openreach is summarising engineering notes on Ethernet and full fibre jobs, helping to simplify processes and boost productivity for its teams and Communications Provider customers.",yes,GenAI Gateway: Openreach engineering-note summarisation,"BT's GenAI Gateway (built on Amazon Bedrock) is being trialled in Openreach to automatically summarise engineering notes on Ethernet and full-fibre jobs, intended to simplify processes and boost productivity for Openreach teams and Communications Provider customers.",operations_supply_chain,knowledge_document_work,employees,internal,pilot,GenAI Gateway (Amazon Bedrock-based),AWS,time_saving;productivity,expected,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging BT-OP-001 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Company-primary source names a specific pilot task (Openreach engineering-note summarisation) with a stated purpose, but no quantified outcome or scale is given -- matches 2_moderate ('specific use case is clear, but scale, stage or outcomes are incomplete').",,,human,,2026-07-17
BT-UC-002,BT Group,BT.A,Telecommunications services,BT-004,"BT Group's Digital Unit launches 'GenAI Gateway' platform, powered by AWS, accelerating the company's safe adoption of generative AI at scale",press_release,company_primary,2024-09-24,https://newsroom.bt.com/bt-groups-digital-unit-launches-genai-gateway-platform-powered-by-aws-accelerating-the-companys-safe-adoption-of-generative-ai-at-scale/,BT.A_company_press_release_bt-group-s-digital-unit-launches-genai-gateway-platform-powe_2024-09-24.html,not_applicable,"A second use case, supporting contract analysis for the Group's Business, legal and procurement teams, is also live.",yes,GenAI Gateway: contract analysis for Business/legal/procurement,"BT's GenAI Gateway supports a live contract-analysis use case for the Group's Business, legal and procurement teams.",risk_legal_compliance,finance_administration,employees,internal,live_limited,GenAI Gateway (Amazon Bedrock-based),AWS,time_saving,observed_unquantified,not_applicable,unclear,no,no,no,no,no,no,no,no,no,no,2_moderate,medium,reviewed_confirmed,"Promoted from staging BT-OP-002 (reviewer_decision=accept). evidence_strength/confidence explicitly approved by the human operator: Specific, named, live use case with a defined user group, but no quantified scale or outcome is given -- matches 2_moderate.",,,human,,2026-07-17
