company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.9,AI,B,"s our existence – and is inextricably linked to energy. Technology saves energy, but it also creates the need for energy. Artificial intelligence (AI) is the classic example of both. AI has been years in development, and it already operates within every domain of the digital world. But it relies",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.9,AI,B,"etworks, we are an early adopter of technologies to make our grids more efficient. Through sensors, automated controls, unmanned surveillance, and AI, we are changing how infrastructure operates. We both support the energy requirements of AI and are a major user of its capabilities. National Gr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.9,AI,B,"rn. Efficiency – like the kind that Zoë is driving – is the most powerful tool that we have to deploy. Though we can debate the merits of how much AI, and how quickly it is adopted, technology will create opportunities we can only begin to imagine. The geopolitics of the moment are troubling, bu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.11,artificial intelligence,B,"cale build-out of low-carbon generation and storage, the electrification of transport and industry, advanced manufacturing and the rapid growth of artificial intelligence are reshaping how and where energy is produced and consumed. These shifts are also influencing natural gas demand, particularly as systems balance",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.12,AI,B,"improve performance and enhance delivery capacity: strengthening leadership, capability and performance management; scaling technology, data and AI to unlock productivity and faster connections; and stepping up our external positioning and policy engagement to help shape outcomes that work for",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.12,artificial intelligence,B,"e networks that are more flexible and intelligent than ever before. Data, sensors, automation, advanced system design and digital tools, including artificial intelligence, are already changing how we plan, operate and deliver work. These technologies help us unlock capacity from existing networks, connect customers",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.16,AI,B,"riven by low-carbon generation, storage, electric vehicles, electrification of heating and industry, and increasingly from data centres to power AI. This is creating new opportunities and reshaping where and how capacity is needed. Impact on our industry – New generation continues to shift to",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.16,AI,B,"build, operate and maintain our networks. They are transforming the customer experience with smart meters, flexible services and better billing. AI is reshaping every aspect of our business, accelerating our ability to plan, respond and deliver across our electricity and gas networks. Impact",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.16,AI,B,"aspect of our business, accelerating our ability to plan, respond and deliver across our electricity and gas networks. Impact on our industry – AI is creating opportunities to improve operational efficiency across the value chain, through enhanced grid intelligence, predictive and autonomous",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
National Grid plc,NG,,NG_company_annual_report_current_fy2025-26.pdf,p.16,AI,B,"ross the value chain, through enhanced grid intelligence, predictive and autonomous maintenance, and customer service. Across our operating areas, AI adoption continues to accelerate, with increasing agentic and autonomous applications. – Grid-enhancing technologies, such as smart sensors, are",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
