company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.6,automation,B,ed user experience Accelerated active user growth within an expanded addressable market A step change in revenue and earnings growth Greater automation and scalability in our operations Target behaviours Lead and inspire Think big Champion the client Deliver at pace Raise the bar Strategic Report G,uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.7,automation,B,"s to broaden customer appeal and expand our addressable market. Increase efficiency Lower fixed costs per customer and scalability through greater automation and digital servicing, supported by disciplined investment choices and the right partnerships. Embed a high-performance culture Embed target beha",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.9,artificial intelligence,B,"arkets. These improvements drove strong growth in customer activity and revenues. In parallel, we accelerated work to embed digital servicing and artificial intelligence across the business, improving the experience for customers while reducing our fixed cost to serve. Freetrade continued to deliver strong double-d",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.12,AI,B,"024 £525.0m (Measured on a scale of -100 to +100; financial services industry benchmark: +29) Employee engagement score -0.3 eNPS We introduced an AI-powered engagement tool in the 12 months to 31 May 2025, enabling more frequent pulse surveys. In the seven months ended 31 December 2025, our emp",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.20,AI,B,"We deliver dependable, around the clock customer service by embracing innovative technologies and high standards of care. We recently launched an AI chatbot that rapidly responds to customer queries. It is designed to avoid bias and identify vulnerable customers, directing sensitive or complex",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.33,AI,B,"ith membership comprised of senior management with subject matter expertise; these include a Technology Risk Committee, Best Execution Committee, AI Governance Committee and Transaction Reporting Committee. Strategic Report Governance Report Financial Statements Shareholder and Company Informat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.35,AI,B," The Board receives regular strategy updates from the Executive Directors throughout the year outlining the strategic progress of the business  AI use cases are assessed for Data & Security Risks, Technical Risks, Compliance & Regulatory Risks and Operational Risks Competitor risk We operate in",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.36,AI,B,"ities, posing a sustained challenge as we scale our cryptoasset offering and onboard more sophisticated institutional clients. The incorporation of AI to improve efficiency and productivity, as well as to enhance quality and accuracy, could result in threats to data security and ethical considera",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.36,AI,B,"Assurance functions undertake risk assessments, utilise defined maintenance windows and help deploy new products and services  We have implemented AI controls to ensure that any sensitive information is only used in private, paid for and licensed services so as not to be made public in error Fina",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
IG Group,IGG,,IGG_company_annual_report_current_fy2025-year-ended-31-dec-2025_2026.pdf,p.42,AI,B,"rector and benefited from detailed sessions on a range of topics to enhance our knowledge and understanding of the business, including sessions on AI, cyber security, regulatory developments across key markets and the strategic implications of the year-end change. Outside of Board meetings, Direc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
