duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Pershing Square Holdings,PSH-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.11) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Pershing Square Holdings,PSH-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.13) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Pershing Square Holdings,PSH-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,10 passages on the same page (p.15) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Pershing Square Holdings,PSH-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (p.16) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Pershing Square Holdings,PSH-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,8 passages on the same page (p.23) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Pershing Square Holdings,PSH-REJ-013,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.26) of PSH_company_annual_report_current_fy2025_2026-02.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Pershing Square Holdings,PSH-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.19) of PSH_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Pershing Square Holdings,PSH-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.25) of PSH_company_annual_report_previous_fy2024_2025-03.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-009,Pershing Square Holdings,PSH-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,7 passages on the same page (p.25) of PSH_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Pershing Square Holdings,PSH-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.31) of PSH_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Pershing Square Holdings,PSH-REJ-013;PSH-REJ-021,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in PSH_company_annual_report_current_fy2025_2026-02.pdf and PSH_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.99).,yes,,
DUPG-012,Pershing Square Holdings,PSH-REJ-014;PSH-REJ-022,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in PSH_company_annual_report_current_fy2025_2026-02.pdf and PSH_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.99).,yes,,
