staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PSH-REJ-001,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"me time. In November, the Investment Manager opportunistically deployed capital into Meta following a decline in the share price amid concerns around AI-related spending. Also in November, the Investment Manager announced that it had exited its investments in Chipotle and Nike, and in February 2026, i",no,no,vague_general_ai_reference,,rejected,,
PSH-REJ-002,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI;artificial intelligence,B,2,"antages. In the first six weeks of the year, the stock prices of each of Alphabet, Amazon, and Meta have declined due to their announcements of large AI-related capex programs well in excess of market expectations. We believe the market’s negative response to these large capex announcements is misguid ||| by the highest-quality mega cap companies, which include their global scale, dominant market positions, access to low-cost capital, and leadership in artificial intelligence and related technologies. If the S&P 500 can sustain structurally higher earnings growth driven disproportionately by the top handful of these compan",no,no,vague_general_ai_reference,DUPG-001,rejected,,
PSH-REJ-003,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.13,AI,B,2,"nd stable inflation data that will allow the Federal Reserve to lower rates, (6) the extraordinary scale of data center and energy investments due to AI, (7) the productivity benefits of AI, (8) the wealth effects from stock market and private company valuation gains, (9) the potential for a peace div ||| as it appears the Russia/Ukraine war is closer to resolution, and (10) the accelerated pace of innovation, software development, and discovery due to AI. All of the above are occurring in a year with mid-term elections that typically swing against the incumbent administration. As such, the Trump Admin",no,no,vague_general_ai_reference,DUPG-002,rejected,,
PSH-REJ-004,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"r opportunity to invest in Meta arose following the company’s Q3 2025 earnings call in October when it announced it would spend significantly more on AI initiatives in 2026 than investors had expected, leading to a 20% share price decline. As a result, we were able to establish our position in Meta at",no,no,vague_general_ai_reference,,rejected,,
PSH-REJ-005,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.15,generative AI,A,1,veraging Meta's rich first-party data to deliver more relevant and targeted ads. Automation capabilities – from the company’s Advantage+ suite to its generative AI ad creation tools – facilitate an end-to-end self-serve model for advertisers. We are also encouraged by AI's potential to unlock new commercial use,no,no,ordinary_automation,,rejected,,
PSH-REJ-006,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.15,AI,B,10,"Pershing Square Holdings, Ltd. 13 In our view, concerns surrounding Meta’s elevated spending overlook the transformative potential of AI to accelerate near- term revenue growth and reinforce its long-term competitive moats. We believe Meta is one of the clearest beneficiaries of AI and ||| eeing material impact across its core business drivers: content recommendation, user engagement, ad monetization and new product innovation. Improved AI content recommendation systems are driving material growth in user engagement, especially for the video format with time spent watching videos on Ins ||| dened from the “social graph” (friends/family/followed accounts) to include a wider range of interest-based content from a diverse group of creators, AI recommendation engines enable the company to better understand, surface, and curate content that users desire. Likewise, AI greatly improves ad monet ||| advertisers. We are also encouraged by AI's potential to unlock new commercial use cases and engagement modes. For instance, the rollout of Business AI on Meta’s messaging platforms could be a game-changer for businesses to pursue scalable, low-cost customer engagement and wearables like Meta Ray-Ban ||| game-changer for businesses to pursue scalable, low-cost customer engagement and wearables like Meta Ray-Bans, which present new avenues to leverage AI interactively in the real world. We believe the substantial upside potential from AI, both within Meta’s compute-constrained core business and in its ||| the Reality Labs division will peak in 2026 and moderate in future years. Should Meta’s high levels of revenue growth slow down or the returns on its AI investments be lower than anticipated, we are confident the company will be able to retain the operational levers – reminiscent of the 2023 “Year of ||| ng its unique ability to leverage core strengths in data, distribution, infrastructure, and research expertise to successfully capitalize on its vast AI potential. AI is having a profoundly transformative impact on the company’s core advertising platform. Google’s unrivaled digital “real estate” and c ||| mative impact on the company’s core advertising platform. Google’s unrivaled digital “real estate” and consumer mindshare allow for the deployment of AI products at a massive scale. In Search, this is most evident in the global roll-out of AI Overviews. Now reaching more than two billion users in more ||| e scale. In Search, this is most evident in the global roll-out of AI Overviews. Now reaching more than two billion users in more than 200 countries, AI Overviews is the world’s most widely used AI product by a significant margin. Notably, its introduction has accelerated query growth in Search, with ||| erated query growth in Search, with the most pronounced effects seen among younger demographics. Similarly, in YouTube, Google’s focus on multi-modal AI, specifically image and video generation, has driven material improvements to recommendation algorithms and creator tools.",no,no,vague_general_ai_reference,DUPG-003,rejected,,
PSH-REJ-007,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.16,AI;Gemini,A;B,5,"ly from the pioneering work of DeepMind, a frontier AI research lab which the company presciently acquired in 2014. Late last year, DeepMind launched Gemini 3, the company’s most advanced foundational AI model, which promptly topped the leaderboards in major evaluation benchmarks. More importantly, as a s ||| promptly topped the leaderboards in major evaluation benchmarks. More importantly, as a sign of improving product velocity, Google quickly integrated Gemini 3 into Search and its broader app ecosystem simultaneously with its release. We believe Google’s AI leadership is increasingly gaining external valid ||| le’s AI leadership is increasingly gaining external validation, most notably through the recently announced partnership with Apple to power Siri with Gemini. Within the company’s Cloud segment, Google’s full-stack approach to AI is increasingly becoming a key differentiator. The combination of cost-advant ||| rong product and business momentum, we believe it continues to trade at an attractive valuation for a business of its quality, leadership position in AI and ability to grow earnings per share at a high-teens rate over the medium term. Amazon.com, Inc. (“Amazon”) Amidst tariff-related market volatility ||| its data center capacity since 2022 and is on track to double it again by 2027. We expect this new capacity to be rapidly absorbed by the scaling of AI inference workloads, and believe the current investment cycle to frontload infrastructure investments will deliver strong future returns. In Amazon’s",no,no,vague_general_ai_reference,DUPG-004,rejected,,
PSH-REJ-008,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.17,automation,B,1,"to peers and factoring in its fast-growing, high-margin advertising revenue. Moreover, the company is seeing large productivity gains from warehouse automation and its one-of-a- kind logistics network. As a proof point, per-unit shipping costs have been steadily declining for the last eight quarters in a row",no,no,ordinary_automation,,rejected,,
PSH-REJ-009,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"fferings, continues to invest in its logistics network to allow for same-day shipping to an increasing percentage of its customer base, and leverages AI investments to improve the overall customer purchasing experience. We estimate that Amazon’s retail business’s structural profit margin potential to",no,no,vague_general_ai_reference,,rejected,,
PSH-REJ-010,Pershing Square Holdings,PSH,Pershing Square Holdings Ltd. 2025 Annual Report,PSH_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.21,artificial intelligence,B,1,"aching super-human safety standards across multiple vendors. Beyond Waymo and Tesla, a host of small companies are making significant advancements as artificial intelligence and end-to-end neural networks provide new opportunities for AV technology. We believe it is likely that AV technology will ultimately be broad-based",no,no,vague_general_ai_reference,,rejected,,
