duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Rolls-Royce Holdings,RR-REJ-001,rejected_candidates_staging,webpage_boilerplate,not_applicable,11 webpage-boilerplate passages on the same page/section of RR_partner_partner_case_study_rolls-royce-harnessing-the-power-of-databricks-for-image-gen_2024-08-08.html consolidated into one rejected row.,yes,merge,Repeated webpage-boilerplate passages correctly consolidated into a single rejected row.
DUPG-002,Rolls-Royce Holdings,RR-REJ-002,rejected_candidates_staging,webpage_boilerplate,not_applicable,6 webpage-boilerplate passages on the same page/section of RR_partner_partner_case_study_rolls-royce-saves-millions-in-cost-avoidance-with-microsoft_2025-04-01.html consolidated into one rejected row.,yes,merge,Repeated webpage-boilerplate passages correctly consolidated into a single rejected row.
DUPG-003,Rolls-Royce Holdings,RR-OP-002,operational_candidates_staging,same_source_consolidation,not_applicable,2 passages from RR_partner_partner_case_study_rolls-royce-saves-millions-in-cost-avoidance-with-microsoft_2025-04-01.html describing the same initiative (rr_microsoft_defect_detection_vibration_analysis) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-004,Rolls-Royce Holdings,RR-STR-001,strategic_candidates_staging,same_source_consolidation,not_applicable,3 passages from RR_partner_partner_case_study_rolls-royce-saves-millions-in-cost-avoidance-with-microsoft_2025-04-01.html describing the same initiative (rr_microsoft_data_repository_for_genai) were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-005,Rolls-Royce Holdings,RR-REJ-008,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.34) of RR_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-006,Rolls-Royce Holdings,RR-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.35) of RR_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-007,Rolls-Royce Holdings,RR-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.75) of RR_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-008,Rolls-Royce Holdings,RR-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.112) of RR_company_annual_report_current_fy2025.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-009,Rolls-Royce Holdings,RR-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.15) of RR_company_annual_report_previous_fy2024.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-010,Rolls-Royce Holdings,RR-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.32) of RR_company_annual_report_previous_fy2024.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
DUPG-011,Rolls-Royce Holdings,RR-GOV-004,governance_candidates_staging,same_source_consolidation,not_applicable,5 passages on the same page (not_applicable) of RR_partner_partner_case_study_rolls-royce-harnessing-the-power-of-databricks-for-image-gen_2024-08-08.html describe the same ai governance framework theme and were consolidated into one row.,yes,merge,Repeated passages from one source correctly consolidated into a single finding.
