company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.16,automation,B,"ral tailwinds remaining strong from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. Take up of logistics warehousing over the last year was in line with the prior year at around 20 million sq ft. Whilst the UK logistics vacancy ra",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.17,Bedrock,A,"ssets and provides incredible income let to strong operators, with inflation protection and attractive income compounding qualities which form the bedrock of our dividend. It is 99% occupied, offers a topped up NIY of 5.5%, a WAULT of 23 years and contractual rental uplifts on 90% of income. The real",likely_genai,medium,"Stage A high-precision generative-AI term 'Bedrock' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.22,automation,B,"al tailwinds remaining strong from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. Take up of logistics warehousing over the last year was in line with the prior year at around 20 million sq ft. Whilst logistics vacancy rate has",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.83,AI,B,"nually strives to monitor and improve processes, including those relating to cyber security, so that they remain fit for purpose. The rising use of AI, however, is fuelling an increasing and ever-evolving risk to all businesses in terms of the frequency, sophistication and intensity of cyber threa",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.87,automation,B,"e sector continues to benefit from continued online sales growth, investment in more efficient and resilient supply chains and increased warehouse automation. £188.9 million of this was into urban which remains the most attractive sub-sector with the greatest demand/supply tension and income growth poten",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.106,AI,B,"ning the right assets and avoiding the losers • A cting responsibly and ensuring we are a desirable employer • C autiously embracing technology and AI • M aintain a progressive and covered dividend Opportunities and challenges were discussed and included market liquidity, improving yields, an infl",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.107,AI,B,"ional topics including on transactions, tenant and market intelligence, strategy, financial results, LXi systems migration, ESG, cyber security and AI. Additionally, certain Team members also attend periodic Board lunches/dinners where strategy is discussed enabling fresh ideas and wider perspecti",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.108,AI,B,"provided this year on the internal performance review, succession planning, strategy, debt and hedging, cyber security, portfolio credit strength, AI and ESG. Directors also receive transactional papers for review and approval between meetings, with ratifications at the next Board meeting. Senior",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.114,AI,B,"management and external advisors on various matters including regulatory and accounting updates, Code compliance, debt and hedging, cyber security, AI, tenant covenants and ESG. Diversity and inclusion We recognise the importance of diversity in its broadest sense and its benefits to the organisati",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_current_fy2024-25_2025-06.pdf,p.118,AI,B,"logy, purpose and culture • M ake more time for discussion on strategic intent i.e. ‘What next?’ in terms of where future growth will come from • AI paper and presentation from the Strategy Director provided to the Board • E xtended strategy discussion at September Board meeting The key fin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,p.21,automation,B,"ilwinds for the logistic sector remain strong, namely continued online sales growth, reshoring activities, rewiring of supply chains and warehouse automation. After several years of materially stronger than average occupational demand for logistics in the UK, take up for 2023 fell back to be more in lin",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
LondonMetric Property,LMP,,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,p.22,Bedrock,A,"plifts on 90% of income. This provides incredibly strong income with inflation protection and attractive income compounding qualities forming the bedrock of our attractive dividend. The LXi merger added £2.6 billion of long income assets, increasing the value of our long income portfolio to £3.2 bil",likely_genai,medium,"Stage A high-precision generative-AI term 'Bedrock' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
LondonMetric Property,LMP,,LMP_company_annual_report_previous_fy2023-24_2024-06.pdf,p.89,AI,B,"scussed at Board level. No new emerging risks were identified during the year but we are alert to the pace of technological advances, particularly AI and are conducting research not only into how AI is being employed across industries and its impact on processes and space requirements but also h",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
