duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Standard Life,SDLF-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.41) of SDLF_company_annual_report_current_fy2025_2026-03-16.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Standard Life,SDLF-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.43) of SDLF_company_annual_report_current_fy2025_2026-03-16.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Standard Life,SDLF-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.45) of SDLF_company_annual_report_current_fy2025_2026-03-16.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Standard Life,SDLF-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.51) of SDLF_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Standard Life,SDLF-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.108) of SDLF_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Standard Life,SDLF-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.132) of SDLF_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,Standard Life,SDLF-GOV-001;SDLF-GOV-002,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.75,Passages in SDLF_company_annual_report_current_fy2025_2026-03-16.pdf and SDLF_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.75).,yes,,
DUPG-008,Standard Life,SDLF-REJ-008;SDLF-REJ-022,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.55,Passages in SDLF_company_annual_report_current_fy2025_2026-03-16.pdf and SDLF_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.55).,yes,,
DUPG-009,Standard Life,SDLF-REJ-011;SDLF-REJ-024,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.82,Passages in SDLF_company_annual_report_current_fy2025_2026-03-16.pdf and SDLF_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.82).,yes,,
DUPG-010,Standard Life,SDLF-REJ-015;SDLF-REJ-028,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.97,Passages in SDLF_company_annual_report_current_fy2025_2026-03-16.pdf and SDLF_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.97).,yes,,
