staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
LGEN-REJ-001,Legal & General,LGEN,L&G expands Microsoft collaboration to accelerate AI enablement and transform customer experience,LGEN_company_press_release_l-g-expands-microsoft-collaboration-to-accelerate-ai-enablem_2026-06-16.html,,press_release,company_primary,not_applicable,AI,B,1,===== HTML DOCUMENT ===== Source file: LGEN_company_press_release_l-g-expands-microsoft-collaboration-to-accelerate-ai-enablem_2026-06-16.html Title: L&G expands Microsoft collaboration to accelerate AI enablement and transform customer experience Skip to main conten,no,yes,webpage_boilerplate,,rejected,,
LGEN-REJ-002,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.5,AI,B,2,"conomic benefit to be realised through such measures. L&G must also respond to emerging trends, including developments in Artificial Intelligence (AI). In 2026, we plan to introduce AI-powered features to some of our customer facing platforms with the aim to enhance customer experience through ||| ustomer facing platforms with the aim to enhance customer experience through personalisation, faster service, and more intuitive digital journeys. AI is an opportunity for the Group to improve its customer service, while also being a growing investment proposition. Strong financial performance",no,no,vague_general_ai_reference,DUPG-001,rejected,,
LGEN-REJ-003,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.7,AI,B,2,"- t i m e support to build stronger l o n g - t e r m r e t i r e m e n t outcomes, and boost financial confidence earlier in life. Our new ‘AI for Business Value’ programme modernises our focus on the skills and technologies that assist our competitive position, upskilling colleagues t ||| ness Value’ programme modernises our focus on the skills and technologies that assist our competitive position, upskilling colleagues to deploy AI where it can drive the greatest efficiency and impact. Enhanced Returns Strong fundamentals and capital discipline to drive shareholder returns L&",no,no,vague_general_ai_reference,DUPG-002,rejected,,
LGEN-REJ-004,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.8,AI,B,1,ogress in reducing complexity and focusing resources where we can deliver the strongest returns. Our collaboration with Microsoft to introduce an AI enabled customer service platform will improve the experience for our Retail customers and increase operational efficiency. We also launched a re,no,no,vague_general_ai_reference,,rejected,,
LGEN-REJ-005,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.24,AI,B,1,"announced our collaboration with Microsoft to digitalise our customer support platform. Customer interactions with colleagues will be enhanced by AI-enabled agentic assistance, and we are reducing complexity for our employees by unifying our platforms so customer queries can be resolved faster",no,no,vague_general_ai_reference,,rejected,,
LGEN-REJ-006,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"downgraded, and investments prove ineffective resulting in loss. Institutional Retirement Asset Management Retail Disruptive technology, including AI, impacting the value of investments. Increased frequency and severity of extreme weather events or increased nature loss, impacting on the value of",no,no,vague_general_ai_reference,,rejected,,
LGEN-REJ-007,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.48,AI;generative AI,A;B,2,"nts remains apprised of the AI landscape across all our jurisdictions. We have been actively engaged in numerous consultations in relation to AI and generative AI, including the FCA’s recent 'Mills Review'. Outlook We continue to invest in automation and AI to enhance operational efficiency and deliver bette ||| ills Review'. Outlook We continue to invest in automation and AI to enhance operational efficiency and deliver better customer outcomes. The use of AI could bring significant positive benefits, and we are alive to the risks of moving too slowly and therefore of missing out on those benefits. We rem",no,no,ordinary_automation,DUPG-003,rejected,accept,"REVIEW: confirmed correctly rejected. Ordinary-automation framing, no concrete generative-AI task described."
LGEN-REJ-008,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.48,AI,B,7,"s in which we operate. We continuously monitor the factors that may impact the markets in which we operate. We have responded to rapid advancement in AI capabilities, developed both in-house and provided by third parties, through the development of a Central AI Inventory and intake process that tria ||| abilities, developed both in-house and provided by third parties, through the development of a Central AI Inventory and intake process that triages AI Use Cases according to their AI Risk level, facilitating proportionate second line AI Risk oversight. This is facilitated by ongoing work from the A ||| ttractive to new entrants. We are also mindful of competitors who may have lower return on capital requirements or be unconstrained by Solvency UK. AI has the potential to significantly disrupt the markets in which we operate by (1) facilitating new entrants, who may be able to operate more effici ||| for Asset Management, we are managing associated risks through a carefully phased migration approach. We are closely monitoring the rapid growth of AI given its potential to significantly influence business outcomes both positively and adversely. While AI offers opportunities to enhance customer e ||| ely. While AI offers opportunities to enhance customer experience and streamline operations, it also introduces additional risk. We have approached AI Risk through a bifurcated taxonomy strategy, wherein a dedicated new 'AI Risk' NFR category captures those risks that are truly unique to AI is join ||| tification of those existing risk categories and controls, across our other risk categories, that are relevant to the articulation and management of AI Risk. Our increasing reliance on accurate, secure and well governed ‘Data’ reinforces the importance of ongoing enhancements to the L&G Data Manage ||| ed ‘Data’ reinforces the importance of ongoing enhancements to the L&G Data Management Framework, which is a critical enabler of safe and effective AI use, development, and deployment. Risk Category Non-Financial Risk Priority High Risk Climate/ Perception Stable We have constructed our framework",no,no,vague_general_ai_reference,DUPG-004,rejected,,
LGEN-REJ-009,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.60,AI,B,1,"ur culture. The new metrics are reported to the Group Board and the GMC and reporting of the Voice survey results has been further enhanced using AI-generated personas derived from employee comments, to deep dive into specific themes. These personas add depth to the quantitative data and analys",no,no,vague_general_ai_reference,,rejected,,
LGEN-REJ-010,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.70,AI,B,1,"nt. • In November 2025, the Board visited L&G’s Hove office, where they participated in sessions with employees which focused on cyber security and AI. Employees were also invited to attend a panel discussion featuring strategic partners, as well as a town hall event with the Group CEO and Group Ch",no,no,vague_general_ai_reference,,rejected,,
LGEN-REJ-011,Legal & General,LGEN,Legal & General Group Plc Annual Report and Accounts 2025,LGEN_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.77,AI,B,2,"ects of enterprise transformation, with a focus on the Group's Major Change Programmes and the Enterprise Technology Strategy, including Data and AI. • Review and endorse the Enterprise Technology Strategy, including Data and AI and their respective implementation plans. • Review and endorse th ||| e any proposed technology projects and contracts within its remit of responsibility. • Consider current capabilities relating to technology, data, AI and digital skills and plans to address any gaps. • Consider the adequacy, resilience and performance of suppliers and supply chains for IT and cy",no,no,vague_general_ai_reference,DUPG-005,rejected,,
