staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
HSX-REJ-001,Hiscox,HSX,Hiscox's generative AI-enhanced lead underwriting model enabled by Google Cloud goes live,HSX_company_press_release_n-a_2024-08-12.html,,press_release,company_primary,not_applicable,generative AI,A,1,===== HTML DOCUMENT ===== Source file: HSX_company_press_release_n-a_2024-08-12.html Title: Hiscox’s generative AI-enhanced lead underwriting model enabled by Google Cloud goes live | Hiscox Group Skip to main content Share price:loading... Menu Close Primary,no,yes,webpage_boilerplate,,rejected,,
HSX-REJ-002,Hiscox,HSX,How AI is 'supercharging' Hiscox employees to do what they're great at,HSX_partner_partner_case_study_n-a.html,,partner_case_study,technology_partner,not_applicable,AI;Copilot,A;B,3,nt Deals for students and parents Azure for students Business Microsoft AI Microsoft Security Azure Dynamics 365 Microsoft 365 Microsoft 365 Copilot Microsoft Teams Small Business Developer & IT Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Mi ||| ===== HTML DOCUMENT ===== Source file: HSX_partner_partner_case_study_n-a.html Title: How AI is ‘supercharging’ Hiscox employees Skip to main content Microsoft Microsoft UK Stories Microsoft UK Stories Microsoft UK Stories Home Educati ||| usiness Microsoft Power Platform Windows 365 Digital Sovereignty Developer & IT Developer & IT Microsoft Developer Microsoft Learn Support for AI marketplace apps Microsoft Tech Community Microsoft Marketplace Software companies Visual Studio Other Other Microsoft Rewards Free downloads,no,yes,webpage_boilerplate,DUPG-001,rejected,,
HSX-REJ-003,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.1,AI,B,1,RIDING MICRO-CYCLES We explore underwriting cycles and the role of tech and AI in innovation. EXPANDING OUR HORIZONS Our European leaders talk growth in existing markets and expansion into new geographies. CHANGE CHAMPION Q&A,no,no,vague_general_ai_reference,,rejected,,
HSX-REJ-004,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.3,AI,B,1,r EARLY REFLECTIONS Q&A with Peter Clarke Group Chair 2-5 34-37 76-77 RIDING MICRO-CY CLES We explore underwriting cycles and the role of tech and AI in innovation. 22-25 How to navigate this report: Video content links External website links External document linksPage referrals within the report,no,no,vague_general_ai_reference,,rejected,,
HSX-REJ-005,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.6,AI;generative AI,A;B,2,"response times around key renewal periods. In Hiscox London Market, we’ve also extended our collaboration with Google Cloud to broaden our use of generative AI in our underwriting and risk modelling, having started with one product line in 2024 – sabotage and terrorism DELIVERING OUR TRANSFORMATION AND ||| are making the process of buying insurance from us much more frictionless, whether you’re doing it directly or through a broker. For example, the AI model we’ve introduced in our UK high net worth business is helping to quickly assess broker submissions, categorising them by risk appetite, and",no,no,vague_general_ai_reference,DUPG-002,rejected,,
HSX-REJ-006,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.7,AI,B,3,"business, including SME cargo and middle-market property – areas that were previously inaccessible to us because of the economics, but where our AI platform has enabled us to reduce our cost structure sufficiently. Q: How will the Group’s transformation and growth ambitions impact Hiscox’s d ||| he transformation we’re undertaking is about changing how we do things, not who we are. It means moving from manual processes to digitisation and AI, which is something we’re doing in every single part of the business. It also means encouraging even greater collaboration across business units ||| ss. Data fluency is something we are beginning to build in every Hiscox colleague. Every role, at every level, is evolving in some way because of AI and data-driven decision-making, and we want our people to be ready. One of the ways we supported colleagues with this in 2025 was by introducing",no,no,vague_general_ai_reference,DUPG-003,rejected,,
HSX-REJ-007,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"er a decade. Read more on pages 62 to 63. October Signed a multi-year collaboration with Google Cloud, deepening a relationship that pioneered an AI-enhanced lead underwriting solution in Hiscox London Market. Launched the Hiscox Data Navigator, creating a Group-wide repository of data and data",no,no,vague_general_ai_reference,,rejected,,
HSX-REJ-008,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.16,automation,B,1,igh net worth Complex and emerging risks Local reach across the USA and Western Europe Omni-channel Augm ented underwriting Digital capability and automation Retail strategy Operational excellence Entrepreneurial culture Powerful brand Retail strategy A focus on high‑quality growth in specialist market,no,no,ordinary_automation,,rejected,,
HSX-REJ-009,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"surance solutions cover risks that others may not, such as the no-show of a star to a photoshoot in our media E&O policy, or offering affirmative AI cover in our tech E&O policy. We build solutions to address specific customer needs – which drives us to explore and innovate, and means we empowe",no,no,vague_general_ai_reference,,rejected,,
HSX-REJ-010,Hiscox,HSX,Hiscox Ltd Report and Accounts 2025,HSX_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.18,AI;artificial intelligence,B,2,"26, we will continue to respond to the evolving market conditions by maintaining robust underwriting standards and investing in digital, data and AI capabilities to enhance decision -making and unlock new opportunities – including through our new portfolio solutions division in Hiscox London M ||| also developing new avenues for growth, including entry into US middle-market property, and building new operational capabilities through Hiscox Artificial Intelligence Laboratories. In Hiscox Re, we are continuing to diversify our portfolio in a transitioning market, supported by a strong pipeline of future pote",no,no,vague_general_ai_reference,DUPG-004,rejected,,
