staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BNZL-REJ-001,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.14,automation,B,1,"Furthermore, the business continues to look for opportunities to utilise technology to drive efficiency, such as through investments in warehouse automation. In December 2024 Bunzl announced a £200 million share buyback programme for 2025, which commenced at the start of 2025 and was completed by Octo",no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail. No operational generative-AI use case found in either annual report -- genuine no-disclosure company for operational purposes, despite the thin GenAI-tool-policy governance mention."
BNZL-REJ-002,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.20,automation,B,2,and improved and standardised service for our customers Expect improved service levels with fill rates of 98% and delivery capability in 24 hours Automation in Denmark Ongoing project to extend our largest warehouse in the Nordics to increase capacity to support growth Goods-to-person system combining s ||| Goods-to-person system combining shelves and pallets to automate up to 90% of the picking process 72 robots to move inventory shelves and pallets Automation in Germany Automation system implemented in a large German warehouse Will automate up to 60% of our order lines using efficient tote-to-person syst,no,no,ordinary_automation,DUPG-001,rejected,,
BNZL-REJ-003,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.43,AI,B,1,"erformance across the Group. Sessions highlighted leadership development, emerging customer needs, and the commercial value of sustainability and AI. Workshops on profitable growth, innovation and acquisitions reinforced the importance of disciplined execution. The event fostered meaningful co",no,no,vague_general_ai_reference,,rejected,,
BNZL-REJ-004,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.73,AI,B,1,"e as Bunzl is increasing its connectivity with third parties and its digital footprint through acquisition and investment in e-commerce platforms, AI initiatives, and efficiency enhancing IT systems. • Weak cyber defences, both now and in the future, through a failure to keep up with increasing cy",no,no,vague_general_ai_reference,,rejected,,
BNZL-REJ-005,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.83,AI,B,1,"allocation, business performance, talent development and succession, sustainability as a competitive advantage, digital acceleration and technology/AI as an enabler, portfolio management, operating model improvements, organic growth, and own brands. BOARD SITE VISITS SHAREHOLDER ENGAGEMENT Themes",no,no,vague_general_ai_reference,,rejected,,
BNZL-REJ-006,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.100,AI,B,1,"emained a key area of focus for the Committee in 2025 amid a rapidly evolving threat landscape, including in relation to Artificial Intelligence (‘AI’) enabled risks and ransomware. The Chief Information Officer and Chief Information Security Officer provided regular information security update",no,no,vague_general_ai_reference,,rejected,,
BNZL-REJ-007,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.105,AI;generative AI,A;B,2,"nd reinforced oversight. The Company’s AI policy defines acceptable use and governs the use of company, supplier, and customer data within external Generative AI tools. In addition, a Data Security & AI Risk Approach was implemented across the Group to address key risks, including privacy, cyber security, reg ||| & AI Risk Approach was implemented across the Group to address key risks, including privacy, cyber security, regulatory compliance, and third party AI usage. BUNZL’S CYBER SECURITY RISK MITIGATION FRAMEWORK Identify Know what we have, what we do, and what’s important • Asset Management • Business",no,no,vague_general_ai_reference,DUPG-003,rejected,,
BNZL-REJ-008,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.112,AI,B,1,le to make significant progress with our strategic objectives. Good progress has been made with the digitisation of transactions and some exciting AI applications are starting to gain real traction. We have delivered our long-term supplier audit target of having 90% of our spend from high-risk c,no,no,audit_analytics,,rejected,,
BNZL-REJ-009,Bunzl,BNZL,Bunzl plc Annual Report 2025,BNZL_company_annual_report_current_fy2025_2025.pdf,,annual_report_current,company_primary,p.118,AI,B,3,"ng the % of sales orders and supplier invoices transacted digitally via websites, EDI or other electronic means. In addition, maximise the use of AI by ensuring that specific pilot projects receive the necessary leadership resource and support, and that the learnings are shared rapidly so that ||| year) and 66% for supplier invoices by value (61% last year). A specific programme has been initiated to accelerate progress in the application of AI including workstreams on data readiness, creation of the AI engine and sales enablement. Pilots are live in every region and additional prototypes ||| ing workstreams on data readiness, creation of the AI engine and sales enablement. Pilots are live in every region and additional prototypes (e.g. AI chatbot for customer service) have been developed and showcased across the Group. • Continue to drive the progress of Own Brand sales as a driver",no,no,vague_general_ai_reference,DUPG-004,rejected,,
BNZL-REJ-010,Bunzl,BNZL,Bunzl plc Annual Report 2023,BNZL_company_annual_report_previous_fy2023_2023.pdf,,annual_report_previous,company_primary,p.9,automation,B,1,"uding further warehouse relocations and consolidations which partially offsets property cost inflation, as well as making further investments into automation. Bunzl ended the year with a net debt to EBITDA of 1.1 times, providing substantial headroom for further self-funded acquisitions and other capita",no,no,ordinary_automation,,rejected,,
