duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Weir Group,WEIR-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.22) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Weir Group,WEIR-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.23) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,Weir Group,WEIR-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.36) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,Weir Group,WEIR-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.37) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,Weir Group,WEIR-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.68) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-006,Weir Group,WEIR-GOV-003,governance_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.83) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-007,Weir Group,WEIR-REJ-018,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.83) of WEIR_company_annual_report_current_fy2025_2026-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Weir Group,WEIR-REJ-027,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.14) of WEIR_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Weir Group,WEIR-REJ-033,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.29) of WEIR_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,Weir Group,WEIR-REJ-034,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.66) of WEIR_company_annual_report_previous_fy2024_2025-03.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,Weir Group,WEIR-GOV-002;WEIR-GOV-007,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.94,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.94).,yes,,
DUPG-012,Weir Group,WEIR-GOV-006;WEIR-GOV-009,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.51,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.51).,yes,,
DUPG-013,Weir Group,WEIR-REJ-001;WEIR-REJ-024,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.85,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.85).,yes,,
DUPG-014,Weir Group,WEIR-REJ-010;WEIR-REJ-032,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.57,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.57).,yes,,
DUPG-015,Weir Group,WEIR-REJ-016;WEIR-REJ-034,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.66,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.66).,yes,,
DUPG-016,Weir Group,WEIR-REJ-019;WEIR-REJ-036,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,1.00,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 1.00).,yes,,
DUPG-017,Weir Group,WEIR-REJ-021;WEIR-REJ-037,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in WEIR_company_annual_report_current_fy2025_2026-03.pdf and WEIR_company_annual_report_previous_fy2024_2025-03.pdf are textually very similar (difflib ratio 0.99).,yes,,
