company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.6,AI,B,"e (NAV) per share rose from 325.20p to 657.41p, an increase of 102.2%, while the Benchmark increased 55.0% in sterling terms over the same period. AI again dominated investor attention, market returns and portfolio outcomes. This has been the best relative year for the Company in at least two dec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.6,AI,B,"returns and portfolio outcomes. This has been the best relative year for the Company in at least two decades, reflecting the Investment Manager’s ‘AI maximalist’ positioning which aligned closely with accelerating AI adoption. This year also marked 20 years for Ben Rogoff as the lead manager of",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.7,artificial intelligence,B,"attractive investment opportunities, and both the investment team and the portfolio are well positioned to benefit from continued developments in artificial intelligence. At the same time, Shareholders should be aware that any continued weakening of the US dollar could act as a near-term headwind to performance, giv",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.12,artificial intelligence,B,"Polar Capital Technology Trust plc since 2006, and is a Fund Manager of the Polar Capital Global Technology Fund and Polar Capital Automation and Artificial Intelligence Fund. Prior to joining Polar Capital, he began his career in fund management at CMI, as a global technology analyst. He moved to Aberdeen Fund Ma",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.12,artificial intelligence,B,"as been lead manager of the Polar Capital Global Technology Fund since January 2008 and is also a fund manager on the Polar Capital Automation and Artificial Intelligence Fund. Nick has a degree in Economics and Business Economics from Hull University, has completed all levels of the ASIP, and is a member of the CFA",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.12,artificial intelligence,B,"ir has a BA (1st Class Hons) in History from Trinity College, Cambridge and is a CFA Charterholder. Fund Managers Xuesong Zhao Partner Focus areas: Artificial Intelligence and Semiconductors Xuesong joined Polar Capital in 2012 and has 19 years’ investment experience. He is a lead manager of the Polar Capital Automat",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.12,artificial intelligence,B,iconductors Xuesong joined Polar Capital in 2012 and has 19 years’ investment experience. He is a lead manager of the Polar Capital Automation and Artificial Intelligence Fund and is a fund manager on the Polar Capital Global Technology Fund. Xuesong holds an MSc in Finance from Imperial College of Science & Technol,uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.13,AI,B,rs and successfully became a CFA Charterholder. Paddy transferred to the Technology Team as a Data Analyst in June 2024 and provides expertise on AI implementation while bolstering the wider data analysis capabilities of the team. Lina Ghayor Investment Analyst Focus area: Internet and Media Lin,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.13,artificial intelligence,B,", Social and Governance (ESG) Corporate Governance Financial Statements Shareholder Information Nick Williams Investment Analyst Focus areas: Artificial Intelligence, Healthcare and Clean Energy Nick joined Polar Capital in June 2019 as an analyst on the Polar Capital Technology team and has 10 years’ investme",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Polar Capital Technology Trust,PCT,,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,p.16,Claude,A,"weaker-than-expected results from Microsoft, SAP and ServiceNow were poorly received against an inflection in coding capabilities from Anthropic's Claude Code. Terminal value concerns caused technology stock valuations to fall sharply, driving the software sector's forward price to earnings (P/E) rat",likely_genai,medium,"Stage A high-precision generative-AI term 'Claude' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
