staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
VOD-REJ-001,Vodafone Group,VOD,Meet SuperTOBi -- Vodafone's new Generative AI virtual assistant now serving customers in multiple countries,VOD_company_press_release_meet-supertobi-vodafone-s-new-generative-ai-virtual-assistan_2024-07-04.html,,press_release,company_primary,not_applicable,generative AI,A,1,e file: VOD_company_press_release_meet-supertobi-vodafone-s-new-generative-ai-virtual-assistan_2024-07-04.html Title: Meet SuperTOBI - Vodafone’s new Generative AI virtual assistant now serving customers in multiple countries – Vodafone skip to main content Vodafone Business Vodafone Foundation Our sites Vo,no,yes,webpage_boilerplate,,rejected,,
VOD-REJ-002,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.10,AI,B,3,"ns standards and new solutions to improve our network. Our R&D hubs in Malaga and Dresden have further developed our technology in Open RAN, IoT, and AI solutions. Connected devices – The world is becoming more connected, driven by new devices across all sectors. This connectivity extends b ||| on has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common use cases include AI-generated recommendations, hyper-personalised marketing content, and software development. Enterprises are investing in Gen AI for customer service c ||| cross industries, boosting productivity and opening new business opportunities Learn more about how Vodafone works with artificial intelligence (‘AI’): investors.vodafone.com/artificial- intelligence Digital payments – Businesses in Europe are migrating sales channels online, driv",no,no,vague_general_ai_reference,DUPG-001,rejected,,
VOD-REJ-003,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.15,AI,B,5,"on has surged, with 65% of organisations using it in at least one business function, nearly double from the previous year – Common use cases include AI-generated recommendations, hyper-personalised marketing content, and software development. Enterprises are investing in Gen AI for customer service c ||| ade. Vodafone’s partnership with Microsoft further gives us the potential to access new technologies such as Generative Artificial Intelligence (‘Gen AI’) and to deploy these at scale for IoT. The opportunity for Vodafone M-Pesa is Africa’s leading mobile money service and largest FinTech pl ||| ying a key role in the evolving cloud technology landscape. The opportunity for Vodafone Vodafone is strategically positioned to deploy Gen AI at industry-leading speed and scale. By leveraging deep partnerships with Google and Microsoft, Vodafone can enhance customer satisfaction through hy ||| per-personalised experiences across all customer touch points, including its digital assistant TOBi. Additionally, Vodafone employees can utilise Gen AI capabilities to transform working practices, boost productivity, and improve digital efficiency. Read more about ||| out our cloud technology in our technology investor briefing: investors.vodafone.com/vtbriefing Learn more about how Vodafone is working with AI: investors.vodafone.com/artificial-intelligence /nobreakspace",no,no,vague_general_ai_reference,DUPG-002,rejected,,
VOD-REJ-004,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.17,AI;generative AI,A;B,3,"ee surveys, including onboarding and exit surveys. What were the key topics raised? – Changes to our commercial portfolio. – Company strategy. – Generative AI. – Results of employee listening and Spirit Beat survey. – Hybrid working. – Ownership and active engagement around safety, health and wellbeing, ||| ployee experience and engagement. How did we respond? – Updated employees on business and trading performance, regularly. – Launched foundational Generative AI training for all employees. – Delivered leadership training to support our Company transformation. – Embedded our hybrid working policy. – Continu ||| tment and senior management visibility. – Conducted initiatives such as Spirit surveys and site visits to call centres in key regions. – Used Gen AI for more personalised and comprehensive interactions through digital self-service and to enhance frontline digital experiences. – Used integrated tr",no,no,vague_general_ai_reference,DUPG-004,rejected,accept,REVIEW: confirmed correctly rejected. Vague strategic-context/employee-survey references to 'Generative AI' and 'GenAI' as topics/training themes -- no concrete task or deployment described beyond the Copilot rollout already captured in VOD-OP-002.
VOD-REJ-005,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.20,Copilot,A,1,"ication-adjustments During the year, we educated our people about accessibility features available in our core tools by the introduction of Microsoft Copilot. We adhere to global standards, such as Web Content Accessibility Guidelines (‘WCAG’) 2.1, through establishing and training developers on our access",no,no,vague_general_ai_reference,,rejected,correct,"REVIEW: consolidated into VOD-OP-002 as corroborating context (brief mention of Copilot in an accessibility-training passage, same underlying Copilot for Microsoft 365 rollout) -- not a separate use case."
VOD-REJ-006,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.21,GenAI,A,1,"ate the delivery of our strategy: ‘Customer Experience’, ‘Operational Intensity’, ‘Business to Business’ (‘B2B’), ‘Commercial P&L Ownership’, and ‘AI/GenAI’. In September we refreshed our global Employee Value Proposition (‘EVP’) formed of four principles, underpinned by the Spirit of Vodafone and realig",no,no,vague_general_ai_reference,,rejected,accept,REVIEW: confirmed correctly rejected. 'AI/GenAI' listed only as a strategic-pillar label with no task or deployment description.
VOD-REJ-007,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.22,Copilot;GenAI,A,4,"evelop across our ‘Beyond Connectivity’ portfolios and have access to learning content at the point of need. This year we trained colleagues on using GenAI tools. In June we launched the ‘GenAI Empowering You’ learning campaign. This comprises a foundational course which 40,000 colleagues completed this ||| 00 colleagues completed. People experience In November 2024 we started a global market-by-market rollout of Copilot for Microsoft 365. This tool uses GenAI to make daily tasks such as drafting emails, creating presentations and summarising meetings easier, boosting productivity. By January 2025, over 50, ||| kplace. To further simplify how we work to accelerate performance, we streamlined our HR processes by conducting ongoing pilots to explore the use of GenAI and removing high- touch channels to create a single entry point for HR queries. We transformed our AskHR TOBi chatbot, simplifying how colleagues ma ||| drafting emails, creating presentations and summarising meetings easier, boosting productivity. By January 2025, over 50,000 colleagues had access to Copilot. To support its launch, we delivered 20 skill labs to 13,000 colleagues, focused on prompt engineering and real-life application in the workplace. To",no,no,vague_general_ai_reference,DUPG-005,rejected,correct,"REVIEW: does not belong in rejected -- explicit 'This tool uses GenAI' language describing Copilot for Microsoft 365, rolled out to over 50,000 employees by January 2025. Distinct business function/user group from SuperTOBi (internal employee productivity vs. external customer service). Corrected and promoted to operational as VOD-OP-002."
VOD-REJ-008,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.39,artificial intelligence,B,1,"improve energy efficiency included the deployment of the latest generation radio hardware, the activation of smart power-saving features, the use of artificial intelligence in energy management, the introduction of flexible storage, and incentives to move towards smart metering in our operating companies. We are also wor",no,no,vague_general_ai_reference,,rejected,,
VOD-REJ-009,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.46,AI,B,1,"challenges in accessing the digital tools, skills, and resources needed to compete in an increasingly digital marketplace. Digital advancements like AI present a major opportunity for SMEs to enhance decision-making, automate processes and compete more effectively with larger enterprises. However, ba",no,no,vague_general_ai_reference,,rejected,,
VOD-REJ-010,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.49,artificial intelligence,B,1,"our anti- bribery programme, we are investing further in data analytics solutions, to identify and mitigate bribery and corruption risks, leveraging artificial intelligence technology. Fraud Fraud is a significant threat, impacting our customers, employees, reputation, and financial performance. The Executive Committee a",no,no,vague_general_ai_reference,,rejected,,
VOD-REJ-011,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.53,automation,B,3,"e principles, including: /nobreakspace – Act as an enabler for the business; – Be proactive, risk and threat-led, supported by data-driven decisions, automation and digitalisation; – Build and assure security in all products and services; and – Simplify architecture though partnership with key suppliers. In t ||| t the right time. Proactive Health and Real-time Response. The next generation of our detection and response capability, using advanced analytics and automation to expand our capabilities. Cyber Health and Adaptive Risk Method (‘CHARM’). We provide a view of our security risk which adapts to change and is qua ||| of our third parties; and – Implementation of CHARM. Alongside these priorities, we continue to focus on security control improvement, efficiency and automation. /nobreakspace Click to read our cyber security factsheet: investors.vodafone.com/cyber /nobreakspace New technologies and industry collaboration W",no,no,ordinary_automation,DUPG-009,rejected,,
VOD-REJ-012,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.53,AI,B,4,"requirements and tools into strategic AI platforms and internally developed AI applications. To reduce the risks of misuse, we limit access to public AI applications. We have developed an awareness programme and updated our policies to make it clear to our employees what data must not be shared with p ||| cations. We have developed an awareness programme and updated our policies to make it clear to our employees what data must not be shared with public AI applications. We have defined requirements for internal AI application development including risk assessment, designing for transparency, lack of bia ||| development including risk assessment, designing for transparency, lack of bias and providing the right degree of human oversight of results. If the AI model could have a high impact on people, we require a human to have input on the final decision. We are also experimenting with AI to augment our cy ||| nswer employee questions on cyber policies and standards. We are also engaged in cross-industry forums that collaborate on telecommunication-specific AI use cases, including threat detection, investigation and response.",no,no,vague_general_ai_reference,DUPG-010,rejected,,
VOD-REJ-013,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.57,AI,B,1,Detection of these attacks is more challenging. Social engineering methods are a common means for attackers to gain access. New technologies such as AI are enhancing techniques such as voice phishing and deep fakes. Harvested credentials continue to be sought and shared by threat actors. Attackers ca,no,no,vague_general_ai_reference,,rejected,,
VOD-REJ-014,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.61,AI,B,1,"sources (for example ransomware and phishing attacks) as well as evolving ones based on new technologies such as satellite, Artificial Intelligence (‘AI’) and the future use of quantum computing. /nobreakspace",no,no,vague_general_ai_reference,,rejected,,
VOD-REJ-015,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.62,AI;artificial intelligence,B,2,"nsent. This could lead to increased regulatory scrutiny, potential fines, reputational damage, and significant customer churn. The proliferation of AI and related regulatory and legislative action across our footprint requires a robust ethics and compliance approach. Geopoliticisation of data will c ||| liance approach. Geopoliticisation of data will continue to negatively impact cross-border data transfers. New European data regulations, such as the Artificial Intelligence Act and the Cyber Act, will introduce significant new legal requirements around data management of our business activities. Disintermediation",no,no,vague_general_ai_reference,DUPG-011,rejected,,
VOD-REJ-016,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.73,Gemini,A,1,"ich will bring new services, devices and TV experiences to millions of our customers across Europe and Africa, supported by Google Cloud and Google’s Gemini models. In October 2024, in accordance with the strategic partnership agreement, Accenture invested into our shared operations business, which will a",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: confirmed correctly rejected. Describes a Google Cloud/Gemini partnership for future consumer devices/TV experiences -- a strategic partnership announcement, not a described concrete task or live deployment."
VOD-REJ-017,Vodafone Group,VOD,Vodafone Group Plc Annual Report on Form 20-F 2025,VOD_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.74,GenAI,A,1,"consultative committees across our European and African markets. Key discussion topics included changes to our commercial portfolio; M&A activities; GenAI developments; people engagement; and, hybrid working. The 2024 Annual General Meeting (‘AGM’) was held at Vodafone UK’s headquarters in Newbury, Berk",no,no,vague_general_ai_reference,,rejected,accept,"REVIEW: confirmed correctly rejected. Vague reference, no concrete task described."
