company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.9,AI,B,"latforms to banks keen to expand their financial advice capabilities to insurance companies. Digital-led offerings are increasingly available, and AI usage to help manage and plan financial affairs is on the rise. These solutions can effectively serve segments of the market, particularly those",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.9,AI,B,"affairs. The human element is very important here, adding material value to clients. We focus on ensuring that our advisers have the digital and AI tools needed to best serve their clients, using technology to strengthen relationships between advisers and clients - not replace them. The market",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.16,AI,B,"onal technology tools designed to streamline processes, reduce administrative burden, and boost day-to-day efficiency. We already have a range of AI-enabled and digital tools which we’ve introduced or piloted. These include tools which respond to questions on our advice framework and business",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.16,automation,B,"completing our major transformation programmes, continuing to simplify and standardise our processes, improving administration and embedding more automation. This will improve client experiences and enhance efficiency for our advisers. We will also embed a more performance-focused culture. Ensuring we",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.18,AI,B,"UK Retail Investment Campaign, a landmark initiative to reshape how Britons think about long-term investing.  We introduced or piloted a range of AI tools to support the Partnership by making administrative processes more efficient. These include: – Tools which respond to questions on our advice",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.37,AI,B,"ecurity and threat landscape The cyber-threat environment has continued to intensify into 2025. Increased geopolitical tension, rapid innovation in AI-driven attack methods, and the growing scale of organised cybercrime have further expanded both the risk landscape and the sophistication of atte",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.40,AI,B,"events can disrupt markets, reduce investment returns, and increase operating costs.  Artificial intelligence risk – Artificial intelligence (AI) increases opportunities, and also presents a complex emerging risk, combining fast-moving technology with evolving regulatory, ethics, data and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.53,artificial intelligence,B,"cape continued to evolve during 2025, with significant incidents affecting UK organisations and increased focus on emerging risks associated with artificial intelligence. As a regulated and responsible organisation, we continued to invest in and enhance our information security capabilities to protect our clients,",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.79,artificial intelligence,B,"omparable Charges, the Historic Servicing Review and the launch of the Polaris Multi-Index funds, as well as audits of Consumer Duty Embeddedness, Artificial Intelligence Governance and the Own Risk and Solvency Assessment process. The delivery of the Plan is the responsibility of the Internal Audit Director, who is",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.96,AI,B,"focus on providing a leading adviser offering. For example, during the year we improved this by introducing and piloting a range of technology and AI tools to help advisers work more effectively. Employee engagement and culture Measure based on performance against a dashboard of employee and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.148,AI,B,"r, responsible for allocating resources and assessing performance of the operating segments, has been identified as the Group Executive Committee. (ai) Current and non‑current disclosure Assets which are expected to be recovered or settled no more than 12 months after the reporting date are disclos",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.154,AI,B,"0.9 7,036.4 Movement in investment contract benefits in the consolidated statement of comprehensive income 26,285.5 22,688.5 See accounting policy (ai) for further information on the current and non-current disclosure. 7. Insurance revenue Year ended 31 December 2025 Year ended 31 December 202",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_current_fy2025_2026.pdf,p.162,AI,B,"ered to have a maturity of up to one year since the corresponding unit liabilities are repayable and transferable on demand. See accounting policy (ai) for further information on current and non-current disclosure. Investment property 2025 2024 £’Million £’Million Balance at 1 January 892.3 1,110.3",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_previous_fy2024_2025.pdf,p.15,AI,B,"the business, alongside these key programmes we are progressing with our other strategic initiatives. For example, we’re developing and trialling AI tools to support advisers with administrative and technical queries, which will enhance efficiency. In addition, our investment team is exploring",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
St. James's Place,STJ,,STJ_company_annual_report_previous_fy2024_2025.pdf,p.40,AI,B,"n disrupt markets, reduce investment returns, and increase operating costs.  Artificial intelligence risk – The use of artificial intelligence (AI) can improve efficiency and profitability but can also create risks associated with data privacy, algorithmic bias, and regulatory compliance.",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
