staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
LSEG-STR-001,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.5,AI,B,1,"hrough our partnership approach, we operate and grow critical platforms that are developed in partnership with the industry. – Our LSEG Everywhere AI strategy is a natural extension of our open model, delivering our data in an easy-to-access way to where our customers are working. High-quality an",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-002,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.8,AI,B,2,"the assets we have built and brought together under one roof, and our proven track record of delivering real value through long-term partnership. AI strategy Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at the foref ||| forming financial markets. With our unmatched data, infrastructure and partnerships, LSEG is at the forefront of this change. Our LSEG Everywhere AI strategy encompasses three key pillars: Trusted Data, Transformative Products, and Intelligent Enterprise. Trusted Data: customer demand for data",no,no,technology_strategy,DUPG-003,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-003,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-004,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"nitiatives such as custom index creation in FTSE Russell, allow us to deliver flexible, integrated solutions. We are executing our LSEG Everywhere AI strategy built on trusted data and our open approach to unlock new opportunities. Leveraging Model Context Protocol to allow governed access to ou",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-005,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"AI Strategy – LSEG Everywhere Artificial intelligence is transforming financial markets. With our unmatched data, infrastructure and partnerships, we a",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-006,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.14,AI,B,1,"tial progress in migrating to software-defined networks, reducing device obsolescence by 80% while tripling capacity. We are increasingly embedding AI into our processes. For example, our AI-powered Question and Answer Service (QAS) is now being used in over 80% of all customer cases, enabling ha",no,no,embedding_ai_into_operations,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-007,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.23,AI,B,1,"ership, with more to come in 2026. LSEG Everywhere Delivering trusted data wherever customers work is the goal of our LSEG Everywhere strategy. As AI adoption accelerates and workflows become increasingly distributed, customers need seamless access to authoritative content across various enviro",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-008,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.51,AI,B,1,"iled disclosure around drivers of revenue in Data & Analytics in our third-quarter trading update, which was followed by a full presentation of our AI strategy at November’s Innovation Forum. – Investor feedback informed strategic priorities and capital allocation decisions, helping the Board bal",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-009,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.70,AI,B,1,"ess of the LMP at every Board meeting during the year, including programmes to deliver next-generation data and analytics, cloud infrastructure and AI integration. – Monitored the ongoing transformation to a customer-centric and product-led organisation. – Received briefings on AI strategy and pr",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
LSEG-STR-010,London Stock Exchange Group,LSEG,London Stock Exchange Group plc Annual Report 2025,LSEG_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.85,AI,B,1,"r Post Trade Solutions (PTS) business with 11 leading banks taking a 20% stake, enabling long-term value creation – Delivering our LSEG Everywhere AI strategy centred on Trusted Data, Transformative Products, and Intelligent Enterprise, including partnerships with Anthropic, Databricks, OpenAI,",no,no,technology_strategy,,strategic,accept," REVIEW: genuine AI-strategy/technology-enablement disclosure, correctly excluded from operational count (no discrete task/deployment-stage evidence at this passage, or explicitly a strategy-level statement)."
