staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_governance_theme,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BATS-GOV-001,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.177,AI,B,1,"lar penetration testing and incident simulations. Specialised programmes address emerging risks areas, such as operational technology security and AI governance. Strategic investments in cyber security capabilities are guided by annual planning cycles and informed by external benchmarking. BAT A",no,no,ai_governance_framework,,governance,accept,
BATS-GOV-002,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.188,AI,B,1,"s our organisation. SoBC compliance is reinforced with training, which in 2025 focused on our Responsible Marketing Principles, responsible use of AI, fostering an inclusive culture and respect in the workplace, together with a Group-wide SoBC sign-off process at the end of each year. Our SoBC i",no,no,safeguards_and_responsible_use,,governance,accept,
BATS-GOV-003,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.191,AI,B,1,"rmation, Digital & Technology (IDT) strategy to drive productivity through strategic partnerships, digital capabilities build, responsible use of AI and cyber security resilience, including oversight of the cyber security incident response plan. Reviewing the Group risk register and risk appet",no,no,safeguards_and_responsible_use,,governance,accept,
BATS-GOV-004,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.201,generative AI,A,1,"advisers. This covered the growth of generative AI to date and looking ahead to 2035, business impacts and key use cases, the approach to enabling generative AI across the Group and considerations for the Board, including efficiency opportunities and governance to promote its responsible and ethical use. T",no,no,ai_governance_framework,,governance,accept,
BATS-GOV-005,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.208,AI,B,1,"integrity and compliance programme and the progression of our information and digital technology (IDT) strategy, with focus on cyber resilience and AI governance. The Committee also reviewed the outcomes of internal audit assessments conducted across our operations in 2025 and approved the design",no,no,ai_governance_framework,,governance,accept,
BATS-GOV-006,British American Tobacco,BATS,Combined Annual and Sustainability Report 2025 -- British American Tobacco,BATS_company_annual_report_current_fy2025_2026-02.pdf,,annual_report_current,company_primary,p.213,AI,B,1,ities mapped to the Group risk register. Assignments conducted during the year included IDT infrastructure and controls; cyber security resilience; AI governance; excise management; sanctions compliance procedures; and consumer data privacy. Audit assignments were conducted through a combination o,no,no,ai_governance_framework,,governance,accept,
BATS-GOV-007,British American Tobacco,BATS,Annual Report and Form 20-F 2024 -- British American Tobacco,BATS_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.179,AI,B,1,"versight of the Group's Digital Business Solutions (DBS) strategy to drive productivity through enhanced use of technology and responsible use of AI, build resilience, and to simplify the Group's technology architecture. – Reviewing opportunities for the Group's Global Business Solutions organi",no,no,safeguards_and_responsible_use,,governance,accept,
BATS-GOV-008,British American Tobacco,BATS,Annual Report and Form 20-F 2024 -- British American Tobacco,BATS_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.190,AI,B,1,"velop the Board’s professional education programme for 2025 across various key topics, including sustainability, cyber security, responsible use of AI, and evolving regulation impacting the Group, supported by external perspectives. BAT Annual Report and Form 20-F 2024 Strategic Report Governance R",no,no,ai_governance_framework,,governance,accept,
BATS-GOV-009,British American Tobacco,BATS,Annual Report and Form 20-F 2024 -- British American Tobacco,BATS_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.199,AI,B,1,"elation to the Group’s digital strategy and data management, with emphasis on digital transformation, cyber security resilience, responsible use of AI, and the approach to managing those risks (discussed further at pages 162 and 199 to 201); – oversight of the Group's sustainability data and repor",no,no,safeguards_and_responsible_use,,governance,accept,
BATS-GOV-010,British American Tobacco,BATS,Annual Report and Form 20-F 2024 -- British American Tobacco,BATS_company_annual_report_previous_fy2024_2025-02.pdf,,annual_report_previous,company_primary,p.203,AI,B,1,"ng into account identified emerging risks. Internal audit engagements planned for 2025 include sustainability reporting, cyber security resilience, AI governance, sanctions and other regulatory compliance procedures, alongside robust coverage of core business activities, lines of defence and IDT",no,no,ai_governance_framework,,governance,accept,
