duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,British Land,BLND-REJ-002,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.9) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,British Land,BLND-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.10) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,British Land,BLND-REJ-004,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.14) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,British Land,BLND-REJ-005,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.23) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,British Land,BLND-REJ-007,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.30) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,British Land,BLND-GOV-001,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.50) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-007,British Land,BLND-REJ-011,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.52) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-008,British Land,BLND-REJ-016,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.59) of BLND_company_annual_report_current_fy2025-26_2026-05.pdf describe the same ordinary automation theme and were consolidated into one row.,yes,,
DUPG-009,British Land,BLND-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.50) of BLND_company_annual_report_previous_fy2024-25_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,British Land,BLND-REJ-028,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.59) of BLND_company_annual_report_previous_fy2024-25_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,British Land,BLND-REJ-004;BLND-REJ-020,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.59,Passages in BLND_company_annual_report_current_fy2025-26_2026-05.pdf and BLND_company_annual_report_previous_fy2024-25_2025-05.pdf are textually very similar (difflib ratio 0.59).,yes,,
