company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.14,AI,B,"ve delivered an increase in Clubcard sales penetration across all markets with the UK at 84%, ROI 87% and Central Europe 88%. The launch of our AI-powered Clubcard Challenges campaign amplified our efforts to give customers ever-greater personalisation, with more than 10 million given the ch",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.17,AI,B,"are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food waste. – We utilise AI to optimise the routes our drivers take, finding the most efficient combination of products, baskets and journeys for every lorry and delivery van,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.17,automation,B,"nding – All our stores offer a choice between colleague-operated and self-service checkouts and there are always colleagues on hand. – We use an automation tool to make sure we are discounting the right products at the right time, helping customers to get the best value and enabling us to reduce food",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.19,automation,B,"4/25. – Continued progress across all areas, including goods & services not for resale, operations, property and central overheads. – New robotic automation implemented at our Peterborough distribution centre, with Aylesford semi-automated distribution centre on track to open in summer 2025. – End-to-",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.32,automation,B,"ssets, as well as investing in growth, such as our online customer proposition, and delivering efficiencies across our operations, including further automation within our distribution and fulfilment centres. We continue to see attractive opportunities to commit capital to high-returning investments, and exp",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.34,AI,B,ity Report. Reduce store emissions We continue to work towards reaching our goal of carbon neutral operations by 2035. We’re now using the latest AI technology to identify and repurpose heat from refrigeration systems to lower our energy use and saving energy by installing doors on fridges i,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.42,artificial intelligence,B,"ple providing appropriate training to help prevent cyber-security incidents, as well as communicating the opportunities and safeguards while using artificial intelligence tools. Top down Bottom up Board Audit Committee Group Chief Executive and Executive Committee Group risk and compliance committee* Business and fu",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.45,AI,B,"g technology platforms and infrastructure, upskilling our team and attracting new talent. Enhanced governance is provided through technology and AI focused committees. – The enhancement of our technology infrastructure and platforms to improve resilience continues at pace. Significant invest",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.45,AI,B,"esco’s technology risk and compliance committee provides oversight and governance of Tesco’s technology risk and compliance management plans. – The AI governance group has been created to ensure Tesco has a well-balanced approach to exploit AI opportunities, in alignment with good practice and acc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.45,AI,B,"sure Tesco has a well-balanced approach to exploit AI opportunities, in alignment with good practice and accepted principles for responsible use of AI. Tesco PLC Annual Report and Financial Statements 2025 Strategic report Governance Financial statements Additional information 43. Principal risks an",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.59,AI,B,"mpetences Bertrand is an accomplished business executive, with significant experience of digital transformation, technology and the application of AI. He brings exceptional leadership and business expertise to the Board, as well as experience in delivering corporate transformation programmes whi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.69,AI,B,"se and values. Technology updates provide an overview of operational stability, technical capability, transformation, cyber security and the use of AI in our business. Our dedicated cyber security programme has clearly defined governance, oversight and structured training processes. Updates provi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.69,AI,B,"and opportunities available. Improvements in technology continue to support the delivery of the Group’s strategic priorities. We continue to embed AI into our business to optimise operations to better serve our customers, communities and planet. As new techniques and uses emerge, we are exploring",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.69,AI,B,"omers, communities and planet. As new techniques and uses emerge, we are exploring how they could be adopted to deliver on our purpose. Through our AI governance framework, we ensure that any AI technologies utilised by the business are fair, safe, transparent, explainable, accountable and sustain",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.73,AI,B,"gnostics; challenging our ways of thinking; and considering the future needs of customers. The Board has focused on key trends, the future consumer, AI, geopolitics, climate change and technological advances to support efficiency. We have made good progress on key initiatives to support our strategi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.73,AI,B,"ing. This will also support our customers through health and wellness initiatives. We continue to enhance our data analytics insight and the use of AI to better understand our customers and deliver them more personalised offers, to improve outputs from customer feedback and assist with demand forec",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.73,automation,B,"tinue to build our capabilities to support delivery of our longer-term objectives through investments in our people and technology, including robotic automation to streamline operations, improve efficiency and support our commitment to deliver a seamless shopping experience for our customers. We have partner",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.86,automation,B,"ongoing basis the processes undertaken by management to continue to enhance its control environment, including its roadmap to increase the level of automation and its expanded centralisation of control activities, including at Tesco Business Services (TBS) and Central Europe. The Group’s internal controls",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.87,automation,B,"gth of TBS’s service delivery model and strategic alignment, the function’s evolution in maturity and scope, the continued adoption and impact of automation and the expertise and capabilities of our TBS talent. The TBS team continue to contribute core value to the business in terms of cash, impact on",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.89,AI,B,"lves a collaborative approach across the three lines of defence. By integrating data analytics, continuous monitoring and artificial intelligence (AI) into the audit process, internal audit can provide greater insights and assurance to the business. The Group’s internal audit team has expande",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.89,AI,B,"actions and reducing the risk of significant problems going unnoticed. In addition, the Group’s external auditor also uses various analytics and AI tools, a number of which have been presented to the Audit Committee. They have outlined a five-year plan for the Tesco audit, focusing on enhanc",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.89,AI,B,"mittee. They have outlined a five-year plan for the Tesco audit, focusing on enhancing efficiency, quality and insights through data analytics and AI. The plan is based on three pillars: analytics and AI technology; targeted controls reliance; and centralisation. It also emphasises the continuo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.89,AI,B,"o’s evolving finance transformation strategy. During 2025, members have a workshop with the external auditor to showcase Deloitte’s technology and AI data-led metrics. AI technologies, such as machine learning and natural language processing, can automate routine audit tasks, enhance risk ass",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_current_fy2025.pdf,p.91,artificial intelligence,B,"ontinuous monitoring into audit processes to facilitate valuable, timely insights and provide greater assurance to the business. Early adoption of Artificial Intelligence and analytics has helped streamline audit and risk activities. First and second line have adopted continuous monitoring tools initially developed",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_previous_fy2024.pdf,p.17,AI,B,"omer home delivery vans, now at 571; fleet to be fully electric in the UK by 2030 Save to invest A cost-efficient retailer Why is it important? — Ai ming to simplify, be more productive and reduce costs — Fo cus on offsetting inflation in the medium term and creating headroom to fund investments",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,yes
Tesco,TSCO,,TSCO_company_annual_report_previous_fy2024.pdf,p.32,artificial intelligence,B,"ple providing appropriate training to help prevent cyber security incidents, as well as communicating the opportunities and safeguards while using artificial intelligence tools. Risk management framework Principal risks and uncertainties * In addition to the Group risk and compliance committee, there are other interna",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_previous_fy2024.pdf,p.55,AI,B,"mpetences Bertrand is an accomplished business executive, with significant experience of digital transformation, technology and the application of AI. H e brings exceptional leadership and business expertise to the Board, as well as experience in delivering corporate transformation programmes w",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Tesco,TSCO,,TSCO_company_annual_report_previous_fy2024.pdf,p.68,AI,B,"38 to 45 Technology updates providing an overview of operational stability, technical capability, transformation, cyber security and the use of AI in our business. Participation in a cyber crisis management event. We continue to operate our environments with high operational stability. Updat",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
