duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,DCC plc,DCC-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.76) of DCC_company_annual_report_current_fy2024-25_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,DCC plc,DCC-REJ-006,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.83) of DCC_company_annual_report_current_fy2024-25_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-003,DCC plc,DCC-REJ-009,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.134) of DCC_company_annual_report_current_fy2024-25_2025-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-004,DCC plc,DCC-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.11) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-005,DCC plc,DCC-REJ-012,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.20) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,DCC plc,DCC-REJ-014,rejected_candidates_staging,same_source_consolidation,not_applicable,4 passages on the same page (p.21) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-007,DCC plc,DCC-REJ-019,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.48) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,DCC plc,DCC-REJ-022,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.88) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,DCC plc,DCC-REJ-024,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.90) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-010,DCC plc,DCC-REJ-029,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.143) of DCC_company_annual_report_previous_fy2023-24_2024-05.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-011,DCC plc,DCC-REJ-002;DCC-REJ-021,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.63,Passages in DCC_company_annual_report_current_fy2024-25_2025-05.pdf and DCC_company_annual_report_previous_fy2023-24_2024-05.pdf are textually very similar (difflib ratio 0.63).,yes,,
DUPG-012,DCC plc,DCC-REJ-004;DCC-REJ-022,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.60,Passages in DCC_company_annual_report_current_fy2024-25_2025-05.pdf and DCC_company_annual_report_previous_fy2023-24_2024-05.pdf are textually very similar (difflib ratio 0.60).,yes,,
