company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Whitbread,WTB,,WTB_company_annual_report_current_fy2024-25_2025-05.pdf,p.62,AI,B,"rking group to reduce food waste is driving initiatives that will improve the way we buy, distribute, store and prepare food. We are trialling an AI technology that analyses the food that we put in our bins, providing insight for our teams to look at changes to menu design and portion sizes to",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_current_fy2024-25_2025-05.pdf,p.91,AI,B,"eport The strategic report on pages 2 to 89 was approved by the Board and signed on its behalf by Clare Thomas, General Counsel on 30 April 2025. AI-enabled food waste detection at Premier Inn Kings Cross",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_current_fy2024-25_2025-05.pdf,p.106,AI,B,lly around: • the strategy for developing the business in a changing world and assessing the most appropriate deployment of digital technology and AI; • ongoing attention to the competitor landscape and the scope for external stimulus; • a continued focus on non-executive director and Executive,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_current_fy2024-25_2025-05.pdf,p.107,AI,B,"ing the broader competitive set. There was, in addition, interest in more external stimulus being made available to the Board, for example around AI, the future of cities and Generation Z. Culture and stakeholders Feedback around Board culture was strong. It is a collegiate, positive and inclusi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_current_fy2024-25_2025-05.pdf,p.107,AI,B,"ts’ being articulated following these discussions; (ii) periodic Board ‘competitor deep dives’ and input from external experts on topics such as AI, the future of cities and Generation Z; (iii) at least one Board ‘field trip’ to view properties and meet team members and the facilitation of m",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_previous_fy2023-24_2024-05.pdf,p.93,automation,B,"s in tendering and purchasing are set, monitored and addressed. Operations team While we have central control of our energy at site level through our automation first approach, the delivery of our sustainability initiatives and achievement of our targets will always depend largely on those operating our site",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_previous_fy2023-24_2024-05.pdf,p.115,AI,B,"ompany Secretary to organise optional training sessions for the Board on themes such as ESG reporting requirements, technology updates, Cyber and AI impacts and opportunities. • The Company Secretary is already putting together a Forward Agenda that will be refreshed at every Board meeting and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_annual_report_previous_fy2023-24_2024-05.pdf,p.117,generative AI,A,and inclusion • Information security and digital transformation • Investors’ perspective for Board members • Sustainability regulatory outlook • Generative AI Board Diversity The Board diversity policy was updated in March 2024 to align with the latest FCA targets and also business best practice. More i,likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Whitbread,WTB,,WTB_company_sustainability_or_esg_report_fy2024-25_2025-05.pdf,p.24,AI,B,"our data becomes increasingly accurate. We use it to generate stronger insights into our sites’ waste management. We have also introduced Winnow AI technology at five sites, to identify key products being wasted. Through camera-enabled food bin, Winnow automatically identifies and measures eac",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Whitbread,WTB,,WTB_company_sustainability_or_esg_report_fy2024-25_2025-05.pdf,p.24,AI,B,"ehouses in December 2024, which we have treated as an exceptional event. Including the incident, our progress against target would stand at 26.5%. AI-enabled food waste detection at Premier Inn Kings Cross Whitbread PLC ESG Report 2024/25 INTRODUCTION 23RESPONSIBILITY COMMUNITY GOVERNANCEOPPORTUNIT",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
