staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_finding_type,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
PCT-STR-001,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.6,AI,B,1,"returns and portfolio outcomes. This has been the best relative year for the Company in at least two decades, reflecting the Investment Manager’s ‘AI maximalist’ positioning which aligned closely with accelerating AI adoption. This year also marked 20 years for Ben Rogoff as the lead manager of",no,no,technology_strategy,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-002,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.16,AI,B,1,"latility also gave active managers greater scope to add alpha. FY26 was defined by robust global growth, central bank interest rate cuts, upside to AI capex and growing optimism over the broader tailwinds from AI adoption. Markets climbed the proverbial 'wall of worry' as tariff concerns and erra",no,no,technology_strategy,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-003,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.17,AI,B,1,"s. Extraordinary capex numbers, compute commitments and equity investments reflected their confidence in continued scaling laws and the size of the AI opportunity. Late 2025 and early 2026 saw a significant inflection in model capabilities: Google Gemini 3 (November 2025), Anthropic Claude Opus 4",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-004,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"ced by top decile performance over one, three, five and 10 years versus its Lipper peer group. The dominant driver of relative performance was our 'AI maximalist' positioning, which aligned tightly with accelerating AI adoption, surging infrastructure investment and a sharp bifurcation between AI",no,no,technology_strategy,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-005,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.21,AI,B,2,"evidence of material concern in credit spreads, bond yields or inflation breakevens which is precisely why we think it is underpriced. % of global AI adoption index vs youth unemployment change (pp) since December 2022 Source: Deutsche Bank Despite this, our base case remains constructive – global ||| , inflation comes down and rate cuts continue, providing conditions for valuations to break higher rather than hold stable. Per the Census Bureau, AI adoption among US establishments now stands at 18.9%, with adoption among firms of >250 staff already at 34.8%. Dispersion is significant: in Q4 ea",no,no,technology_strategy,DUPG-008,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-006,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2026,PCT_company_annual_report_current_fy-ended-2026-04-30_2026-07.pdf,,annual_report_current,company_primary,p.27,AI,B,1,"ory, to our knowledge, has ever reached $30bn of ARR within four years, let alone $47bn. This revenue breakout reflects an inflection in enterprise AI adoption which had previously trailed consumer adoption due to early scepticism and inconsistent model performance. This is clearly no longer the c",no,no,technology_strategy,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-007,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2025,PCT_company_annual_report_previous_fy-ended-2025-04-30_2025-07.pdf,,annual_report_previous,company_primary,p.7,AI,B,1,"d provide immense future opportunities as AI is applied to every industry. The Manager has continued to invest in the team to take advantage of the AI opportunity, adding two additional investment analysts during the year. Shareholders will have the opportunity to hear from the technology investme",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-008,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2025,PCT_company_annual_report_previous_fy-ended-2025-04-30_2025-07.pdf,,annual_report_previous,company_primary,p.28,GPT,A,1,"ember 2014 The biggest opportunity Underpinning AI spending is the scale of the AI opportunity, reflecting its would-be general purpose technology (GPT) status. Because it addresses knowledge work, economist Erik Brynjolfsson has described AI as “the ultimate GPT – the most general of GPTs”. Accent",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-009,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2025,PCT_company_annual_report_previous_fy-ended-2025-04-30_2025-07.pdf,,annual_report_previous,company_primary,p.35,AI,B,1,"D and Broadcom, we have added a series of Asian suppliers (PCBs, systems, testers and more) that we expect to benefit from higher ASPs and growing AI share of their revenue mix. We are also intrigued by edge AI opportunities in traditional technology segments such as PC and smartphone – markets",no,no,embedding_ai_into_operations,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
PCT-STR-010,Polar Capital Technology Trust,PCT,Polar Capital Technology Trust plc Annual Report 2025,PCT_company_annual_report_previous_fy-ended-2025-04-30_2025-07.pdf,,annual_report_previous,company_primary,p.35,generative AI,A,1,"over the medium term, particularly on a risk-adjusted basis. Conclusion We hope this (long) outlook section adequately conveys our excitement about Generative AI. We truly believe the AI story is just beginning. Where others may predict steady diffusion, we expect AI adoption to follow the pattern of electr",no,no,technology_strategy,,strategic,reject,"Rejected (not accepted as a strategic/governance finding): this passage discusses the AI investment theme, a portfolio holding's own AI adoption, or stewardship engagement with a portfolio company about its AI practices -- not the Trust's own operational or governance use of generative AI. The project's unit of analysis is a generative-AI use case BY the FTSE 100 constituent itself (Core Rule 1), not commentary on companies it invests in -- the same principle already applied to exclude a Non-Executive Director's own outside company (Endeavour Mining, session 3)."
