company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.12,AI,B,"ions of our technology and operations to better deliver for our customers. We are working to develop and embed near-term commercial applications of AI, exploring its longer-term transformation potential, and scaling responsibly within robust cybersecurity, data protection and ethical governance fr",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.13,AI,B,"ll prioritise efficient growth, strengthening delivery across markets and channels and consistently converting growth into cash. In technology and AI, we will complete building our strong foundations and move to a more scaled, domain-led deployment embedded in our core customer and distribution p",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.28,AI,B,"implifying and modularising our technology platform, so that it is scalable, more resilient and operationally efficient. We are also using data and AI to drive innovation and enhance growth and efficiency. Alongside these operational deliveries we also completed a number of strategic portfolio man",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"h: driving upward mobility of agents to the Million Dollar Round Table (MDRT) level, recruiting high quality agents and using technology, including AI, to support increased productivity and agent activation. To support this, we are carrying out a substantial investment programme which made good p",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.30,AI,B,"ction processes, with an increasing focus on quality. During 2025 we increased the contribution to APE sales from our MDRT qualifiers, supported by AI-enabled bespoke digital learning & development programmes, and solidified our position as the second-largest MDRT agency force globally. Agency n",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.32,GenAI,A,"r claims, underwriting and fraud, waste and abuse management, to better manage medical costs and keep healthcare affordable. In 2025, we deployed a GenAI solution in close partnership with Google to support medical claim adjudication in Malaysia. We also introduced Data Insights from Claims Experienc",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.32,AI,B,"th market-specific operating models. We also continue to enhance our health underwriting capabilities through data-driven, inclusive guidelines and AI-powered solutions designed to increase underwriting automation and efficiency. In Hong Kong, we launched MedScreen+, an innovative AI underwriting",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.32,AI,B,"ore effectively through targeted training and enhanced performance management. Technology also played a role: in Singapore, we introduced a Health AI chatbot to help agents access information more quickly, alongside recognition programmes that incentivise health sales. Together, these actions sup",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.33,AI,B,"e n a b l e r o f l o n g - t e r m a d v o c a c y — is now active across ten business units7. CEP enables us to tailor communications by using AI to trigger engagement based on r e a l - t i m e e v e n t s , u s i n g t i m i n g a n d c o n t e n t t h a t i s l i k e l y t o b e",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.33,artificial intelligence,B,"e l f - s e r v i c e . The proportion of new business-processing through auto- underwriting was 70 per cent in December 2025. We are also leveraging artificial intelligence across several customer t o u c h p o i n t s . A I - e n a b l e d c l a i m s a d j u d i c a t i o n i s i m p r o v i n g s p e e d , ac",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.33,automation,B,"er lifecycle. In 2025, we accelerated this transformation through upgrades to our digital servicing platforms and continued investment in data and automation. A key milestone this year was the enhancement of PRUServices, our d i g i t a l s e l f - s e r v i c e p l a t f o r m , w h i c h n o w i n",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.62,AI,B,"al Reserve resumed monetary easing. Although US employment, household consumption and income growth were resilient, supported at least in part by an AI infrastructure-related investment cycle, trade policy uncertainty and higher trade barriers weighed on business sentiment and parts of the manufactu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.67,generative AI,A,"main prevalent, owing to the accessibility of malicious tools available to potential adversaries, and increasing advancement of technology such as generative AI and other artificial intelligence methods. Regulatory expectations of cyber security and data protection controls are becoming increasingly complex",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.68,AI,B,"party risk management practices, aim to ensure privacy and system availability are maintained for Prudential and its third-party service providers. AI advancements are shaping the present and future of the insurance industry. Our goal is to remain at the forefront by providing services that are te",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.68,AI,B,"hat are technologically advanced, secure, ethically sound, and socially responsible. With our customers at the core of our operations, we apply our AI Ethics Principles in everything we do. These principles apply to both our own and third-party solutions, ensuring that every AI system and innovati",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.68,AI,B,luated via appropriate governance channels for ethical considerations and that associated risks are well managed. An oversight forum for the use of AI is also in place to ensure compliance with the AI Ethics Principles adopted by the Group with the aim to ensure the safe use of AI. Employees are a,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.68,AI,B,"inciples adopted by the Group with the aim to ensure the safe use of AI. Employees are also regularly reminded of the paramount importance of these AI ethics across all markets, while we engage in ongoing dialogues and cooperative initiatives with our regulators. Prudential’s AI governance and eth",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Prudential plc,PRU,,PRU_company_annual_report_current_fy2025_2026-03.pdf,p.68,AI,B,"e initiatives with our regulators. Prudential’s AI governance and ethics principles are available at https://www.prudentialplc.com/en/site-services/ai- statement We continue to observe a rise in malware and ransomware threats and the Group continues to maintain and, where appropriate, enhance defe",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
