staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
BA-REJ-001,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"As the future of defence and security evolves, and the impact of Artificial Intelligence (AI) increases, our product portfolio needs to be fit for the future. The evolution of defence strategy and the pace of product innovation mean that",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-002,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.26,AI,B,2,"nabling systems to continue missions without maintaining constant communication, while also making communications more resistant to interference. AI also plays an integral role in both autonomy and electronic warfare advancements. We made significant progress in autonomy. For example, in our Ma ||| to respond. The latest INTeACT™ version provides a more collaborative way of working with third-party developers – we are exploring possible new AI-based enhancements with UK-based SMEs. 24 BAE Systems plc Annual Report 2025 Our investment in technology",no,no,vague_general_ai_reference,DUPG-001,rejected,,
BA-REJ-003,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.27,generative AI,A,2,"hem easier for our customers to deploy as an integral part of combat teams. This year, we demonstrated the use of Large Language Models (LLMs) and generative AI to operate drones. This delivers two key benefits. For the operators, this means that non-expert users can command the drones using natural langu ||| y reduces training and operator workload. For the drone, it increases flexibility, as the drone can understand the intent of the operator and use generative AI to reconfigure itself to perform unexpected tasks like search and rescue or identifying specific enemy activities. Throughout these activities, th",no,no,vague_general_ai_reference,DUPG-002,rejected,correct,"Contains a genuine operational disclosure -- explicit use of Large Language Models (LLMs) and generative AI to command/reconfigure drones via natural language, demonstrated in 2025. Split out to new operational staging row BA-OP-001. Marked reviewer_decision=correct to exclude from rejected-findings promotion, since its qualifying content has moved to BA-OP-001."
BA-REJ-004,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.29,AI,B,1,"s, offering greater product endurance or even speed. In collaboration with Strathclyde University and the University of Southampton, we harnessed AI-assisted design tools to develop more efficient naval hulls. Testing physical models of these cutting-edge hull forms suggested that a 130m-length",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-005,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.49,AI,B,1,"ness maintains a pipeline of qualified business opportunities aligned to current US Government priorities. – We seek to accelerate growth by using AI, automation and autonomy to modernise offerings in digital labour, counter-UAS and UAS, decision advantage and platform digitisation. – In our UK",no,no,ordinary_automation,,rejected,,
BA-REJ-006,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.49,AI,B,1,"iness focused on delivering synthetic environments to transform modern battlespace simulation. – We are using OneArc’s VBS4 platform to develop an AI-enabled embedded training capability for the Bradley Fighting Vehicle that integrates virtual and real-world systems to improve readiness, reduce",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-007,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.53,AI,B,1,"ale its digital skills provision, engaging over 8,000 employees. We prioritised the introduction of learning packages focused on cyber awareness, AI and digital effectiveness, as well as a variety of digital specialist technical training. Since 2020 in the UK, we have spent over £1bn on educat",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-008,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.56,artificial intelligence,B,1,"the US to support its Pathways Program, which is designed for high school students to explore web development, cyber security, data science and an artificial intelligence curriculum. Creating opportunity To help more young people into work in the UK, we helped found Movement to Work in 2014. Working in partnership w",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-009,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.208,AI,B,1,"e La Michodière, Paris, 75002, France SkyCircuits Ltd 9 The Old Barns Manor Farm, Chilmark, Salisbury, Wiltshire SP3 5AF, United Kingdom Spectacular AI Oy Tekniikantie 14 02150, ESPOO, Uusimaa, Finland Stewart & Stevenson TVS UK Limited Stratsec.net Sdn Bhd Unit F-3-1, Blok F, Third Floor, CBD Perdan",no,no,vague_general_ai_reference,,rejected,,
BA-REJ-010,BAE Systems,BA,BAE Systems Annual Report 2025,BA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.234,AI,B,1,A ACV Amphibious Combat Vehicle ADR American Depositary Receipts AGM Annual General Meeting AI Artificial Intelligence AMPV Armored Multi-Purpose Vehicle APKWS Advanced Precision Kill Weapon System APM Alternative Performance Measure AUKUS Tril,no,no,vague_general_ai_reference,DUPG-004,rejected,,
