staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
FRES-REJ-001,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.21,AI,B,1,"ive years of structural supply deficits. Energy transition While solar energy remains the largest consumer of industrial silver, the expansion of AI datacentres has created significant new demand. The physical infrastructure required by the digital age, including high-speed connectors, advanced",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-002,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.69,automation,B,1,"ur standards on ethics and integrity, human and labour rights, health and safety, and environmental and community considerations. Since 2023, the automation and standardisation of the due diligence process has strengthened visibility of third-party criticality through a risk- based approach. Over this",no,no,ordinary_automation,,rejected,,
FRES-REJ-003,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.82,automation,B,1,"al exposure risks. Key initiatives included redesigning tools and equipment to improve ergonomics, introducing mechanical handling solutions and automation in sampling and material handling processes to minimise manual load movement, and implementing an intelligent hydration system to support adequat",no,no,ordinary_automation,,rejected,,
FRES-REJ-004,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.83,artificial intelligence,B,1,"– ReadiWatch) to predict fatigue based on sleep patterns and circadian rhythms, with an in-cab Driver Safety System (DSS) using computer vision and artificial intelligence to detect fatigue, microsleeps and distraction in real time. This combination enables both early risk identification and immediate operational inte",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-005,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.91,RAG,A,1,"CROs continue to be relevant throughout closure and post- closure phases. The current list of CROs, together with the most recent Red-Amber-Green (RAG) risk ratings based on the ERM framework — which incorporates both impact and likelihood of occurrence — is shown in the table below. As these ri",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-006,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.123,AI,B,1,"ities’ risks Financial risks • Resources to reserves • Potential actions by the government* • Exploration* • Capital Project* • Technology, Cyber & AI* • Low-carbon transition • Climate change and natural disaster* • Security* • People and culture* • Union & labour relations* • Operational, mainten",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-007,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.128,artificial intelligence,B,1,"we carried out activities to: (i) identify new emerging risks in light of geopolitical instability, technological disruption, the implications of artificial intelligence for business strategy and climate change; (ii) re-assess the emerging risks identified in 2024; (iii) deploy effective monitoring mechanisms reco",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-008,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.129,AI,B,1,"rt for clean energy. > 5 Years Technological disruption and the rapid proliferation of Artificial Intelligence Generative Artificial Intelligence (AI) and advancing technologies have the potential to unlock transformative opportunities for businesses through enhancing efficiency, and data-driven",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-009,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.133,artificial intelligence,B,1,"e and apply necessary controls. 6. In addition, our systems, networks, and assets are continuously monitored through cybersecurity tools that use Artificial Intelligence and Machine Learning technology to analyse behaviours in the organisation's networks, identifying and mitigating advanced threats. 7. Controls ar",no,no,vague_general_ai_reference,,rejected,,
FRES-REJ-010,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.134,automation,B,1,"and safety standards and procedures for slope geotechnical, tailings management, underground mining and process safety. 6. We are advancing the automation of hazardous processes. 7. The critical controls that reduce risk in the business units are periodically updated and improved through inspections",no,no,ordinary_automation,,rejected,,
FRES-REJ-011,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.139,automation,B,1,"risk that our workforce will be unable to transform to the extent necessary or will be resistant to change and unwilling to accept the impact of automation or to acquire new technological skills. • The lack of reliable contractors with sufficient infrastructure, machinery, performance history and trai",no,no,ordinary_automation,,rejected,,
FRES-REJ-012,Fresnillo plc,FRES,Fresnillo plc Annual Report 2025,FRES_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.158,artificial intelligence,B,1,"y political, legislative, environmental (particularly safety and consumption reduction), technological (with particular focus on cybersecurity and artificial intelligence), ESG and competitive factors which impinge on the Company’s ability to deliver the strategy. For more information on the Working Meeting see page",no,no,vague_general_ai_reference,,rejected,,
