staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
ABDN-REJ-001,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.9,AI,B,1,"ncome funds, as investor appetite returned to these investment markets and rebalanced away somewhat from US equity markets, with the exception of AI-related stocks. Investment performance improved although there continues to be more to do. Finally, we completed the second phase of business tra",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-002,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"cated funds to support a more data-centric organisation, enhancing security and data protection while at the same time supporting the roll out of AI tools that will support productivity and revenue generation. In terms of new activity, we allocated capital to take on responsibility, as sponsori",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-003,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.11,AI,B,1,"ut as complex as it could be and combined with concern over elements of private credit, possible asset bubbles in technology stocks, particularly AI, and continuing tariff imposition unpredictability, there is a great deal to factor into investment decision- making. Markets, however, have remain",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-004,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.13,AI,B,1,"the pace of decision making. Our Executive Leadership Team is ensuring we bring more commercial and client focus, embracing the opportunity from AI and deepening our leadership capability. In January 2026 it was announced that Aberdeen Group plc Chairman, Sir Douglas Flint, will be stepping d",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-005,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"r rated funds. ii NPS Adviser NPS +44 2024: +40 +45 2024: +34 Investment performance (3 years) 80% 2024: 60% 2026 priorities • Invest in automation, AI, data, technology and security to improve client experience. • Deliver improvements to service processes, e.g. enhancements to our contact centre i",no,no,ordinary_automation,,rejected,,
ABDN-REJ-006,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.18,AI,B,1,"n Adviser and improve timelines across client journeys. • Improve investment performance through process enhancements and leveraging technology and AI. Transforming performance Progress • Delivery of £180m of annualised cost savings, markedly improving profitability in Investments. • Acquisition of",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-007,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.21,automation,B,1,ced trading platform (new) • Digital advice (new) Our priorities • Broadening ii’s proposition • Driving greater customer engagement • Increasing automation and efficiency We are building a leading position in the UK savings and wealth market AUMA Adjusted operating profit 19 Strategic report Governanc,no,no,ordinary_automation,,rejected,,
ABDN-REJ-008,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.30,AI;automation,B,2,"on their clients. We are investing in digital and data skills to accelerate in-house product development through modern software, automation and AI capabilities. In addition, we will use low- and no-code tools to update client journeys, allowing us to rapidly improve our time to market. Impro ||| in order to achieve this return to growth, Adviser is working to deliver market- leading experience with improved client integration and a focus on automation. Integration and digitised service In 2026, we will continue to deliver more automated processes with the aim of reducing the administrative burden",no,no,ordinary_automation,DUPG-001,rejected,,
ABDN-REJ-009,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.32,AI,B,1,"the flow trends of recent years. Looking ahead, concerns over stretched valuations and high market concentration, particularly around software and AI companies, may lead to a rotation away from the US and towards diversification into Europe, Emerging Markets (EM) and Asia Pacific (APAC), with A",no,no,vague_general_ai_reference,,rejected,,
ABDN-REJ-010,Aberdeen Group,ABDN,Aberdeen Group plc Annual Report and Accounts 2025,ABDN_company_annual_report_current_fy2025_2026-03.pdf,,annual_report_current,company_primary,p.33,automation,B,1,"ts in 2025. Costs have now been reduced by c.18% compared to the 2023 baseline. The programme, which focused on simplifying processes, increasing automation, and reducing reliance on third party providers, has strengthened our operational efficiency, allowed us to strategically re-invest, and delivered",no,no,ordinary_automation,,rejected,,
