company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.8,AI,B,"used companies through his private equity background, which will be invaluable as we develop exceptional spaces at the intersection of technology, AI and medicine, as exemplified by our Regent’s Place campus, and particularly One Triton Square which has performed so well for us this year. On rel",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.9,AI,B,"for the campus and signed Herbert Smith Freehills Kramer at Broadgate’s newest development, 1 Appold Street. Across London there is new demand from AI and innovation-led businesses from which our Regent’s Place campus, in the heart of London’s Knowledge Quarter, is well-placed to benefit. One Tri",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.9,AI,B,"ngs outlook. Across London the return to the office debate is over and occupiers continue to expand. There is a new wave of demand from high growth AI and innovation-led businesses for whom our campus offering particularly resonates. On retail parks, existing and new retailers are expanding into",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.10,AI,B,"erform. Campuses Resetting the office debate The outlook for office demand continues to be debated, particularly in the context of rapid advances in AI. Much has been written about the impact of AI on white-collar jobs. There are different schools of thought. On the one hand, will this be like pre",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.10,AI,B,"ificant new office space, with financial services occupiers continuing to drive prime rental growth across London submarkets. Alongside demand from AI and innovation-led businesses, this supports a broad- based and resilient market for high-quality space. Demand from AI and innovation-led companies",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.14,AI,B,"k Institute. It has excellent transport links with Euston and King’s Cross stations nearby and is one of London’s leading science, technology and AI clusters. Size: 13 acres Ownership: 100% (except One Triton Square 50:50 JV with Royal London Asset Management) Broadgate The City of London’s pre",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.14,AI,B,"res Ownership: 25:75 JV with GIC owning 75% OFFICE-LED CAMPUSES IN CENTRAL LONDON (58% OF TOTAL PORTFOLIO BY VALUE) Science & Technology, including AI, is our largest occupier sector and represents 35% of our campuses’ rent roll (pro forma for the acquisition of Life Science REIT) % of total port",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.23,AI,B,"In the six weeks post year end we have gone under offer on a further 228,000 sq ft and viewing levels continue to be strong. Take-up of space from AI and innovation-led businesses is increasing across London and particularly so in the Knowledge Quarter around Regent’s Place. These businesses are",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.23,AI,B,"er 2025, and the building is now 94% let. Occupiers include Anthropic, Gilead Sciences and Humanoid alongside other leading global pharmaceutical, AI and tech companies. Occupancy on our campuses is 95%, down 180 bps since 31 March 2025, which excludes refurbishments and new developments, followi",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
British Land,BLND,,BLND_company_annual_report_current_fy2025-26_2026-05.pdf,p.24,AI,B,"Road to 14,000 sq ft after initially taking 6,000 sq ft in 2022. – 11 ,000 sq ft letting to Sierra Technologies at 20 Triton Street, joining other AI-led occupiers in the building including Synthesia AI. Values at Regent’s Place were down 0.1% as ERV growth of 6.9% and inward yield shift of 11 bp",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
