company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.6,AI,B,"me time. In November, the Investment Manager opportunistically deployed capital into Meta following a decline in the share price amid concerns around AI-related spending. Also in November, the Investment Manager announced that it had exited its investments in Chipotle and Nike, and in February 2026, i",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.11,AI,B,"antages. In the first six weeks of the year, the stock prices of each of Alphabet, Amazon, and Meta have declined due to their announcements of large AI-related capex programs well in excess of market expectations. We believe the market’s negative response to these large capex announcements is misguid",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.11,artificial intelligence,B,"by the highest-quality mega cap companies, which include their global scale, dominant market positions, access to low-cost capital, and leadership in artificial intelligence and related technologies. If the S&P 500 can sustain structurally higher earnings growth driven disproportionately by the top handful of these compan",uncertain,low,Stage B broader-recall term 'artificial intelligence' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.13,AI,B,"nd stable inflation data that will allow the Federal Reserve to lower rates, (6) the extraordinary scale of data center and energy investments due to AI, (7) the productivity benefits of AI, (8) the wealth effects from stock market and private company valuation gains, (9) the potential for a peace div",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.13,AI,B,"as it appears the Russia/Ukraine war is closer to resolution, and (10) the accelerated pace of innovation, software development, and discovery due to AI. All of the above are occurring in a year with mid-term elections that typically swing against the incumbent administration. As such, the Trump Admin",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.14,AI,B,"r opportunity to invest in Meta arose following the company’s Q3 2025 earnings call in October when it announced it would spend significantly more on AI initiatives in 2026 than investors had expected, leading to a 20% share price decline. As a result, we were able to establish our position in Meta at",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.15,generative AI,A,veraging Meta's rich first-party data to deliver more relevant and targeted ads. Automation capabilities – from the company’s Advantage+ suite to its generative AI ad creation tools – facilitate an end-to-end self-serve model for advertisers. We are also encouraged by AI's potential to unlock new commercial use,likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.15,AI,B,"Pershing Square Holdings, Ltd. 13 In our view, concerns surrounding Meta’s elevated spending overlook the transformative potential of AI to accelerate near- term revenue growth and reinforce its long-term competitive moats. We believe Meta is one of the clearest beneficiaries of AI and",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.15,AI,B,"eeing material impact across its core business drivers: content recommendation, user engagement, ad monetization and new product innovation. Improved AI content recommendation systems are driving material growth in user engagement, especially for the video format with time spent watching videos on Ins",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Pershing Square Holdings,PSH,,PSH_company_annual_report_current_fy2025_2026-02.pdf,p.15,AI,B,"dened from the “social graph” (friends/family/followed accounts) to include a wider range of interest-based content from a diverse group of creators, AI recommendation engines enable the company to better understand, surface, and curate content that users desire. Likewise, AI greatly improves ad monet",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
