company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.6,AI,B,"h the Companies Act 2006. Strategic report Statement from the Chair Introduction Global equities performed well in 2024, largely due to advances in AI and semiconductor demand. However, the start of 2025 has been marked by volatility, particularly due to geopolitical tensions and economic polici",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.7,AI,B,"daptability, and innovation. In a volatile world, resilience is a strategic advantage, allowing companies to adapt and emerge stronger. The rise of AI and digital platforms is reshaping industries, driving operational leverage and creating new market opportunities. Your Managers’ focus remains on",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.8,generative AI,A,"ranslating into tangible results. The Rise of AI and the Shifting Shape of Value Few developments this year were more consequential than the rise of generative AI. The conversation has moved quickly from theory to practice. We see its impact most clearly in software engineering, where productivity is already",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.8,AI,B,"emerging stronger. Margins have widened. Free cash flow has accelerated. Many of the themes we’ve followed for a decade such as digital platforms, AI, electrification and personalised medicine are translating into tangible results. The Rise of AI and the Shifting Shape of Value Few developments th",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.8,AI,B,"s to work. Several have increased output without increasing engineering headcount. Others have launched new products with surprisingly lean teams. AI is not a distant promise. It is driving real operational leverage today. How should we, as investors, respond to such a powerful, yet hard-to-quan",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.8,AI,B,"ors, respond to such a powerful, yet hard-to-quantify force? Our largest holding at the start of the year, NVIDIA, sits at the heart of the current AI boom. Its dominance in training large AI models is unmatched. However, to be truly transformational, we believe AI must become ubiquitous—and that",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.8,AI,B,"vailing valuations, the risk/reward looked more balanced than we prefer. Many of the themes we’ve followed for a decade such as digital platforms, AI, electrification and personalised medicine are translating into tangible results. Artificial intelligence is driving real operational leverage tod",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.9,AI,B,"07 SCOTTISH MORTGAGE INVESTMENT TRUST PLC STRATEGIC REPORT Conversely, we added to companies that will benefit from the broader adoption of AI tools. Meta has rebuilt its business with greater efficiency, while embedding AI more deeply into its product and advertising stack. It has many o",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.9,AI,B,"nities to drive its revenue growth today using this technology. Last year the company noted an 8% increase in time spent on Facebook as a result of AI driven content recommendations to its users. The performance of its stock reflected that progress. Spotify, likewise, is emerging as one of the mo",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Scottish Mortgage Investment Trust,SMT,,SMT_company_annual_report_current_fy-ended-2025-03-31_2025-05.pdf,p.9,AI,B,"performance of its stock reflected that progress. Spotify, likewise, is emerging as one of the most efficient scaled platforms in the world using AI to personalise content discovery, improve advertising targeting and, potentially, to create a broader content ecosystem. Both were among the stron",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
