duplicate_group_id,company,related_staging_ids,related_destination_files,relationship_type,similarity_score,duplicate_reason,human_review_required,reviewer_decision,reviewer_notes
DUPG-001,Entain,ENT-REJ-003,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.30) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-002,Entain,ENT-GOV-007,governance_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.58) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-003,Entain,ENT-GOV-008,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.58) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same safeguards and responsible use theme and were consolidated into one row.,yes,,
DUPG-004,Entain,ENT-GOV-009,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.59) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-005,Entain,ENT-REJ-010,rejected_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.63) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-006,Entain,ENT-GOV-015,governance_candidates_staging,same_source_consolidation,not_applicable,2 passages on the same page (p.135) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same ai governance framework theme and were consolidated into one row.,yes,,
DUPG-007,Entain,ENT-REJ-015,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.135) of ENT_company_annual_report_current_fy2025_2026-03-20.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-008,Entain,ENT-REJ-021,rejected_candidates_staging,same_source_consolidation,not_applicable,3 passages on the same page (p.50) of ENT_company_annual_report_previous_fy2024_2025-03-21.pdf describe the same vague general ai reference theme and were consolidated into one row.,yes,,
DUPG-009,Entain,ENT-GOV-005;ENT-GOV-016,governance_candidates_staging;governance_candidates_staging,repeated_cross_year_disclosure,0.69,Passages in ENT_company_annual_report_current_fy2025_2026-03-20.pdf and ENT_company_annual_report_previous_fy2024_2025-03-21.pdf are textually very similar (difflib ratio 0.69).,yes,,
DUPG-010,Entain,ENT-REJ-004;ENT-REJ-019,rejected_candidates_staging;rejected_candidates_staging,repeated_cross_year_disclosure,0.99,Passages in ENT_company_annual_report_current_fy2025_2026-03-20.pdf and ENT_company_annual_report_previous_fy2024_2025-03-21.pdf are textually very similar (difflib ratio 0.99).,yes,,
