staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
HSBA-REJ-001,HSBC,HSBA,HSBC and Google Cloud announce transformative AI banking partnership,HSBA_company_press_release_hsbc-and-google-cloud-announce-transformative-ai-banking-par_2026-06-17.html,,press_release,company_primary,not_applicable,AI,B,1,===== HTML DOCUMENT ===== Source file: HSBA_company_press_release_hsbc-and-google-cloud-announce-transformative-ai-banking-par_2026-06-17.html Title: HSBC and Google Cloud announce transformative AI banking partnership | Media releases | HSBC Holdings plc Skip to,no,yes,webpage_boilerplate,,rejected,,
HSBA-REJ-002,HSBC,HSBA,HSBC and Mistral AI join forces to accelerate AI adoption across global bank,HSBA_company_press_release_hsbc-and-mistral-ai-join-forces-to-accelerate-ai-adoption-ac_2025-12-01.html,,press_release,company_primary,not_applicable,AI,B,1,===== HTML DOCUMENT ===== Source file: HSBA_company_press_release_hsbc-and-mistral-ai-join-forces-to-accelerate-ai-adoption-ac_2025-12-01.html Title: HSBC and Mistral AI join forces | Media releases | HSBC Holdings plc Skip to: Skip,no,yes,webpage_boilerplate,,rejected,,
HSBA-REJ-003,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.7,AI,B,1,"al Context Global growth in 2025 was stronger than expected, as the tariff-related headwinds were offset by the significant momentum generated by AI capital expenditure and trade growth, and by the support provided by the ever- resilient US consumer. The global geopolitical context was marked by",no,no,vague_general_ai_reference,,rejected,,
HSBA-REJ-004,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.8,AI,B,2,"2026. Despite significant policy uncertainty, global trade is also set to grow, supported by the expansion of new trade corridors and the boom in AI hardware demand. Inflation should continue drifting downward, although with divergence across markets. Somewhat uneven growth across industries an ||| should provide a tailwind for consumption growth. The US should be a key driver of global growth, reaping the benefits of sizeable investments in AI, tax cuts and incentives, as well as substantial deregulation. Our Colleagues I will end where I began, by recognising and wholeheartedly thank",no,no,vague_general_ai_reference,DUPG-001,rejected,,
HSBA-REJ-005,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.10,GenAI,A,1,"e modernising the bank through AI and automation to enhance customer experience, increase productivity and boost efficiency. We have more than 100 GenAI active use cases and are increasing AI partnerships to accelerate adoption of cutting-edge technologies. More than 31,000 of our engineers now us",no,no,ordinary_automation,,rejected,,
HSBA-REJ-006,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.10,AI,B,1,"ve use cases and are increasing AI partnerships to accelerate adoption of cutting-edge technologies. More than 31,000 of our engineers now use an AI-enabled coding assistant and our HSBC Productivity Suite tool is available to around 85% of our colleagues to help summarise, analyse and translat",no,no,vague_general_ai_reference,,rejected,,
HSBA-REJ-007,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.13,AI;GenAI;generative AI;large language model,A;B,4,"tn Customer deposit balances (2024: $1.7tn) Improving operational excellence through artificial intelligence In 2025, we accelerated the adoption of Generative AI (‘GenAI’) across HSBC, moving from experimentation to scaled delivery. Today, we have over 100 GenAI solutions in use and a strong pipeline of use ||| s this year has been significant, the opportunity ahead is far greater. Our strategic partnership with Mistral strengthens our commitment to scale GenAI capabilities and we will continue to prioritise areas that matter most to our customers and colleagues, and drive performance. Through 2026, we i ||| we continue to invest in training and tooling to support staff in their roles. Around the globe, around 85% of our colleagues have access to our large language model-based productivity tool, HSBC Productivity Suite, which helps them to analyse and translate documents, summarise information and generate insights. ||| erimentation to scaled delivery. Today, we have over 100 GenAI solutions in use and a strong pipeline of use cases in development. Our adoption of AI is underpinned by our people, and we continue to invest in training and tooling to support staff in their roles. Around the globe, around 85% of",no,no,vague_general_ai_reference,DUPG-002,rejected,,
HSBA-REJ-008,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.30,AI,B,1,"Directors met with key suppliers to facilitate exploratory conversations, including discussions on how technology solutions may be enhanced through AI and data and opportunities for innovation, particularly in the areas of improving customer experience, risk management, operational resilience, and",no,no,vague_general_ai_reference,,rejected,,
HSBA-REJ-009,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.32,AI,B,2,"ate in some of the most affected markets. Financial markets have witnessed significant valuation gains, including in the artificial intelligence (‘AI’) and technology sectors. The investment in these sectors may deliver gains to productivity, but current high valuations also raise the risk of a ||| rols to help us detect, prevent, respond to, recover and learn from issues in a timely manner within our risk appetite. HSBC is committed to using AI responsibly. We are working to balance the opportunity AI presents to accelerate delivery of our strategy with the need for appropriate controls t",no,no,vague_general_ai_reference,DUPG-004,rejected,,
HSBA-REJ-010,HSBC,HSBA,HSBC Holdings plc Annual Report and Accounts 2025,HSBA_company_annual_report_current_fy2025.pdf,,annual_report_current,company_primary,p.33,AI;GenAI,A;B,3,"digital capabilities and evolve our products, to attract, retain and best serve our customers. Along with opportunities, new technology, including GenAI, can introduce risks and disruption. We seek to manage technology developments with appropriate controls and oversight. Evolving regulatory environ ||| as well as sound risk and financial crime risk management practices. The approach to regulation is increasingly fragmented, including in relation to AI and digital assets, and a trend towards deregulation has emerged in some jurisdictions, concurrently with regulatory actions to support business gr ||| to the way model risk is managed across the banking industry, with a particular focus on capital and credit loss models. New technologies, including AI, are driving a need for enhanced model risk controls. Strategic execution risk ~ Successful execution of our strategy enables us to help address the",no,no,vague_general_ai_reference,DUPG-005,rejected,,
