company,ticker,source_id,local_filename,page_or_section,matched_keyword,stage,surrounding_context,provisional_classification,confidence,reason,possible_extraction_artifact
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.6,AI,B,"arkets, including facilitating commerce and investment through the UK-US investment corridor. As we have seen through 2025 with rapid advances in AI, technology continues to be a major force of change in the global economy, bringing both opportunity and risk. Barclays is adopting AI responsibly",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.7,AI,B,"strategic sites in India, Delaware, and Glasgow. We all visited the West Coast of America to deepen our grasp of the culture of change driving the AI revolution. Such engagement continues to prove invaluable to our oversight of Barclays’ strategy, and ensuring the organisation’s preparedness, di",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.9,AI,B,"- quality products to our customers with compelling service quality. Across the Group, we are investing in advanced technology, data analytics and AI, improving operational efficiency and customer service. At the same time, we are modernising our core platforms to simplify and strengthen busines",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.11,AI,B,• Focus on defence spending Climate • Energy transition and security • Changing climate cycles and associated physical risks Technology • Adoption of AI and increasing cyber security threats • Customer expectations regarding digital experience and resilience • Traction of crypto and digital assets Re,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.12,AI,B,"rand equity instils trust, lowers the cost of acquiring customers and clients, and helps retain them for longer. Technology and infrastructure Our AI-enabled technology and infrastructure capabilities enhance customer experience and support strong resilience. Operations and governance Our risk",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,Copilot,A,"lients, while strengthening our resiliency and reducing complexity and cost. Empowering our colleagues Our teams have access to modern tools like Copilot and the Barclays AI platform to help them make better decisions, collaborate more effectively across regions and focus on higher value activities.",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,Copilot,A,"bility, scalability and the control needed for future growth, underpinning our data, AI and digital- platform capabilities. AI for colleagues M365 Copilot is Microsoft's AI-powered assistant and we have c.100,000 licences for colleagues across the bank to help improve productivity and encourage inn",likely_genai,medium,"Stage A high-precision generative-AI term 'Copilot' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,"started without delay, stronger fraud protection to keep accounts safe, and richer market insights to help businesses grow. Technology, including AI, is enabling us to deliver seamless, connected services that anticipate customer and client needs and provide faster, more personalised, more intu",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,"hips We’re working with leading technology partners, including Amazon Web Services, Microsoft, GitLab and Databricks, to harness data, digital and AI. These collaborations also shape thinking on AI, innovation and industry standards; for example, in November 2025 Barclays was recognised as one",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,ognised as one of the inaugural Frontier Firms – an initiative by Harvard Business School and Microsoft that brings together organisations putting AI at the heart of their transformation strategy. Strategic report Shareholder information Climate and sustainability report Governance Risk revi,uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,"ion Climate and sustainability report Governance Risk review Financial review Financial statements Barclays PLC Annual Report 2025 12 Technology AI Help Hub Assistant In Barclays UK, our newly introduced AI- powered Help Hub Assistant supports colleagues in delivering exceptional customer serv",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,",000 licences for colleagues across the bank to help improve productivity and encourage innovation. In addition, we’re investing in our Barclays AI platform, which provides a common set of services for the responsible development, deployment and operation of AI solutions. AI for engineers Thro",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,"t of services for the responsible development, deployment and operation of AI solutions. AI for engineers Through our partnerships we’re embracing AI across our software development tools to enable developers to plan, develop and deploy new technologies at pace and responsibly. Across Barclays,",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.13,AI,B,"ools to enable developers to plan, develop and deploy new technologies at pace and responsibly. Across Barclays, 19,000 developers have access to AI tools, with early-stage adoption already delivering productivity gains of c.15%. Technology is at the heart of Barclays’ ambition to be Simpler, B",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.14,AI,B,"l review Financial statements Barclays PLC Annual Report 2025 13 Our plan and targets Simpler Simpler business Five focused businesses Digital and AI enabling revenue growth and efficiencies Simpler organisation Standardised, modernised, harmonised processes Simpler operations Resilient, reliabl",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.18,AI,B,"continue to enhance how customers interact with us, making banking simpler and more intuitive across personal and business channels. Technology, AI and innovation will play a key role, helping us to streamline processes, strengthen resilience, offer a better experience on our digital channels",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.21,AI,B,"ts, their families and the next generation. In 2025, financial markets witnessed trade and geopolitical volatility, and strong tailwinds driven by AI – investors looked to take advantage of volatility spikes while diversifying risk. For PBWM, this led to strong transactional activity supported",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.22,generative AI,A,"client experience, focusing on our digital capabilities, as well as further expanding our credit proposition. We're investing in productivity and generative AI (GenAI) capabilities that support our front-line colleagues so they can spend more time with clients. We plan to expand our international business",likely_genai,medium,"Stage A high-precision generative-AI term 'generative AI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.22,automation,B,"g 2026. Underpinning all of our strategic ambitions is a continued focus on improving our risk and control resilience, including by increasing our automation levels. Looking ahead Within UK Digital Investing, we're committed to delivering an integrated digital SIPP (Self- Invested Personal Pension). Foll",uncertain,low,Stage B broader-recall term 'automation' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.23,GenAI,A,"d on disciplined client management, capital deployment, and technology enhancements to improve client experience, such as BARXBot, a client-facing GenAI chatbot that automates how colleagues in Global Markets handle Requests for Quotes (RFQs) for clients. Notes: 1 Top 5 market share as defined in",likely_genai,medium,"Stage A high-precision generative-AI term 'GenAI' matched; still requires human confirmation of is_genai, deployment_stage and evidence_strength.",no
Barclays,BARC,,BARC_company_annual_report_current_fy2025_2025.pdf,p.24,AI,B,"ine, focused execution, capital nimbleness and operational efficiency. We’re also streamlining operations, reducing legacy systems, and leveraging AI to scale and innovate. We plan to achieve this through low single-digit compound annual income growth combined with disciplined cost management, d",uncertain,low,Stage B broader-recall term 'AI' matched only; broader AI/automation terms are never auto-classified as generative AI and need further reading to confirm relevance.,no
