staging_id,company,ticker,candidate_title,local_filename,source_id,document_category,evidence_origin,page_or_section,matched_keywords,screening_stages,supporting_passage_count,supporting_context,possible_extraction_artifact,possible_webpage_boilerplate,provisional_rejection_category,duplicate_group_id,suggested_destination,reviewer_decision,reviewer_notes
CTEC-REJ-001,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.8,automation,B,1,"udies, randomised controlled trials and journal publications. We increased our operational resilience with further investments in infrastructure, automation and capacity across our manufacturing network as we respond to growing demand, whilst maintaining our commitment to safety and quality. Looking a",no,no,ordinary_automation,,rejected,accept,"REVIEW: representative example of this rejection category, logged for the audit trail."
CTEC-REJ-002,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.9,automation,B,1,"udies, randomised controlled trials and journal publications. We increased our operational resilience with further investments in infrastructure, automation and capacity across our manufacturing network as we respond to growing demand, whilst maintaining our commitment to safety and quality. Looking a",no,no,ordinary_automation,,rejected,,
CTEC-REJ-003,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.11,AI;automation,B,2,"g Convatec Business Services (CBS) beyond Finance, IT and HR activities and CBS will continue to expand in 2026, supported by ongoing adoption of AI and automation. Adjusted G&A1 was flat YoY at $166m, representing 6.8% of revenue (2024: 7.2%). Overall adjusted operating expenses represented 38 ||| ational leverage. Our simplification and productivity initiatives continued to progress well. In Global Quality & Operations, we further increased automation in our facilities and continued to optimise our plant network for scale and efficiency. In commercial areas, our Centres of Excellence (CoE) in G",no,no,ordinary_automation,DUPG-001,rejected,,
CTEC-REJ-004,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.12,automation,B,2,"e the benefits of the network optimisation completed in 2023‑24, with more production capacity at our large Slovakia site. Ongoing investments in automation are also driving improved productivity. Build Investments in R&D, capex and clinical knowledge are clear examples of adding capability to Convatec ||| in Infusion Care (due to be in operation from 2027), increased capacity for Esteem Body™ and ConvaFoam™ (both due in 2026) and further packaging automation in AWC. Our Marketing & Sales Centre of Excellence (CoE) launched a new global patient service platform in our me+™ programme, which marked its t",no,no,ordinary_automation,DUPG-002,rejected,,
CTEC-REJ-005,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.13,automation,B,2,"e the benefits of the network optimisation completed in 2023‑24, with more production capacity at our large Slovakia site. Ongoing investments in automation are also driving improved productivity. Build Investments in R&D, capex and clinical knowledge are clear examples of adding capability to Convatec ||| in Infusion Care (due to be in operation from 2027), increased capacity for Esteem Body™ and ConvaFoam™ (both due in 2026) and further packaging automation in AWC. Our Marketing & Sales Centre of Excellence (CoE) launched a new global patient service platform in our me+™ programme, which marked its t",no,no,ordinary_automation,DUPG-003,rejected,,
CTEC-REJ-006,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.28,automation,B,1,"Financial review continued The Group invested $185m (2024: $122m) in growth and operational capex to increase manufacturing capacity and automation, develop new products, improve information technology and digital tools and maintain current operations. Of this, $121m (2024: $59m) related to gro",no,no,ordinary_automation,,rejected,,
CTEC-REJ-007,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.29,automation,B,1,"Financial review continued The Group invested $185m (2024: $122m) in growth and operational capex to increase manufacturing capacity and automation, develop new products, improve information technology and digital tools and maintain current operations. Of this, $121m (2024: $59m) related to gro",no,no,ordinary_automation,,rejected,,
CTEC-REJ-008,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.41,automation,B,2,"to senior leaders. We continued to navigate a dynamic talent and labour market, responding to societal shifts around flexible and hybrid working, automation and digitalisation, cost of living, wellbeing and mental health. Build key capabilities Throughout 2025, we made significant progress with our HR t ||| This included simplifying the job hiring process to reduce the number of approvals and bottlenecks, improving the onboarding experience through automation and simplifying our global payroll offering through better transparency and consistency. People mission Building a purpose‑led, performance‑drive",no,no,ordinary_automation,DUPG-004,rejected,,
CTEC-REJ-009,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.41,AI,B,1,"on, and continued to strengthen our colleague experience by focusing on simplification and standardisation of key processes, including leveraging AI and machine learning capabilities. This included simplifying the job hiring process to reduce the number of approvals and bottlenecks, improving",no,no,vague_general_ai_reference,DUPG-016,rejected,,
CTEC-REJ-010,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.42,AI,B,1,"s described on page 45. Data privacy is also important for protecting colleagues. See page 45 for our approach to data privacy, cybersecurity and AI. Responsible business review continued Increasing diversity Gender diversity demographic data Male Female Total Number % Number % Board1,2 9 4 44% 5",no,no,vague_general_ai_reference,,rejected,,
CTEC-REJ-011,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.43,AI,B,1,"s described on page 45. Data privacy is also important for protecting colleagues. See page 45 for our approach to data privacy, cybersecurity and AI. Responsible business review continued Increasing diversity Gender diversity demographic data Male Female Total Number % Number % Board1,2 9 4 44% 5",no,no,vague_general_ai_reference,,rejected,,
CTEC-REJ-012,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.46,AI;artificial intelligence,B,2,wth Actions and highlights Actions Key policies – New due diligence tool and third‑party assessment process – Launched mandatory training on use of AI – New Privacy Risk Framework – Strengthened data privacy processes – Refreshed Code of Ethics and business conduct training – Enhanced conflict ||| s and Labour Standards Policy – Sustainable Procurement Policy – Global Third‑Party Compliance Manual – Data Privacy Policy – Acceptable Usage of Artificial Intelligence Policy – Interactions with Health Care Professionals Policy Targets Target Progress in 2025 Status Human rights: Ensure at least 95% of employees co,no,no,vague_general_ai_reference,DUPG-005,rejected,,
CTEC-REJ-013,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.47,AI;Copilot;artificial intelligence,A;B,4,"loying enterprise ‑grade AI platforms to enhance insights, speed to market and productivity, and have embraced trusted solutions such as Microsoft Copilot, implementing approved use cases that support harmonisation, efficiency and informed decision‑making across the organisation. With high levels of ||| wth Actions and highlights Actions Key policies – New due diligence tool and third‑party assessment process – Launched mandatory training on use of AI – New Privacy Risk Framework – Strengthened data privacy processes – Refreshed Code of Ethics and business conduct training – Enhanced conflict ||| of Conduct applies across the value chain. For details on how we manage supplier relationships, see pages 42 to 43. Data privacy, cybersecurity and AI Embedding forever caring in a digital world We recognise that the protection of personal data extends beyond regulatory obligations; it is an exp ||| s and Labour Standards Policy – Sustainable Procurement Policy – Global Third‑Party Compliance Manual – Data Privacy Policy – Acceptable Usage of Artificial Intelligence Policy – Interactions with Health Care Professionals Policy Targets Target Progress in 2025 Status Human rights: Ensure at least 95% of employees co",no,no,vague_general_ai_reference,DUPG-007,rejected,,
CTEC-REJ-014,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.70,AI,B,1,"nfrastructure and cybersecurity in line with the changing business environment. We continue to invest in and develop our artificial intelligence (AI) capability and capacity in adding value to the business, whilst considering both external and internal risk factors from this emergent technolog",no,no,vague_general_ai_reference,,rejected,,
CTEC-REJ-015,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.71,AI,B,4,"nfrastructure and cybersecurity in line with the changing business environment. We continue to invest in and develop our artificial intelligence (AI) capability and capacity in adding value to the business, whilst considering both external and internal risk factors from this emergent technolog ||| ould further tighten global financial conditions through any uncertainty in the bond market, or from stock market corrections precipitated by any AI boom reversal. We are focused on delivering simplification and productivity through efficiencies to our manufacturing and operating cost base. Wh ||| and prevention (including in the development of smart ‘artificial device’ technology, the emergence of new drugs to treat chronic conditions and AI), we may lose market share in key markets to existing and new‑entrant competitors. Future material and operational restrictions Our future busines ||| to future market and healthcare models, market competition and major unforeseen economic events. The value of customer data and the emergence of AI has increased. Any shortfall in our ability to adapt to an increase in the management of customer data, expanding data commercialisation capabili",no,no,vague_general_ai_reference,DUPG-008,rejected,,
CTEC-REJ-016,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.73,AI,B,2,"relies on the resilience of our technology systems, network, information management processes and our ability to manage the fast‑paced and evolving AI environment. Failure to ensure that our systems, data management, AI technologies and related controls are effective, available, integral and secure ||| nt systems and processes to support effective delivery of our operations. 2025: no material change. Key drivers Risk mitigation – Cybersecurity and AI – IT and network resilience, business continuity and disaster recovery arrangements – Digitisation – IT network alignment to business needs – In",no,no,vague_general_ai_reference,DUPG-009,rejected,,
CTEC-REJ-017,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.74,AI,B,1,"nd ageing products – Compliance with regulatory frameworks and anticipation of emerging regulatory environment – Disruptive and new technologies. AI. Changing customer and market needs – Maintaining legal manufacture structure, authorised representatives and assurance process for pre‑market, m",no,no,vague_general_ai_reference,DUPG-017,rejected,,
CTEC-REJ-018,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.75,AI,B,1,"nd ageing products – Compliance with regulatory frameworks and anticipation of emerging regulatory environment – Disruptive and new technologies. AI. Changing customer and market needs – Maintaining legal manufacture structure, authorised representatives and assurance process for pre‑market, m",no,no,vague_general_ai_reference,DUPG-018,rejected,,
CTEC-REJ-019,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.87,Copilot;generative AI,A,2,"areas. Artificial Intelligence (AI) featured prominently, reinforcing how digital and AI underpin the FISBE strategy. A session led by an external generative AI expert explored opportunities to drive innovation, enhance productivity and improve efficiency within the business. Following Board endorsement, Co ||| oup and Steering Group, to ensure responsible adoption and oversight of AI initiatives – Deploying enterprise ‑scale AI solutions such as Microsoft Copilot, SmartCat (a translation and localisation platform) and Synthesia (a video generation platform) and expanding the deployment of AI‑powered tools l",no,no,vague_general_ai_reference,DUPG-010,rejected,,
CTEC-REJ-020,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.95,artificial intelligence,B,1,"tors’ duties, obligations under the Market Abuse Regulation and other relevant compliance topics. During the year, the Board received training on artificial intelligence provided by an external business management consultancy firm. We continued to advance Board knowledge through updates provided to both the Remune",no,no,vague_general_ai_reference,,rejected,,
CTEC-REJ-021,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.101,AI,B,1,"s, together with the conclusions and actions arising out of the reviews. Key themes arising from the reviews included data privacy, the adoption of AI, third‑party risk management, regulatory change and challenges associated with rapidly evolving technologies, including emerging fraud risks tied t",no,no,vague_general_ai_reference,DUPG-019,rejected,,
CTEC-REJ-022,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.188,AI,B,1,"ongoing conditions, such as diabetes, and acute conditions resulting from traumatic injury and burns. AGM Annual General Meeting of the Company. AI Artificial intelligence. ARA Annual Report and Accounts. ARC Audit and Risk Committee. Articles The Articles of Association of the Company for the",no,no,audit_analytics,DUPG-020,rejected,,
CTEC-REJ-023,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2025,CTEC_company_annual_report_current_fy2025_2026.pdf,,annual_report_current,company_primary,p.189,AI,B,1,"ongoing conditions, such as diabetes, and acute conditions resulting from traumatic injury and burns. AGM Annual General Meeting of the Company. AI Artificial intelligence. ARA Annual Report and Accounts. ARC Audit and Risk Committee. Articles The Articles of Association of the Company for the",no,no,audit_analytics,DUPG-021,rejected,,
CTEC-REJ-024,Convatec,CTEC,Convatec Group Plc Annual Report and Accounts 2024,CTEC_company_annual_report_previous_fy2024_2025.pdf,,annual_report_previous,company_primary,p.5,automation,B,1,"ip management platform in our FISBE markets. We also continued to increase our operational resilience with further investments in infrastructure, automation and capacity across our manufacturing network. We are ready to respond to growth opportunities. 2024 trading and dividend Convatec reported revenu",no,no,ordinary_automation,,rejected,,
